C1,C2,C3,C4,C5,M,O1,O2,O3,P1,P2,P3,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6,SE1,SE2,SE3,SE4,SE5,day,hora,point,sentido,survey,vh
0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,211,C,5,4
0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,211,C,5,5
0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,211,D,5,7
0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,211,D,5,4
3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,211,C,5,6
1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,211,C,5,6
0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,211,D,5,6
0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,211,D,5,7
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,211,C,5,4
0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,5,211,C,5,7
0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,211,D,5,6
0,2,0,0,0,0,0,0,0,11,1,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,211,D,5,24
0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,211,C,5,5
1,1,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,7,211,C,5,18
0,3,0,2,0,2,0,0,0,15,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,6,211,D,5,29
4,0,0,0,0,0,0,1,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,7,211,D,5,41
3,1,0,0,0,0,0,0,0,28,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,8,211,C,5,39
1,2,0,0,1,0,0,0,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,2,9,211,C,5,38
2,2,0,0,3,1,0,1,0,21,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,8,211,D,5,37
3,2,0,0,2,1,0,0,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,9,211,D,5,37
1,2,0,0,0,0,0,0,0,27,0,6,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,2,10,211,C,5,45
1,6,0,0,0,0,0,0,0,19,0,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,11,211,C,5,39
0,5,0,0,0,0,0,0,0,12,1,12,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,10,211,D,5,35
1,2,0,0,0,0,0,0,1,17,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,2,11,211,D,5,37
2,0,0,0,1,0,0,1,0,7,0,5,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,12,211,C,5,19
0,1,0,0,0,1,0,0,0,21,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,211,C,5,35
1,1,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,12,211,D,5,32
0,1,0,0,0,0,1,0,0,13,0,9,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,2,13,211,D,5,30
