crescente,date,day,decrescente,point,survey,total
4308,18/11,1,4043,19,8,8351
3084,19/11,2,5851,19,8,8935
3721,20/11,3,4433,19,8,8154
3494,21/11,4,3930,19,8,7424
3514,22/11,5,4406,19,8,7920
3584,23/11,6,4312,19,8,7896
5297,24/11,7,4525,19,8,9822
5094,18/11,1,5636,215,8,10730
4296,19/11,2,4392,215,8,8688
5467,20/11,3,4978,215,8,10445
4523,21/11,4,4471,215,8,8994
4249,22/11,5,4983,215,8,9232
4824,23/11,6,5586,215,8,10410
4442,24/11,7,5347,215,8,9789
9406,18/11,1,7280,3,8,16686
7476,19/11,2,6664,3,8,14140
8030,20/11,3,7497,3,8,15527
7947,21/11,4,7233,3,8,15180
7582,22/11,5,7841,3,8,15423
8372,23/11,6,6926,3,8,15298
8967,24/11,7,7559,3,8,16526
3185,18/11,1,2717,4,8,5902
2893,19/11,2,2528,4,8,5421
2722,20/11,3,2954,4,8,5676
3120,21/11,4,3053,4,8,6173
3372,22/11,5,2821,4,8,6193
3175,23/11,6,2988,4,8,6163
3374,24/11,7,3097,4,8,6471
3011,18/11,1,2959,141,8,5970
3828,19/11,2,2297,141,8,6125
3564,20/11,3,3157,141,8,6721
3129,21/11,4,3490,141,8,6619
3481,22/11,5,3214,141,8,6695
3305,23/11,6,2854,141,8,6159
3821,24/11,7,3487,141,8,7308
817,18/11,1,779,221,8,1596
734,19/11,2,668,221,8,1402
850,20/11,3,796,221,8,1646
802,21/11,4,762,221,8,1564
808,22/11,5,665,221,8,1473
711,23/11,6,737,221,8,1448
846,24/11,7,626,221,8,1472
1746,18/11,1,1582,219,8,3328
1272,19/11,2,1225,219,8,2497
1780,20/11,3,1631,219,8,3411
1773,21/11,4,1720,219,8,3493
1769,22/11,5,1743,219,8,3512
1616,23/11,6,1665,219,8,3281
1834,24/11,7,1647,219,8,3481
7239,18/11,1,8066,8,8,15305
7764,19/11,2,6325,8,8,14089
9042,20/11,3,9086,8,8,18128
9156,21/11,4,8665,8,8,17821
9103,22/11,5,8203,8,8,17306
8519,23/11,6,8182,8,8,16701
10163,24/11,7,9181,8,8,19344
3469,18/11,1,4403,179,8,7872
3832,19/11,2,3497,179,8,7329
4896,20/11,3,3691,179,8,8587
3830,21/11,4,4313,179,8,8143
3716,22/11,5,4460,179,8,8176
3886,23/11,6,4206,179,8,8092
4461,24/11,7,4808,179,8,9269
2244,18/11,1,2757,175,8,5001
2045,19/11,2,2231,175,8,4276
2825,20/11,3,2345,175,8,5170
2122,21/11,4,1986,175,8,4108
2108,22/11,5,2035,175,8,4143
2241,23/11,6,2034,175,8,4275
2381,24/11,7,2437,175,8,4818
20748,18/11,1,23779,75,8,44527
17162,19/11,2,16052,75,8,33214
20852,20/11,3,23202,75,8,44054
23293,21/11,4,24898,75,8,48191
