classe,percentage,point,survey,total
Reboques,0.2,75,8,462.0
Veículo Leve,76.5,251,8,45212.0
Moto,4.9,251,8,2878.0
Ônibus,3.7,251,8,2164.0
Caminhão Leve,10.1,251,8,5961.0
Truck,0.5,251,8,269.0
Semirreboques,3.5,251,8,2096.0
Semirreboques Especiais,0.6,251,8,371.0
Reboques,0.3,251,8,149.0
Veículo Leve,64.9,174,8,6363.0
Moto,9.8,174,8,961.0
Ônibus,2.7,174,8,263.0
Caminhão Leve,12.9,174,8,1265.0
Truck,0.2,174,8,22.0
Semirreboques,9.0,174,8,878.0
Semirreboques Especiais,0.3,174,8,31.0
Reboques,0.2,174,8,16.0
Veículo Leve,45.9,229,8,6168.0
Moto,28.3,229,8,3804.0
Ônibus,1.5,229,8,197.0
Caminhão Leve,10.7,229,8,1434.0
Truck,0.3,229,8,37.0
Semirreboques,6.9,229,8,929.0
Semirreboques Especiais,6.3,229,8,851.0
Reboques,0.1,229,8,8.0
Veículo Leve,72.5,137,8,14088.0
Moto,12.7,137,8,2471.0
Ônibus,3.3,137,8,644.0
Caminhão Leve,10.4,137,8,2010.0
Truck,0.1,137,8,26.0
Semirreboques,0.8,137,8,164.0
Semirreboques Especiais,0.0,137,8,4.0
Reboques,0.1,137,8,13.0
Veículo Leve,53.9,183,8,20618.0
Moto,1.4,183,8,533.0
Ônibus,2.2,183,8,826.0
Caminhão Leve,14.4,183,8,5491.0
Truck,0.4,183,8,146.0
Semirreboques,19.6,183,8,7496.0
Semirreboques Especiais,8.1,183,8,3089.0
Reboques,0.1,183,8,42.0
Veículo Leve,65.6,151,8,43386.0
Moto,2.2,151,8,1473.0
Ônibus,2.5,151,8,1673.0
Caminhão Leve,11.1,151,8,7340.0
Truck,0.1,151,8,99.0
Semirreboques,13.0,151,8,8602.0
Semirreboques Especiais,5.0,151,8,3309.0
Reboques,0.3,151,8,221.0
Veículo Leve,51.7,238,8,13490.0
Moto,1.3,238,8,348.0
Ônibus,1.7,238,8,455.0
Caminhão Leve,15.8,238,8,4110.0
Truck,0.5,238,8,139.0
Semirreboques,20.8,238,8,5436.0
Semirreboques Especiais,7.6,238,8,1987.0
Reboques,0.4,238,8,107.0
Veículo Leve,35.3,197,8,13297.0
Moto,0.8,197,8,294.0
Ônibus,1.7,197,8,640.0
Caminhão Leve,17.4,197,8,6567.0
Truck,0.4,197,8,133.0
Semirreboques,32.8,197,8,12360.0
Semirreboques Especiais,11.4,197,8,4295.0
Reboques,0.2,197,8,76.0
Veículo Leve,66.0,284,8,45059.0
Moto,1.6,284,8,1106.0
Ônibus,2.0,284,8,1368.0
Caminhão Leve,11.5,284,8,7874.0
Truck,0.3,284,8,222.0
Semirreboques,14.4,284,8,9837.0
Semirreboques Especiais,4.0,284,8,2729.0
Reboques,0.1,284,8,84.0
Veículo Leve,44.5,107,8,13985.0
Moto,6.1,107,8,1904.0
Ônibus,3.6,107,8,1122.0
Caminhão Leve,10.4,107,8,3281.0
Truck,0.8,107,8,246.0
Semirreboques,22.2,107,8,6971.0
Semirreboques Especiais,12.1,107,8,3791.0
Reboques,0.3,107,8,103.0
Veículo Leve,50.7,136,8,5275.0
Moto,35.2,136,8,3667.0
Ônibus,2.1,136,8,223.0
Caminhão Leve,10.6,136,8,1102.0
Truck,0.1,136,8,6.0
Semirreboques,1.1,136,8,112.0
Semirreboques Especiais,0.2,136,8,24.0
Reboques,0.0,136,8,0.0
Veículo Leve,56.6,154,8,28624.0
Moto,3.1,154,8,1566.0
Ônibus,3.3,154,8,1650.0
Caminhão Leve,6.9,154,8,3515.0
Truck,0.4,154,8,206.0
Semirreboques,11.0,154,8,5546.0
Semirreboques Especiais,18.5,154,8,9378.0
Reboques,0.2,154,8,112.0
Veículo Leve,71.2,57,8,87385.0
Moto,11.2,57,8,13794.0
Ônibus,3.1,57,8,3821.0
Caminhão Leve,10.2,57,8,12580.0
Truck,0.1,57,8,175.0
Semirreboques,3.1,57,8,3855.0
Semirreboques Especiais,0.9,57,8,1078.0
Reboques,0.0,57,8,47.0
Veículo Leve,50.4,63,8,16014.0
Moto,7.5,63,8,2376.0
Ônibus,2.7,63,8,847.0
Caminhão Leve,16.3,63,8,5162.0
Truck,0.4,63,8,141.0
Semirreboques,14.0,63,8,4440.0
Semirreboques Especiais,8.5,63,8,2697.0
Reboques,0.2,63,8,75.0
Veículo Leve,29.3,162,8,7693.0
Moto,5.4,162,8,1423.0
Ônibus,2.4,162,8,623.0
Caminhão Leve,17.5,162,8,4583.0
Truck,0.3,162,8,70.0
Semirreboques,36.5,162,8,9595.0
Semirreboques Especiais,8.4,162,8,2211.0
Reboques,0.2,162,8,60.0
Veículo Leve,57.9,145,8,8493.0
Moto,6.4,145,8,932.0
Ônibus,1.4,145,8,211.0
Caminhão Leve,15.6,145,8,2293.0
Truck,0.2,145,8,25.0
Semirreboques,11.7,145,8,1716.0
Semirreboques Especiais,6.8,145,8,992.0
Reboques,0.1,145,8,8.0
Veículo Leve,64.5,188,8,26668.0
Moto,3.9,188,8,1620.0
Ônibus,1.7,188,8,687.0
Caminhão Leve,13.5,188,8,5567.0
Truck,0.2,188,8,91.0
Semirreboques,12.8,188,8,5309.0
Semirreboques Especiais,3.3,188,8,1354.0
Reboques,0.1,188,8,52.0
Veículo Leve,74.3,182,8,10524.0
Moto,4.0,182,8,561.0
Ônibus,2.9,182,8,417.0
Caminhão Leve,14.4,182,8,2045.0
Truck,0.2,182,8,27.0
Semirreboques,3.5,182,8,496.0
Semirreboques Especiais,0.7,182,8,95.0
Reboques,0.1,182,8,8.0
Veículo Leve,65.8,176,8,26182.0
Moto,10.7,176,8,4256.0
Ônibus,2.3,176,8,904.0
Caminhão Leve,9.0,176,8,3568.0
Truck,0.3,176,8,102.0
Semirreboques,8.3,176,8,3288.0
Semirreboques Especiais,3.7,176,8,1470.0
Reboques,0.1,176,8,38.0
Veículo Leve,54.6,40,8,21328.0
Moto,1.0,40,8,400.0
Ônibus,1.7,40,8,650.0
Caminhão Leve,15.9,40,8,6210.0
Truck,0.4,40,8,164.0
Semirreboques,16.7,40,8,6538.0
Semirreboques Especiais,9.3,40,8,3646.0
Reboques,0.3,40,8,127.0
Veículo Leve,56.0,199,8,12499.0
Moto,3.0,199,8,660.0
Ônibus,2.8,199,8,635.0
Caminhão Leve,15.7,199,8,3502.0
Truck,0.2,199,8,46.0
Semirreboques,14.0,199,8,3123.0
Semirreboques Especiais,8.2,199,8,1841.0
Reboques,0.0,199,8,11.0
Veículo Leve,62.2,51,8,21505.0
Moto,3.3,51,8,1128.0
Ônibus,3.2,51,8,1104.0
Caminhão Leve,8.0,51,8,2773.0
Truck,0.2,51,8,68.0
Semirreboques,14.7,51,8,5083.0
Semirreboques Especiais,8.4,51,8,2891.0
Reboques,0.1,51,8,43.0
Veículo Leve,65.2,285,8,74975.0
Moto,3.2,285,8,3652.0
Ônibus,3.3,285,8,3775.0
Caminhão Leve,12.9,285,8,14804.0
Truck,0.3,285,8,332.0
Semirreboques,10.4,285,8,11981.0
Semirreboques Especiais,4.7,285,8,5445.0
Reboques,0.1,285,8,78.0
Veículo Leve,54.2,286,8,21354.0
Moto,1.0,286,8,411.0
