C1,C2,C3,C4,C5,M,O1,O2,O3,P1,P2,P3,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6,SE1,SE2,SE3,SE4,SE5,day,hora,point,sentido,survey,vh
0,2,0,0,0,1,0,0,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,146,C,7,22
0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,146,C,7,18
1,0,0,0,1,0,0,0,0,16,0,4,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,22,146,D,7,26
2,1,0,0,0,2,0,1,0,7,1,3,0,0,0,0,0,0,0,1,0,0,7,3,1,0,3,0,2,1,0,55,C,7,34
3,0,0,2,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,4,1,0,6,0,0,1,1,55,C,7,26
1,3,1,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,5,1,2,0,1,5,1,0,5,0,0,1,0,55,D,7,31
0,3,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,2,0,0,1,1,55,D,7,20
3,1,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,2,1,12,0,0,1,2,55,C,7,27
1,0,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8,0,0,1,3,55,C,7,20
1,4,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,2,2,0,0,4,1,0,4,0,0,1,2,55,D,7,35
2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,146,C,7,10
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,146,C,7,7
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,146,D,7,1
1,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,4,1,146,D,7,13
1,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,146,C,7,9
0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,146,C,7,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,146,C,7,0
2,0,0,0,0,1,0,5,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,146,D,7,26
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,146,D,7,2
0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,146,C,7,9
0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,146,C,7,6
1,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,7,2,146,D,7,26
0,1,0,0,0,1,0,1,0,4,1,3,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,7,3,146,D,7,16
0,0,0,1,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,146,C,7,10
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,146,C,7,6
0,0,0,0,0,0,0,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,146,C,7,10
0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,146,D,7,11
0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,146,D,7,4
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,146,C,7,2
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,146,C,7,3
1,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,146,D,7,6
2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,146,D,7,12
0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,146,C,7,4
0,0,0,0,0,1,1,0,0,7,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,5,146,C,7,14
