crescente,date,day,decrescente,point,survey,total
1413,01/07,1,1160,146,7,2573
1044,02/07,2,1421,146,7,2465
1224,03/07,3,1218,146,7,2442
1269,04/07,4,981,146,7,2250
1168,05/07,5,997,146,7,2165
1309,06/07,6,1048,146,7,2357
1889,07/07,7,1230,146,7,3119
3798,01/07,1,3277,123,7,7075
2948,02/07,2,3619,123,7,6567
4134,03/07,3,4563,123,7,8697
4140,04/07,4,4505,123,7,8645
4378,05/07,5,4255,123,7,8633
4210,06/07,6,3951,123,7,8161
4696,07/07,7,4463,123,7,9159
1675,01/07,1,1318,55,7,2993
1172,02/07,2,1587,55,7,2759
1089,03/07,3,956,55,7,2045
1198,04/07,4,1260,55,7,2458
1142,05/07,5,1327,55,7,2469
1232,06/07,6,1343,55,7,2575
1218,07/07,7,1326,55,7,2544
17448,01/07,1,19544,298,7,36992
23211,02/07,2,10319,298,7,33530
20317,03/07,3,12507,298,7,32824
19771,04/07,4,13823,298,7,33594
14738,05/07,5,16414,298,7,31152
18627,06/07,6,14307,298,7,32934
19748,07/07,7,14994,298,7,34742
961,01/07,1,1041,12,7,2002
1005,02/07,2,733,12,7,1738
941,03/07,3,932,12,7,1873
941,04/07,4,965,12,7,1906
1225,05/07,5,1003,12,7,2228
1080,06/07,6,1036,12,7,2116
1108,07/07,7,1067,12,7,2175
4196,01/07,1,5370,111,7,9566
4194,02/07,2,3541,111,7,7735
4275,03/07,3,5567,111,7,9842
4167,04/07,4,5323,111,7,9490
4021,05/07,5,5364,111,7,9385
4400,06/07,6,5557,111,7,9957
4524,07/07,7,6532,111,7,11056
10670,01/07,1,13644,31,7,24314
13721,02/07,2,9607,31,7,23328
11457,03/07,3,10988,31,7,22445
10852,04/07,4,10349,31,7,21201
10953,05/07,5,11264,31,7,22217
11266,06/07,6,11199,31,7,22465
12850,07/07,7,14045,31,7,26895
2227,01/07,1,2564,126,7,4791
1946,02/07,2,2724,126,7,4670
2259,03/07,3,2235,126,7,4494
2470,04/07,4,2182,126,7,4652
2309,05/07,5,2156,126,7,4465
2218,06/07,6,2224,126,7,4442
2217,07/07,7,2237,126,7,4454
2318,01/07,1,2303,143,7,4621
2062,02/07,2,2018,143,7,4080
2775,03/07,3,3384,143,7,6159
3016,04/07,4,2968,143,7,5984
2958,05/07,5,3130,143,7,6088
3032,06/07,6,3182,143,7,6214
3631,07/07,7,3913,143,7,7544
3282,01/07,1,4055,7,7,7337
2776,02/07,2,3032,7,7,5808
4364,03/07,3,3931,7,7,8295
4000,04/07,4,3897,7,7,7897
4126,05/07,5,4130,7,7,8256
4152,06/07,6,3827,7,7,7979
4206,07/07,7,3643,7,7,7849
5460,01/07,1,6213,16,7,11673
5398,02/07,2,3993,16,7,9391
6645,03/07,3,6927,16,7,13572
5576,04/07,4,5795,16,7,11371
6060,05/07,5,6251,16,7,12311
6215,06/07,6,5808,16,7,12023
7774,07/07,7,6234,16,7,14008
3945,01/07,1,3572,58,7,7517
3405,02/07,2,3638,58,7,7043
4165,03/07,3,4168,58,7,8333
3882,04/07,4,4689,58,7,8571
4655,05/07,5,4407,58,7,9062
4574,06/07,6,4752,58,7,9326
4615,07/07,7,4741,58,7,9356
7765,01/07,1,7259,56,7,15024
7296,02/07,2,5638,56,7,12934
9253,03/07,3,8173,56,7,17426
8198,04/07,4,7291,56,7,15489
8449,05/07,5,6060,56,7,14509
8628,06/07,6,7362,56,7,15990
9723,07/07,7,7770,56,7,17493
8870,01/07,1,7586,74,7,16456
8533,02/07,2,6866,74,7,15399
9157,03/07,3,7728,74,7,16885
8929,04/07,4,7052,74,7,15981
8139,05/07,5,7491,74,7,15630
7483,06/07,6,7524,74,7,15007
8969,07/07,7,8954,74,7,17923
11079,01/07,1,13958,220,7,25037
9779,02/07,2,9911,220,7,19690
13313,03/07,3,12333,220,7,25646
12124,04/07,4,14052,220,7,26176
12931,05/07,5,13844,220,7,26775
12809,06/07,6,12132,220,7,24941
12692,07/07,7,14372,220,7,27064
4435,01/07,1,2959,244,7,7394
2913,02/07,2,2697,244,7,5610
5034,03/07,3,2908,244,7,7942
5004,04/07,4,3093,244,7,8097
4647,05/07,5,2937,244,7,7584
4890,06/07,6,3227,244,7,8117
5574,07/07,7,3819,244,7,9393
8731,01/07,1,8027,78,7,16758
7269,02/07,2,8826,78,7,16095
9997,03/07,3,11020,78,7,21017
9877,04/07,4,10212,78,7,20089
9827,05/07,5,9584,78,7,19411
9713,06/07,6,10268,78,7,19981
11853,07/07,7,11752,78,7,23605
8707,01/07,1,6942,101,7,15649
6163,02/07,2,8022,101,7,14185
8491,03/07,3,10027,101,7,18518
8616,04/07,4,8942,101,7,17558
8906,05/07,5,9109,101,7,18015
8916,06/07,6,8761,101,7,17677
10285,07/07,7,9641,101,7,19926
2118,01/07,1,1878,255,7,3996
1821,02/07,2,1569,255,7,3390
2639,03/07,3,2464,255,7,5103
2258,04/07,4,2287,255,7,4545
2664,05/07,5,1978,255,7,4642
2398,06/07,6,2270,255,7,4668
2518,07/07,7,2186,255,7,4704
3614,01/07,1,3402,252,7,7016
4103,02/07,2,2319,252,7,6422
4433,03/07,3,2667,252,7,7100
4155,04/07,4,2565,252,7,6720
4143,05/07,5,2514,252,7,6657
4024,06/07,6,2621,252,7,6645
4348,07/07,7,3489,252,7,7837
7689,01/07,1,5670,13,7,13359
4747,02/07,2,6888,13,7,11635
6946,03/07,3,7496,13,7,14442
6361,04/07,4,5693,13,7,12054
6680,05/07,5,5997,13,7,12677
6609,06/07,6,7091,13,7,13700
9020,07/07,7,7897,13,7,16917
3017,01/07,1,2868,140,7,5885
2149,02/07,2,2775,140,7,4924
2660,03/07,3,3061,140,7,5721
2830,04/07,4,2907,140,7,5737
2751,05/07,5,3087,140,7,5838
3208,06/07,6,2844,140,7,6052
3203,07/07,7,3296,140,7,6499
4472,01/07,1,3746,9,7,8218
3524,02/07,2,5324,9,7,8848
3437,03/07,3,4732,9,7,8169
3536,04/07,4,3562,9,7,7098
4184,05/07,5,3700,9,7,7884
3808,06/07,6,3668,9,7,7476
4528,07/07,7,4130,9,7,8658
2426,01/07,1,2550,177,7,4976
2028,02/07,2,2247,177,7,4275
2359,03/07,3,2270,177,7,4629
2077,04/07,4,2099,177,7,4176
2276,05/07,5,2214,177,7,4490
2477,06/07,6,2344,177,7,4821
2578,07/07,7,2702,177,7,5280
4263,01/07,1,4709,37,7,8972
4672,02/07,2,3549,37,7,8221
4822,03/07,3,4230,37,7,9052
4429,04/07,4,4146,37,7,8575
4293,05/07,5,4296,37,7,8589
4416,06/07,6,3978,37,7,8394
4646,07/07,7,5177,37,7,9823
2017,01/07,1,1722,59,7,3739
1753,02/07,2,2049,59,7,3802
1714,03/07,3,2034,59,7,3748
2034,04/07,4,2017,59,7,4051
2041,05/07,5,1906,59,7,3947
2123,06/07,6,1793,59,7,3916
2395,07/07,7,1874,59,7,4269
13325,01/07,1,18278,117,7,31603
17124,02/07,2,11912,117,7,29036
16244,03/07,3,19423,117,7,35667
14612,04/07,4,18287,117,7,32899
14268,05/07,5,20895,117,7,35163
14726,06/07,6,24070,117,7,38796
19332,07/07,7,20903,117,7,40235
9338,01/07,1,7057,104,7,16395
6587,02/07,2,9938,104,7,16525
7076,03/07,3,8737,104,7,15813
8358,04/07,4,8377,104,7,16735
8453,05/07,5,8638,104,7,17091
10229,06/07,6,9276,104,7,19505
10654,07/07,7,8578,104,7,19232
7698,01/07,1,6779,83,7,14477
6021,02/07,2,8002,83,7,14023
7143,03/07,3,6834,83,7,13977
6689,04/07,4,6560,83,7,13249
6766,05/07,5,6693,83,7,13459
7430,06/07,6,7064,83,7,14494
8141,07/07,7,8371,83,7,16512
21239,01/07,1,23513,103,7,44752
17003,02/07,2,24220,103,7,41223
21805,03/07,3,25545,103,7,47350
22000,04/07,4,26195,103,7,48195
23744,05/07,5,24658,103,7,48402
23214,06/07,6,24979,103,7,48193
21719,07/07,7,25745,103,7,47464
20002,01/07,1,22251,279,7,42253
26070,02/07,2,21908,279,7,47978
19494,03/07,3,19561,279,7,39055
20264,04/07,4,19466,279,7,39730
18917,05/07,5,19009,279,7,37926
19932,06/07,6,19249,279,7,39181
22075,07/07,7,23246,279,7,45321
589,01/07,1,790,198,7,1379
751,02/07,2,531,198,7,1282
726,03/07,3,794,198,7,1520
697,04/07,4,796,198,7,1493
746,05/07,5,795,198,7,1541
752,06/07,6,791,198,7,1543
823,07/07,7,941,198,7,1764
13108,01/07,1,9552,281,7,22660
7569,02/07,2,11181,281,7,18750
9365,03/07,3,10721,281,7,20086
11113,04/07,4,9584,281,7,20697
11565,05/07,5,10726,281,7,22291
11853,06/07,6,11833,281,7,23686
10989,07/07,7,9849,281,7,20838
15462,01/07,1,18107,280,7,33569
21689,02/07,2,15588,280,7,37277
17423,03/07,3,17441,280,7,34864
16185,04/07,4,16619,280,7,32804
17342,05/07,5,16881,280,7,34223
17365,06/07,6,16634,280,7,33999
16720,07/07,7,18099,280,7,34819
2471,01/07,1,2618,62,7,5089
2409,02/07,2,1950,62,7,4359
2988,03/07,3,2699,62,7,5687
2894,04/07,4,2771,62,7,5665
3064,05/07,5,2737,62,7,5801
3098,06/07,6,2878,62,7,5976
3420,07/07,7,3305,62,7,6725
2723,01/07,1,3058,10,7,5781
2172,02/07,2,2352,10,7,4524
2627,03/07,3,2382,10,7,5009
2766,04/07,4,2536,10,7,5302
2664,05/07,5,2584,10,7,5248
2696,06/07,6,2633,10,7,5329
2551,07/07,7,2283,10,7,4834
877,01/07,1,737,223,7,1614
558,02/07,2,674,223,7,1232
920,03/07,3,759,223,7,1679
889,04/07,4,728,223,7,1617
761,05/07,5,771,223,7,1532
836,06/07,6,783,223,7,1619
925,07/07,7,913,223,7,1838
4089,01/07,1,4260,161,7,8349
3582,02/07,2,4056,161,7,7638
3363,03/07,3,3209,161,7,6572
3268,04/07,4,3510,161,7,6778
3227,05/07,5,2972,161,7,6199
3521,06/07,6,3396,161,7,6917
3868,07/07,7,3836,161,7,7704
3330,01/07,1,3077,26,7,6407
2509,02/07,2,2798,26,7,5307
3006,03/07,3,3515,26,7,6521
3347,04/07,4,3122,26,7,6469
3304,05/07,5,3501,26,7,6805
3802,06/07,6,3553,26,7,7355
3722,07/07,7,3403,26,7,7125
4547,01/07,1,5795,38,7,10342
5303,02/07,2,4854,38,7,10157
4736,03/07,3,3957,38,7,8693
4238,04/07,4,4381,38,7,8619
4284,05/07,5,4206,38,7,8490
4432,06/07,6,4684,38,7,9116
4837,07/07,7,5961,38,7,10798
2837,01/07,1,2437,22,7,5274
2833,02/07,2,2187,22,7,5020
2461,03/07,3,1903,22,7,4364
2177,04/07,4,1712,22,7,3889
2087,05/07,5,2073,22,7,4160
2561,06/07,6,2206,22,7,4767
2744,07/07,7,2084,22,7,4828
468,01/07,1,717,110,7,1185
435,02/07,2,808,110,7,1243
