classe,percentage,point,survey,total
Veículo Leve,84.2,146,7,14626.0
Moto,3.5,146,7,604.0
Ônibus,2.0,146,7,343.0
Caminhão Leve,5.8,146,7,1003.0
Truck,0.4,146,7,70.0
Semirreboques,2.7,146,7,464.0
Semirreboques Especiais,1.5,146,7,252.0
Reboques,0.1,146,7,9.0
Veículo Leve,68.3,123,7,38864.0
Moto,2.7,123,7,1551.0
Ônibus,2.2,123,7,1230.0
Caminhão Leve,11.0,123,7,6268.0
Truck,0.2,123,7,98.0
Semirreboques,12.4,123,7,7072.0
Semirreboques Especiais,3.2,123,7,1798.0
Reboques,0.1,123,7,56.0
Veículo Leve,69.2,33,7,53100.0
Moto,2.5,33,7,1956.0
Ônibus,3.6,33,7,2726.0
Caminhão Leve,11.2,33,7,8633.0
Truck,0.2,33,7,165.0
Semirreboques,12.1,33,7,9257.0
Semirreboques Especiais,1.1,33,7,872.0
Reboques,0.1,33,7,70.0
Veículo Leve,61.1,169,7,25330.0
Moto,1.8,169,7,760.0
Ônibus,2.4,169,7,983.0
Caminhão Leve,10.7,169,7,4415.0
Truck,0.3,169,7,127.0
Semirreboques,15.8,169,7,6558.0
Semirreboques Especiais,7.8,169,7,3243.0
Reboques,0.1,169,7,38.0
Veículo Leve,72.3,111,7,48477.0
Moto,7.5,111,7,5021.0
Ônibus,1.2,111,7,807.0
Caminhão Leve,11.7,111,7,7845.0
Truck,0.2,111,7,142.0
Semirreboques,4.1,111,7,2715.0
Semirreboques Especiais,2.5,111,7,1703.0
Reboques,0.5,111,7,321.0
Veículo Leve,62.6,126,7,20020.0
Moto,5.6,126,7,1779.0
Ônibus,2.9,126,7,941.0
Caminhão Leve,16.7,126,7,5349.0
Truck,0.2,126,7,51.0
Semirreboques,9.9,126,7,3158.0
Semirreboques Especiais,1.8,126,7,580.0
Reboques,0.3,126,7,90.0
Veículo Leve,64.3,143,7,26153.0
Moto,7.8,143,7,3178.0
Ônibus,3.6,143,7,1477.0
Caminhão Leve,13.4,143,7,5469.0
Truck,0.5,143,7,211.0
Semirreboques,8.1,143,7,3285.0
Semirreboques Especiais,1.9,143,7,778.0
Reboques,0.3,143,7,139.0
Veículo Leve,60.8,16,7,51303.0
Moto,8.2,16,7,6923.0
