classe,percentage,point,survey,total
Veículo Leve,63.9,211,5,5025.0
Moto,1.8,211,5,139.0
Ônibus,2.3,211,5,179.0
Caminhão Leve,14.3,211,5,1122.0
Truck,0.5,211,5,37.0
Semirreboques,9.2,211,5,727.0
Semirreboques Especiais,8.0,211,5,629.0
Reboques,0.1,211,5,7.0
Veículo Leve,59.8,92,5,116634.0
Moto,1.8,92,5,3530.0
Ônibus,1.3,92,5,2612.0
Caminhão Leve,11.3,92,5,21969.0
Truck,0.4,92,5,846.0
Semirreboques,20.0,92,5,38903.0
Semirreboques Especiais,5.1,92,5,9991.0
Reboques,0.2,92,5,415.0
Veículo Leve,76.1,93,5,212066.0
Moto,5.2,93,5,14531.0
Ônibus,1.2,93,5,3456.0
Caminhão Leve,6.9,93,5,19347.0
Truck,0.2,93,5,493.0
Semirreboques,8.2,93,5,22763.0
Semirreboques Especiais,2.1,93,5,5785.0
Reboques,0.1,93,5,225.0
Veículo Leve,65.2,263,5,74940.0
Moto,2.1,263,5,2470.0
Ônibus,1.7,263,5,1916.0
Caminhão Leve,12.7,263,5,14648.0
Truck,0.1,263,5,160.0
Semirreboques,15.2,263,5,17418.0
Semirreboques Especiais,2.8,263,5,3265.0
Reboques,0.1,263,5,137.0
Veículo Leve,58.0,67,5,26255.0
Moto,1.8,67,5,823.0
Ônibus,1.9,67,5,860.0
Caminhão Leve,17.2,67,5,7780.0
Truck,0.5,67,5,220.0
Semirreboques,17.6,67,5,7975.0
Semirreboques Especiais,2.9,67,5,1325.0
Reboques,0.1,67,5,55.0
Veículo Leve,35.2,66,5,36371.0
Moto,0.6,66,5,664.0
Ônibus,2.1,66,5,2150.0
Caminhão Leve,20.5,66,5,21171.0
Truck,0.4,66,5,372.0
Semirreboques,35.8,66,5,36987.0
Semirreboques Especiais,5.3,66,5,5483.0
Reboques,0.2,66,5,157.0
Veículo Leve,61.0,273,5,20691.0
Moto,2.2,273,5,747.0
Ônibus,3.1,273,5,1065.0
Caminhão Leve,17.0,273,5,5780.0
Truck,0.3,273,5,117.0
Semirreboques,14.5,273,5,4934.0
Semirreboques Especiais,1.7,273,5,577.0
Reboques,0.0,273,5,12.0
Veículo Leve,43.5,119,5,19851.0
Moto,0.9,119,5,432.0
Ônibus,1.8,119,5,815.0
Caminhão Leve,16.5,119,5,7546.0
Truck,0.2,119,5,81.0
Semirreboques,28.2,119,5,12845.0
Semirreboques Especiais,8.4,119,5,3833.0
Reboques,0.5,119,5,207.0
Veículo Leve,47.8,115,5,13507.0
Moto,3.2,115,5,915.0
Ônibus,0.8,115,5,216.0
Caminhão Leve,8.9,115,5,2503.0
Truck,0.4,115,5,101.0
Semirreboques,16.6,115,5,4690.0
Semirreboques Especiais,22.3,115,5,6309.0
Reboques,0.1,115,5,41.0
Veículo Leve,61.0,87,5,16332.0
Moto,1.7,87,5,450.0
Ônibus,3.3,87,5,888.0
