classe,percentage,point,survey,total
Caminhão Leve,12.2,87,5,3260.0
Truck,0.2,87,5,61.0
Semirreboques,13.4,87,5,3576.0
Semirreboques Especiais,7.0,87,5,1870.0
Reboques,1.3,87,5,342.0
Veículo Leve,58.7,237,5,29249.0
Moto,3.6,237,5,1802.0
Ônibus,1.9,237,5,922.0
Caminhão Leve,11.3,237,5,5635.0
Truck,0.2,237,5,85.0
Semirreboques,16.3,237,5,8098.0
Semirreboques Especiais,7.9,237,5,3955.0
Reboques,0.2,237,5,82.0
Veículo Leve,62.7,84,5,22721.0
Moto,4.4,84,5,1607.0
Ônibus,2.5,84,5,894.0
Caminhão Leve,10.9,84,5,3950.0
Truck,0.3,84,5,94.0
Semirreboques,11.8,84,5,4268.0
Semirreboques Especiais,7.4,84,5,2689.0
Reboques,0.0,84,5,13.0
Veículo Leve,68.1,269,5,15423.0
Moto,2.3,269,5,517.0
Ônibus,2.6,269,5,593.0
Caminhão Leve,11.6,269,5,2627.0
Truck,0.4,269,5,82.0
Semirreboques,12.0,269,5,2722.0
Semirreboques Especiais,2.4,269,5,553.0
Reboques,0.5,269,5,116.0
Veículo Leve,67.4,85,5,37616.0
Moto,2.9,85,5,1628.0
Ônibus,1.7,85,5,957.0
Caminhão Leve,7.8,85,5,4353.0
Truck,0.2,85,5,124.0
Semirreboques,11.2,85,5,6254.0
Semirreboques Especiais,8.6,85,5,4781.0
Reboques,0.2,85,5,104.0
Veículo Leve,70.2,48,5,69904.0
Moto,8.2,48,5,8188.0
Ônibus,2.7,48,5,2700.0
Caminhão Leve,6.9,48,5,6865.0
Truck,0.4,48,5,412.0
Semirreboques,5.8,48,5,5802.0
Semirreboques Especiais,5.7,48,5,5676.0
Reboques,0.0,48,5,21.0
Veículo Leve,50.1,2,5,20194.0
Moto,1.5,2,5,618.0
Ônibus,1.9,2,5,779.0
Caminhão Leve,9.0,2,5,3627.0
Truck,0.3,2,5,118.0
Semirreboques,11.3,2,5,4557.0
Semirreboques Especiais,25.3,2,5,10209.0
Reboques,0.5,2,5,212.0
Veículo Leve,55.5,296,5,27389.0
Moto,1.8,296,5,872.0
Ônibus,2.5,296,5,1225.0
Caminhão Leve,10.0,296,5,4935.0
Truck,0.3,296,5,126.0
Semirreboques,15.1,296,5,7432.0
Semirreboques Especiais,14.9,296,5,7354.0
Reboques,0.1,296,5,44.0
Veículo Leve,54.3,121,5,17224.0
Moto,7.9,121,5,2501.0
Ônibus,2.5,121,5,808.0
Caminhão Leve,7.6,121,5,2406.0
Truck,0.4,121,5,125.0
Semirreboques,8.7,121,5,2758.0
Semirreboques Especiais,18.5,121,5,5883.0
Reboques,0.1,121,5,43.0
Veículo Leve,67.9,275,5,29746.0
Moto,3.5,275,5,1514.0
Ônibus,1.5,275,5,670.0
Caminhão Leve,10.2,275,5,4491.0
Truck,0.2,275,5,101.0
Semirreboques,8.7,275,5,3815.0
Semirreboques Especiais,7.9,275,5,3477.0
Reboques,0.0,275,5,19.0
Veículo Leve,34.4,53,5,22227.0
Moto,1.7,53,5,1081.0
Ônibus,1.6,53,5,1066.0
Caminhão Leve,6.4,53,5,4134.0
Truck,0.6,53,5,368.0
Semirreboques,18.1,53,5,11680.0
Semirreboques Especiais,37.1,53,5,23978.0
Reboques,0.1,53,5,77.0
Veículo Leve,61.3,52,5,14581.0
Moto,5.7,52,5,1366.0
Ônibus,3.0,52,5,715.0
Caminhão Leve,10.7,52,5,2555.0
Truck,0.3,52,5,68.0
Semirreboques,11.9,52,5,2821.0
Semirreboques Especiais,6.5,52,5,1543.0
Reboques,0.6,52,5,153.0
Veículo Leve,38.7,262,5,4800.0
Moto,5.8,262,5,714.0
Ônibus,3.1,262,5,386.0
Caminhão Leve,11.8,262,5,1464.0
Truck,0.5,262,5,66.0
Semirreboques,26.2,262,5,3246.0
Semirreboques Especiais,13.5,262,5,1676.0
Reboques,0.4,262,5,52.0
Veículo Leve,60.6,209,5,5588.0
Moto,2.5,209,5,234.0
Ônibus,3.3,209,5,302.0
Caminhão Leve,11.8,209,5,1090.0
Truck,0.7,209,5,60.0
Semirreboques,17.7,209,5,1631.0
Semirreboques Especiais,3.2,209,5,296.0
Reboques,0.3,209,5,27.0
Veículo Leve,47.0,114,5,14362.0
Moto,0.8,114,5,252.0
Ônibus,4.4,114,5,1332.0
Caminhão Leve,8.6,114,5,2636.0
Truck,0.3,114,5,82.0
Semirreboques,18.0,114,5,5497.0
Semirreboques Especiais,20.8,114,5,6347.0
Reboques,0.1,114,5,26.0
Veículo Leve,78.6,236,5,15466.0
Moto,3.3,236,5,652.0
Ônibus,1.9,236,5,372.0
Caminhão Leve,8.7,236,5,1709.0
Truck,0.1,236,5,23.0
Semirreboques,3.4,236,5,663.0
Semirreboques Especiais,3.9,236,5,768.0
Reboques,0.1,236,5,24.0
Veículo Leve,60.2,234,5,19700.0
Moto,1.3,234,5,431.0
Ônibus,3.1,234,5,1013.0
Caminhão Leve,11.3,234,5,3686.0
Truck,0.2,234,5,63.0
Semirreboques,16.1,234,5,5266.0
Semirreboques Especiais,7.5,234,5,2442.0
Reboques,0.3,234,5,111.0
Veículo Leve,57.3,113,5,97325.0
Moto,1.8,113,5,3107.0
Ônibus,1.9,113,5,3215.0
Caminhão Leve,11.0,113,5,18645.0
Truck,0.2,113,5,345.0
Semirreboques,17.7,113,5,30010.0
Semirreboques Especiais,9.2,113,5,15634.0
Reboques,0.9,113,5,1562.0
Veículo Leve,62.6,112,5,78266.0
Moto,5.5,112,5,6874.0
Ônibus,1.3,112,5,1615.0
Caminhão Leve,4.0,112,5,4955.0
Truck,0.3,112,5,383.0
Semirreboques,15.0,112,5,18756.0
Semirreboques Especiais,11.3,112,5,14098.0
Reboques,0.1,112,5,76.0
Veículo Leve,72.3,69,5,81917.0
Moto,3.0,69,5,3427.0
Ônibus,2.9,69,5,3269.0
Caminhão Leve,10.6,69,5,12055.0
Truck,0.3,69,5,291.0
Semirreboques,7.6,69,5,8662.0
Semirreboques Especiais,3.2,69,5,3668.0
Reboques,0.1,69,5,79.0
Veículo Leve,57.4,68,5,39485.0
Moto,2.3,68,5,1567.0
Ônibus,3.0,68,5,2051.0
Caminhão Leve,11.5,68,5,7906.0
Truck,0.3,68,5,200.0
Semirreboques,13.7,68,5,9411.0
Semirreboques Especiais,11.7,68,5,8032.0
Reboques,0.3,68,5,186.0
Veículo Leve,68.7,300,5,20266.0
Moto,2.2,300,5,654.0
Ônibus,1.6,300,5,472.0
Caminhão Leve,13.7,300,5,4044.0
Truck,0.1,300,5,42.0
Semirreboques,10.9,300,5,3209.0
Semirreboques Especiais,2.5,300,5,733.0
Reboques,0.3,300,5,74.0
Veículo Leve,78.5,118,5,85571.0
Moto,6.3,118,5,6849.0
Ônibus,1.1,118,5,1202.0
Caminhão Leve,9.7,118,5,10624.0
Truck,0.1,118,5,139.0
Semirreboques,3.5,118,5,3818.0
Semirreboques Especiais,0.6,118,5,683.0
Reboques,0.1,118,5,81.0
Veículo Leve,61.6,99,5,27577.0
Moto,4.6,99,5,2054.0
Ônibus,1.9,99,5,863.0
Caminhão Leve,13.1,99,5,5886.0
Truck,0.3,99,5,132.0
Semirreboques,10.4,99,5,4672.0
Semirreboques Especiais,8.0,99,5,3566.0
Reboques,0.0,99,5,19.0
Veículo Leve,82.7,274,5,26137.0
Moto,2.2,274,5,689.0
Ônibus,1.4,274,5,438.0
Caminhão Leve,9.7,274,5,3069.0
Truck,0.1,274,5,16.0
Semirreboques,3.0,274,5,956.0
Semirreboques Especiais,0.7,274,5,208.0
Reboques,0.3,274,5,86.0
Veículo Leve,62.4,272,5,14759.0
Moto,2.5,272,5,584.0
Ônibus,1.6,272,5,371.0
Caminhão Leve,15.3,272,5,3616.0
Truck,0.3,272,5,77.0
Semirreboques,14.1,272,5,3337.0
Semirreboques Especiais,3.5,272,5,829.0
Reboques,0.3,272,5,62.0
Veículo Leve,69.9,265,5,34842.0
Moto,1.6,265,5,788.0
Ônibus,1.8,265,5,894.0
Caminhão Leve,12.0,265,5,5994.0
Truck,0.3,265,5,167.0
Semirreboques,12.1,265,5,6016.0
Semirreboques Especiais,2.2,265,5,1091.0
Reboques,0.1,265,5,69.0
Veículo Leve,62.6,86,5,25095.0
Moto,1.5,86,5,587.0
Ônibus,3.0,86,5,1203.0
Caminhão Leve,10.7,86,5,4281.0
Truck,0.1,86,5,53.0
Semirreboques,10.5,86,5,4192.0
Semirreboques Especiais,9.8,86,5,3931.0
Reboques,1.9,86,5,766.0
Veículo Leve,71.0,88,5,10958.0
Moto,2.1,88,5,328.0
Ônibus,2.7,88,5,415.0
Caminhão Leve,10.3,88,5,1592.0
Truck,0.3,88,5,46.0
Semirreboques,11.9,88,5,1837.0
Semirreboques Especiais,1.4,88,5,217.0
Reboques,0.3,88,5,40.0
Veículo Leve,72.4,89,5,11625.0
Moto,1.4,89,5,230.0
Ônibus,2.7,89,5,427.0
Caminhão Leve,9.4,89,5,1503.0
Truck,0.2,89,5,30.0
Semirreboques,7.9,89,5,1265.0
Semirreboques Especiais,5.7,89,5,920.0
Reboques,0.4,89,5,60.0
Veículo Leve,63.1,210,5,3860.0
Moto,12.5,210,5,768.0
Ônibus,1.2,210,5,71.0
Caminhão Leve,11.1,210,5,681.0
Truck,0.3,210,5,21.0
Semirreboques,7.9,210,5,482.0
Semirreboques Especiais,3.9,210,5,236.0
Reboques,0.0,210,5,3.0
Veículo Leve,63.1,235,5,10465.0
Moto,1.8,235,5,294.0
Ônibus,2.3,235,5,379.0
Caminhão Leve,17.8,235,5,2948.0
Truck,0.3,235,5,42.0
Semirreboques,10.1,235,5,1684.0
Semirreboques Especiais,4.5,235,5,753.0
Reboques,0.2,235,5,28.0
Veículo Leve,59.1,71,5,101516.0
Moto,2.4,71,5,4195.0
Ônibus,1.8,71,5,3028.0
Caminhão Leve,11.6,71,5,19949.0
Truck,0.4,71,5,620.0
Semirreboques,19.7,71,5,33924.0
Semirreboques Especiais,4.4,71,5,7623.0
Reboques,0.6,71,5,961.0
Veículo Leve,72.1,240,5,41941.0
Moto,4.3,240,5,2532.0
Ônibus,2.2,240,5,1261.0
Caminhão Leve,10.9,240,5,6319.0
Truck,0.2,240,5,123.0
Semirreboques,6.2,240,5,3607.0
Semirreboques Especiais,4.1,240,5,2374.0
Reboques,0.1,240,5,53.0
Veículo Leve,55.8,295,5,33715.0
Moto,0.9,295,5,538.0
Ônibus,1.8,295,5,1085.0
Caminhão Leve,13.5,295,5,8177.0
Truck,0.4,295,5,231.0
Semirreboques,17.3,295,5,10458.0
Semirreboques Especiais,10.2,295,5,6159.0
Reboques,0.2,295,5,101.0
Veículo Leve,71.6,264,5,119877.0
Moto,1.9,264,5,3178.0
Ônibus,2.7,264,5,4585.0
Caminhão Leve,11.1,264,5,18518.0
Truck,0.2,264,5,307.0
Semirreboques,10.7,264,5,17844.0
Semirreboques Especiais,1.5,264,5,2520.0
Reboques,0.4,264,5,695.0
Veículo Leve,81.0,267,5,6185.0
Moto,4.5,267,5,340.0
Ônibus,1.8,267,5,140.0
Caminhão Leve,8.1,267,5,622.0
Truck,0.1,267,5,9.0
Semirreboques,3.4,267,5,258.0
Semirreboques Especiais,0.8,267,5,64.0
Reboques,0.2,267,5,18.0
Veículo Leve,74.8,266,5,4904.0
Moto,8.6,266,5,564.0
Ônibus,1.9,266,5,127.0
Caminhão Leve,8.0,266,5,522.0
Truck,0.1,266,5,9.0
Semirreboques,6.1,266,5,399.0
Semirreboques Especiais,0.4,266,5,23.0
Reboques,0.1,266,5,4.0
Veículo Leve,78.1,271,5,16693.0
Moto,2.7,271,5,573.0
Ônibus,1.3,271,5,278.0
Caminhão Leve,11.1,271,5,2377.0
Truck,0.2,271,5,41.0
Semirreboques,5.6,271,5,1190.0
Semirreboques Especiais,0.8,271,5,172.0
Reboques,0.2,271,5,41.0
Veículo Leve,51.3,90,5,40092.0
Moto,4.4,90,5,3448.0
Ônibus,2.1,90,5,1618.0
Caminhão Leve,6.5,90,5,5095.0
Truck,0.3,90,5,234.0
Semirreboques,23.0,90,5,18025.0
Semirreboques Especiais,12.0,90,5,9410.0
Reboques,0.4,90,5,300.0
Veículo Leve,77.4,299,5,98148.0
Moto,3.9,299,5,4894.0
Ônibus,0.7,299,5,864.0
Caminhão Leve,10.0,299,5,12670.0
Truck,0.2,299,5,274.0
Semirreboques,6.8,299,5,8589.0
Semirreboques Especiais,1.0,299,5,1220.0
Reboques,0.1,299,5,113.0
Veículo Leve,57.0,72,5,29569.0
Moto,2.1,72,5,1109.0
Ônibus,2.5,72,5,1320.0
Caminhão Leve,14.5,72,5,7519.0
Truck,0.3,72,5,151.0
Semirreboques,18.1,72,5,9395.0
Semirreboques Especiais,5.2,72,5,2696.0
Reboques,0.2,72,5,92.0
Veículo Leve,66.2,270,5,6182.0
Moto,2.7,270,5,252.0
Ônibus,2.8,270,5,257.0
Caminhão Leve,7.7,270,5,720.0
Truck,0.5,270,5,50.0
Semirreboques,14.5,270,5,1351.0
Semirreboques Especiais,4.0,270,5,369.0
Reboques,1.6,270,5,153.0
Veículo Leve,56.9,91,5,4713.0
Moto,1.3,91,5,109.0
Ônibus,2.6,91,5,218.0
Caminhão Leve,7.6,91,5,629.0
Truck,0.6,91,5,49.0
Semirreboques,25.8,91,5,2138.0
Semirreboques Especiais,4.9,91,5,405.0
Reboques,0.3,91,5,21.0
Veículo Leve,69.4,232,5,23042.0
Moto,3.2,232,5,1053.0
Ônibus,2.0,232,5,649.0
Caminhão Leve,11.3,232,5,3739.0
Truck,0.1,232,5,43.0
Semirreboques,5.3,232,5,1769.0
Semirreboques Especiais,8.5,232,5,2823.0
Reboques,0.2,232,5,70.0
Veículo Leve,69.2,95,5,108340.0
Moto,3.5,95,5,5446.0
Ônibus,1.3,95,5,1968.0
Caminhão Leve,10.9,95,5,17127.0
Truck,0.3,95,5,416.0
Semirreboques,12.4,95,5,19354.0
Semirreboques Especiais,2.4,95,5,3740.0
Reboques,0.1,95,5,169.0
Veículo Leve,64.4,94,5,88423.0
Moto,2.1,94,5,2905.0
Ônibus,1.2,94,5,1647.0
Caminhão Leve,11.5,94,5,15855.0
Truck,0.4,94,5,604.0
Semirreboques,15.9,94,5,21785.0
Semirreboques Especiais,4.3,94,5,5898.0
Reboques,0.1,94,5,194.0
Veículo Leve,53.4,214,5,13359.0
Moto,9.6,214,5,2397.0
Ônibus,1.9,214,5,484.0
Caminhão Leve,8.8,214,5,2195.0
Truck,0.2,214,5,55.0
Semirreboques,11.9,214,5,2984.0
Semirreboques Especiais,14.1,214,5,3534.0
Reboques,0.0,214,5,7.0
Veículo Leve,68.2,207,5,14369.0
Moto,4.1,207,5,858.0
Ônibus,1.1,207,5,241.0
Caminhão Leve,10.0,207,5,2101.0
Truck,0.1,207,5,20.0
Semirreboques,4.6,207,5,974.0
Semirreboques Especiais,11.8,207,5,2493.0
Reboques,0.1,207,5,25.0
Veículo Leve,53.7,49,5,25447.0
Moto,1.3,49,5,640.0
Ônibus,1.8,49,5,832.0
Caminhão Leve,8.2,49,5,3872.0
Truck,0.3,49,5,155.0
Semirreboques,16.6,49,5,7858.0
Semirreboques Especiais,17.9,49,5,8471.0
Reboques,0.3,49,5,151.0
