C1,C2,C3,C4,C5,M,O1,O2,O3,P1,P2,P3,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6,SE1,SE2,SE3,SE4,SE5,day,hora,point,sentido,survey,vh
4,4,0,1,0,0,2,4,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,18,0,19,C,8,56
1,7,0,2,2,0,2,3,0,14,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,4,0,0,0,18,1,19,C,8,40
3,13,0,6,0,0,0,4,0,23,9,2,0,0,0,0,0,0,0,0,2,0,3,6,3,5,0,2,1,18,0,19,D,8,82
4,12,0,0,0,0,4,3,0,24,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,18,1,19,D,8,55
3,2,1,0,0,0,0,2,2,13,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,18,2,19,C,8,29
1,3,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,18,3,19,C,8,23
0,9,0,1,0,0,3,6,0,21,7,2,0,0,0,0,0,0,0,0,6,0,2,2,2,3,0,0,2,18,2,19,D,8,66
1,4,0,2,0,5,2,6,2,27,5,7,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,5,18,3,19,D,8,74
1,4,0,0,0,4,0,1,0,28,1,2,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,18,4,19,C,8,48
2,3,0,0,1,1,0,0,1,62,2,1,0,0,0,0,0,0,1,0,2,0,4,4,0,1,0,0,0,18,5,19,C,8,85
4,9,0,5,0,0,2,16,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,2,5,18,4,19,D,8,74
4,14,0,0,0,0,4,11,0,22,0,0,10,0,0,0,0,0,2,5,0,0,4,5,12,3,0,10,5,18,5,19,D,8,111
7,3,0,2,0,7,1,0,0,102,3,42,0,0,0,0,0,0,0,1,3,0,0,13,8,0,1,0,4,18,6,19,C,8,197
6,18,0,3,0,8,7,0,0,189,2,61,0,0,0,0,0,0,0,0,3,0,0,10,6,0,0,0,1,18,7,19,C,8,314
3,7,0,1,0,3,2,2,0,41,3,6,0,0,0,0,0,0,0,1,1,0,0,6,1,0,2,0,3,18,6,19,D,8,82
6,3,0,2,2,7,2,2,1,89,0,32,0,0,0,0,0,0,0,2,2,0,0,13,6,2,0,0,2,18,7,19,D,8,173
10,4,0,2,1,8,1,1,0,159,2,75,0,0,0,0,0,0,0,0,1,0,2,9,0,2,0,0,2,18,8,19,C,8,279
16,13,0,1,1,8,11,0,1,142,2,78,0,0,0,0,0,0,0,0,4,0,0,7,1,2,0,0,4,18,9,19,C,8,291
5,6,0,4,1,4,5,1,1,99,3,23,0,0,0,0,0,0,1,2,6,0,2,12,5,3,0,0,6,18,8,19,D,8,189
6,11,0,1,2,4,4,3,1,111,2,32,0,0,0,0,0,0,0,2,2,0,3,11,10,2,0,2,4,18,9,19,D,8,213
10,8,1,2,0,14,3,0,0,165,1,92,0,0,0,0,0,0,0,1,3,0,0,10,8,0,0,0,3,18,10,19,C,8,321
9,7,1,5,0,12,2,3,1,162,2,59,0,0,0,0,0,0,0,0,5,0,0,18,2,4,1,1,6,18,11,19,C,8,300
12,4,1,0,0,5,7,2,0,101,1,50,0,0,0,0,0,0,4,3,7,0,1,7,3,0,0,3,1,18,10,19,D,8,212
7,11,0,0,3,4,1,1,1,102,1,56,0,0,0,0,0,0,0,2,0,0,0,15,4,1,1,0,7,18,11,19,D,8,217
12,7,3,3,0,4,1,3,0,219,3,44,0,0,0,0,0,0,2,1,3,0,1,15,3,1,0,0,2,18,12,19,C,8,327
5,16,0,3,0,11,0,2,0,208,2,31,0,0,0,0,0,0,0,0,5,0,2,12,8,0,0,0,2,18,13,19,C,8,307
4,7,3,2,3,10,1,1,0,115,3,43,0,0,0,0,0,0,0,0,4,0,0,7,3,0,0,0,5,18,12,19,D,8,211
10,5,0,0,0,8,3,4,0,115,2,25,0,0,0,0,0,0,0,1,1,0,0,9,2,0,0,0,2,18,13,19,D,8,187
2,5,0,6,2,11,1,1,0,182,0,14,0,0,0,0,0,0,0,0,0,1,0,26,1,0,0,0,5,18,14,19,C,8,257
4,8,2,5,5,4,3,2,1,195,8,31,0,0,0,0,0,0,1,0,2,1,7,12,3,0,0,0,5,18,15,19,C,8,299
6,9,0,0,3,7,2,2,0,103,3,30,0,0,0,0,0,0,0,2,9,0,0,3,4,1,1,1,5,18,14,19,D,8,191
10,3,0,0,2,9,8,2,1,139,6,15,0,0,0,1,1,0,0,1,4,0,1,21,7,3,1,0,5,18,15,19,D,8,240
4,8,2,1,2,5,2,3,0,186,3,34,0,0,0,0,0,0,0,1,0,0,5,13,2,0,0,0,4,18,16,19,C,8,275
3,5,0,2,0,4,0,0,1,156,1,29,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,18,17,19,C,8,221
8,12,0,2,0,9,3,3,0,174,4,19,0,0,0,0,0,0,0,0,5,0,2,13,6,2,0,0,2,18,16,19,D,8,264
8,9,0,4,0,3,4,6,1,141,1,29,0,0,0,0,0,0,1,0,2,0,0,7,8,0,0,0,5,18,17,19,D,8,229
4,16,3,6,2,5,1,2,0,109,4,16,0,0,0,0,0,0,0,0,1,0,1,13,12,5,0,0,0,18,18,19,C,8,200
0,6,2,2,1,4,0,2,0,76,1,8,0,0,0,0,0,0,0,0,0,0,2,10,2,1,0,0,0,18,19,19,C,8,117
4,12,0,4,0,1,3,5,0,275,0,0,0,0,0,0,0,0,0,0,2,1,0,8,3,1,0,0,6,18,18,19,D,8,325
4,7,0,1,2,12,3,0,0,192,0,0,0,0,0,0,0,0,0,2,1,0,1,7,1,2,0,0,2,18,19,19,D,8,237
2,6,0,1,1,1,1,10,0,60,2,14,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,1,18,20,19,C,8,107
3,6,2,0,0,1,3,6,1,45,3,12,0,0,0,0,0,0,0,1,1,0,0,6,1,1,2,0,0,18,21,19,C,8,94
9,9,0,0,0,2,1,1,0,149,1,4,0,0,0,0,0,0,0,0,5,0,0,20,9,2,4,0,0,18,20,19,D,8,216
0,11,0,2,0,0,0,26,0,99,0,2,0,0,0,0,0,0,0,0,4,0,0,20,0,8,0,0,0,18,21,19,D,8,172
0,2,4,4,0,0,1,5,0,36,3,7,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,1,0,18,22,19,C,8,70
1,0,0,0,0,1,3,6,1,25,0,1,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,0,0,18,23,19,C,8,51
4,31,0,0,0,7,4,8,0,67,5,2,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,18,22,19,D,8,136
0,2,0,1,0,3,0,3,5,63,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,18,23,19,D,8,87
0,2,0,0,0,4,1,0,0,11,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,131,C,8,23
0,2,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,18,1,131,C,8,17
1,1,0,0,0,2,0,2,0,12,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,18,0,131,D,8,24
0,2,0,0,0,1,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,131,D,8,11
3,3,0,0,0,2,0,1,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,2,131,C,8,28
4,6,0,0,0,1,0,1,0,13,2,13,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,18,3,131,C,8,43
0,4,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,131,D,8,9
2,3,1,0,0,2,0,1,0,7,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,3,131,D,8,22
2,2,0,0,0,2,2,0,0,27,2,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,4,131,C,8,56
6,1,0,1,0,6,2,3,0,38,0,8,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,18,5,131,C,8,70
2,5,0,0,0,4,1,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,131,D,8,25
1,1,0,0,1,8,1,0,1,14,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,5,131,D,8,35
7,5,0,0,0,21,3,4,0,49,0,4,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,18,6,131,C,8,102
5,4,1,0,1,26,7,2,0,54,2,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18,7,131,C,8,114
2,5,0,1,1,11,2,3,0,58,7,12,0,0,0,0,0,0,0,2,3,0,1,2,1,0,0,0,0,18,6,131,D,8,111
6,6,0,0,0,8,2,0,0,61,7,12,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,18,7,131,D,8,108
8,7,0,0,0,13,3,1,0,65,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,8,131,C,8,109
6,7,0,2,0,14,1,3,0,78,4,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,9,131,C,8,125
4,2,0,0,0,15,1,1,0,72,5,23,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,1,18,8,131,D,8,129
8,5,0,0,0,14,3,1,0,80,3,40,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,18,9,131,D,8,159
3,5,0,1,1,18,3,3,0,78,2,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,18,10,131,C,8,129
6,8,0,1,0,9,1,0,0,73,5,16,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,18,11,131,C,8,127
4,7,0,0,0,15,1,2,0,87,1,37,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,18,10,131,D,8,159
10,10,0,1,0,17,2,2,1,105,4,35,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,18,11,131,D,8,190
5,4,0,6,1,9,1,0,0,95,7,15,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,18,12,131,C,8,146
4,18,0,2,0,19,0,2,0,84,3,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,18,13,131,C,8,149
8,10,0,0,0,20,0,3,1,86,4,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,18,12,131,D,8,152
10,2,0,0,0,12,1,3,0,74,3,19,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,18,13,131,D,8,132
8,5,1,3,0,20,1,2,0,82,2,17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,18,14,131,C,8,144
3,6,0,1,1,16,0,1,0,62,0,15,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,18,15,131,C,8,112
6,1,0,1,0,26,1,1,0,99,2,34,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,18,14,131,D,8,175
13,6,0,1,0,26,0,0,0,85,4,19,0,0,0,0,0,0,0,0,2,1,0,2,0,2,2,0,1,18,15,131,D,8,164
4,9,0,1,0,12,0,1,0,58,1,12,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,18,16,131,C,8,107
2,9,0,0,0,20,1,0,0,58,1,4,0,0,0,0,0,0,0,3,0,0,5,2,0,0,0,0,1,18,17,131,C,8,106
7,3,1,0,0,29,1,1,0,64,4,32,0,0,0,0,0,0,0,1,0,0,0,7,1,1,0,0,0,18,16,131,D,8,152
11,5,0,0,0,16,1,2,0,64,4,24,0,0,0,0,0,0,0,2,2,0,0,7,0,0,0,0,0,18,17,131,D,8,138
10,13,0,1,0,18,0,3,0,133,1,26,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,1,18,18,131,C,8,213
4,2,0,0,0,10,0,2,0,83,6,20,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,18,19,131,C,8,132
8,4,2,0,1,16,0,0,0,73,4,25,0,0,0,0,0,0,0,5,1,0,1,4,0,0,0,0,0,18,18,131,D,8,144
3,9,0,0,1,5,0,0,0,57,8,20,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,18,19,131,D,8,106
0,3,0,1,0,6,0,0,0,43,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,20,131,C,8,61
1,4,0,0,1,3,2,0,0,38,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,21,131,C,8,57
2,9,0,0,0,4,1,0,0,54,3,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,20,131,D,8,86
1,9,0,0,0,6,0,1,0,39,0,7,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,18,21,131,D,8,69
0,1,0,0,0,2,0,0,0,25,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,22,131,C,8,33
1,2,0,0,0,5,0,0,0,25,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,23,131,C,8,41
3,2,0,2,0,0,5,4,0,20,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,20,0,19,C,8,46
3,0,0,0,0,0,4,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,20,1,19,C,8,23
2,1,0,0,3,1,2,2,0,26,1,1,0,0,0,0,0,0,1,3,1,0,0,2,3,0,0,0,1,20,0,19,D,8,50
0,4,0,0,6,0,6,3,0,27,4,2,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,20,1,19,D,8,59
0,2,0,0,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,20,2,19,C,8,19
0,1,0,0,0,2,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,3,19,C,8,13
1,6,0,3,0,0,1,0,0,12,3,4,0,0,0,0,0,0,0,0,2,0,0,5,1,1,0,0,0,20,2,19,D,8,39
2,12,0,0,0,0,4,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,20,3,19,D,8,39
1,4,0,0,2,0,2,6,0,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,20,4,19,C,8,44
1,1,0,0,4,5,1,2,2,58,3,2,5,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,20,5,19,C,8,92
2,4,0,0,0,5,1,0,0,23,1,11,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,18,22,131,D,8,50
1,9,0,0,0,3,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,23,131,D,8,32
1,3,0,1,0,1,3,9,0,17,1,1,0,0,0,0,0,0,1,0,2,0,0,4,8,0,0,0,2,20,4,19,D,8,54
0,5,0,1,0,0,2,4,0,52,1,5,0,0,0,0,0,0,0,4,2,0,1,3,0,1,0,1,0,20,5,19,D,8,82
1,7,0,2,1,12,1,2,0,121,6,17,0,0,0,0,0,0,0,0,1,0,0,13,2,0,0,0,4,20,6,19,C,8,190
4,5,1,0,1,9,6,1,2,165,4,23,0,0,0,0,0,0,0,0,5,0,0,8,5,0,0,0,4,20,7,19,C,8,243
2,3,0,2,0,7,5,8,1,105,2,7,0,0,0,0,0,0,2,0,4,0,0,2,3,0,0,2,0,20,6,19,D,8,155
9,12,0,6,0,12,16,11,0,218,5,5,0,0,0,0,0,0,0,1,2,0,2,8,4,2,0,0,4,20,7,19,D,8,317
