crescente,date,day,decrescente,point,survey,total
2152,19/11,1,2527,289,6,4679
2202,20/11,2,1551,289,6,3753
2586,21/11,3,2241,289,6,4827
2503,22/11,4,2613,289,6,5116
2396,23/11,5,2519,289,6,4915
2135,24/11,6,2493,289,6,4628
2439,25/11,7,2636,289,6,5075
1720,19/11,1,1976,138,6,3696
1448,20/11,2,1565,138,6,3013
2019,21/11,3,2176,138,6,4195
1659,22/11,4,1855,138,6,3514
1902,23/11,5,1803,138,6,3705
1663,24/11,6,1882,138,6,3545
1894,25/11,7,2194,138,6,4088
2807,19/11,1,2749,292,6,5556
2211,20/11,2,1973,292,6,4184
2781,21/11,3,3078,292,6,5859
3006,22/11,4,2968,292,6,5974
3121,23/11,5,2983,292,6,6104
3196,24/11,6,3061,292,6,6257
3282,25/11,7,3338,292,6,6620
1625,19/11,1,1533,147,6,3158
1580,20/11,2,1594,147,6,3174
1287,21/11,3,1397,147,6,2684
1343,22/11,4,1591,147,6,2934
1368,23/11,5,1571,147,6,2939
1459,24/11,6,1665,147,6,3124
1638,25/11,7,1584,147,6,3222
5549,19/11,1,5330,34,6,10879
4975,20/11,2,6067,34,6,11042
5705,21/11,3,7127,34,6,12832
5645,22/11,4,5035,34,6,10680
5563,23/11,5,7852,34,6,13415
6330,24/11,6,7466,34,6,13796
7258,25/11,7,6270,34,6,13528
1609,19/11,1,1728,20,6,3337
1325,20/11,2,2129,20,6,3454
1894,21/11,3,1807,20,6,3701
1694,22/11,4,1812,20,6,3506
1851,23/11,5,1839,20,6,3690
1941,24/11,6,1856,20,6,3797
2282,25/11,7,1939,20,6,4221
4853,19/11,1,4250,166,6,9103
4425,20/11,2,4601,166,6,9026
5443,21/11,3,5582,166,6,11025
5031,22/11,4,5233,166,6,10264
5005,23/11,5,4671,166,6,9676
5526,24/11,6,5256,166,6,10782
6850,25/11,7,6319,166,6,13169
6320,19/11,1,6786,120,6,13106
6087,20/11,2,7228,120,6,13315
5951,21/11,3,7525,120,6,13476
6262,22/11,4,7166,120,6,13428
6831,23/11,5,7649,120,6,14480
6554,24/11,6,8273,120,6,14827
7596,25/11,7,8445,120,6,16041
