C1,C2,C3,C4,C5,M,O1,O2,O3,P1,P2,P3,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6,SE1,SE2,SE3,SE4,SE5,day,hora,point,sentido,survey,vh
1,3,0,0,0,2,0,2,1,8,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,0,289,C,6,22
0,2,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,1,19,1,289,C,6,18
3,2,0,0,2,4,2,5,1,2,2,1,0,0,0,0,0,0,0,1,7,0,0,2,4,0,0,0,0,19,0,289,D,6,38
1,2,0,0,0,1,2,1,0,5,1,0,0,0,0,0,0,0,0,1,3,0,0,2,4,1,0,0,2,19,1,289,D,6,26
0,1,0,0,0,2,0,0,0,5,0,4,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,19,2,289,C,6,20
0,2,0,0,1,1,1,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,19,3,289,C,6,16
0,2,1,0,0,4,1,2,0,10,0,5,0,0,0,0,0,0,0,3,4,0,0,6,3,1,0,0,0,19,2,289,D,6,42
0,0,0,0,0,1,0,1,0,4,0,2,0,0,0,0,0,0,0,1,1,0,0,3,4,0,0,0,1,19,3,289,D,6,18
1,2,0,0,0,7,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,5,1,0,0,0,19,4,289,C,6,25
4,1,0,0,1,7,1,1,1,7,2,7,0,0,0,0,0,0,0,0,2,0,0,4,3,1,1,1,2,19,5,289,C,6,46
2,1,0,0,0,6,2,0,0,5,1,7,0,0,0,0,0,0,0,1,2,0,0,8,3,0,0,0,0,19,4,289,D,6,38
1,1,0,1,0,11,0,0,1,18,2,8,0,0,0,0,0,0,0,1,4,0,4,9,2,2,0,0,4,19,5,289,D,6,69
4,8,1,0,0,12,2,1,0,31,3,5,0,0,0,0,0,0,0,0,6,0,0,16,9,8,0,2,5,19,6,289,C,6,113
3,5,5,0,0,12,2,5,0,28,2,15,0,0,0,0,0,0,0,1,9,0,1,13,6,6,0,0,2,19,7,289,C,6,115
4,1,0,0,7,20,3,2,1,49,0,13,0,0,0,0,0,0,0,3,8,0,0,26,10,3,0,1,11,19,6,289,D,6,162
1,0,0,0,3,17,2,2,0,43,4,14,0,0,0,0,0,0,0,1,8,0,2,28,8,4,0,0,3,19,7,289,D,6,140
5,7,0,1,0,17,0,7,0,46,4,12,0,0,0,0,0,0,0,0,1,0,1,16,5,4,0,0,7,19,8,289,C,6,133
3,6,1,1,0,10,1,0,0,47,4,22,0,0,0,0,0,0,0,2,2,0,4,14,6,0,0,0,9,19,9,289,C,6,132
5,9,0,5,0,17,2,3,0,41,2,24,0,0,1,0,0,0,0,5,10,0,0,22,9,1,0,0,9,19,8,289,D,6,165
3,9,0,5,0,12,2,7,0,42,5,13,0,1,0,0,0,0,0,2,9,0,0,11,14,0,2,0,9,19,9,289,D,6,146
7,9,0,0,0,12,0,1,0,36,6,12,0,0,0,0,0,0,0,5,6,3,2,14,9,0,0,0,5,19,10,289,C,6,127
1,6,0,1,2,18,0,0,0,50,5,18,0,0,0,0,0,0,0,0,5,0,1,22,9,0,0,0,5,19,11,289,C,6,143
7,8,0,0,0,6,1,0,2,40,4,19,0,0,0,0,0,0,0,2,3,0,1,28,7,2,3,0,4,19,10,289,D,6,137
3,11,1,0,0,15,1,3,0,52,6,14,0,0,0,0,0,0,0,3,15,0,3,22,10,0,2,0,11,19,11,289,D,6,172
1,2,0,0,0,11,1,1,1,22,4,9,0,0,0,0,1,0,0,0,5,0,1,11,2,0,0,1,3,19,12,289,C,6,76
5,7,1,2,0,11,0,0,0,35,3,5,0,0,0,0,0,0,0,3,5,0,0,12,7,3,0,0,8,19,13,289,C,6,107
0,4,0,0,5,12,2,0,0,27,3,7,0,0,0,0,0,0,0,0,6,0,0,28,12,7,0,2,3,19,12,289,D,6,118
3,1,0,1,3,7,1,0,0,34,9,14,0,0,0,0,0,0,0,0,6,0,0,20,15,7,0,0,9,19,13,289,D,6,130
2,7,0,1,0,19,3,2,0,30,5,16,0,0,0,0,0,0,0,1,7,0,0,17,6,3,0,0,7,19,14,289,C,6,126
6,8,0,3,1,14,1,1,0,46,3,24,0,0,0,0,0,0,0,1,5,0,2,16,13,5,0,0,13,19,15,289,C,6,162
7,11,0,7,0,15,1,4,0,53,11,15,0,0,0,0,0,0,0,1,13,0,2,22,14,1,2,0,10,19,14,289,D,6,189
5,12,0,3,1,19,1,0,0,51,1,15,0,0,0,0,0,0,0,2,17,0,2,24,9,0,5,0,4,19,15,289,D,6,171
7,6,0,1,1,10,3,3,0,45,3,20,0,0,0,0,0,0,0,0,6,0,0,19,7,1,0,0,2,19,16,289,C,6,134
10,7,0,2,0,21,0,3,0,45,5,16,0,0,0,0,0,0,0,2,4,0,0,13,13,3,0,0,7,19,17,289,C,6,151
5,3,0,2,0,14,1,0,0,56,4,15,0,0,0,0,0,0,0,1,18,0,1,16,11,1,7,1,12,19,16,289,D,6,168
4,14,0,1,0,16,4,0,1,57,9,10,0,0,0,0,0,0,0,2,18,0,2,21,14,4,2,0,3,19,17,289,D,6,182
3,3,7,0,1,16,1,3,0,47,7,10,0,0,0,0,0,0,0,0,12,0,0,10,11,7,0,0,3,19,18,289,C,6,141
2,5,1,0,0,10,2,0,0,20,1,3,0,0,0,0,0,0,0,1,4,0,0,10,9,0,0,0,0,19,19,289,C,6,68
0,3,0,1,3,2,2,0,0,24,1,7,0,0,0,1,0,0,0,1,10,0,0,19,8,3,0,0,1,19,18,289,D,6,86
2,0,0,0,2,3,0,2,0,27,2,11,0,0,0,0,0,0,0,0,10,0,0,15,5,1,0,0,1,19,19,289,D,6,81
1,5,0,1,0,7,0,4,0,18,1,8,0,0,0,0,0,0,0,1,4,0,1,11,4,1,0,0,3,19,20,289,C,6,70
2,3,1,2,0,15,3,0,0,27,5,16,0,0,0,0,0,0,0,1,1,0,1,7,7,2,0,0,3,19,21,289,C,6,96
0,5,0,1,0,4,1,1,0,22,1,5,0,0,0,0,0,0,0,0,5,0,0,10,3,0,0,0,4,19,20,289,D,6,62
2,5,0,1,0,6,0,3,1,17,4,4,0,0,0,0,0,0,0,1,4,0,0,13,0,0,0,0,0,19,21,289,D,6,61
1,2,0,0,0,3,1,2,0,17,0,9,0,0,0,0,0,0,0,0,8,4,1,5,11,4,0,4,0,19,22,289,C,6,72
0,2,0,1,0,2,1,0,0,7,3,3,0,0,0,0,0,0,0,0,2,0,5,6,5,0,2,0,0,19,23,289,C,6,39
2,10,1,1,1,13,2,1,1,17,1,3,0,0,0,0,0,0,0,0,3,0,0,12,5,2,1,0,1,19,22,289,D,6,77
2,2,0,1,0,2,0,2,0,14,0,3,0,0,0,0,0,0,0,3,4,0,1,5,8,1,0,0,1,19,23,289,D,6,49
1,2,0,0,0,0,0,2,0,17,0,5,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,2,19,0,292,C,6,35
0,3,0,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,1,2,0,0,0,1,2,2,0,0,4,19,1,292,C,6,22
0,3,0,0,1,2,2,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,19,0,292,D,6,23
0,2,0,0,1,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,1,292,D,6,12
0,0,0,0,0,0,2,3,0,12,2,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,19,2,292,C,6,25
0,4,1,1,0,0,2,1,0,7,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,19,3,292,C,6,26
0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,19,2,292,D,6,13
1,1,0,0,0,0,1,3,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,19,3,292,D,6,19
3,2,0,2,0,1,1,3,0,13,1,8,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,4,19,4,292,C,6,46
3,10,0,2,0,5,3,5,1,20,1,8,0,0,0,0,0,0,0,2,1,0,0,16,3,6,0,0,13,19,5,292,C,6,99
1,3,0,2,0,0,2,3,0,28,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,2,19,4,292,D,6,56
3,3,0,1,0,4,3,2,0,24,2,10,0,0,0,0,0,0,0,0,0,0,1,4,1,3,0,4,4,19,5,292,D,6,69
3,5,0,0,1,6,4,2,0,36,1,8,0,0,0,1,0,0,0,3,6,0,3,9,2,3,0,2,7,19,6,292,C,6,102
7,16,1,0,1,13,4,3,0,57,4,16,1,0,0,0,0,0,0,4,1,0,0,15,9,3,0,1,5,19,7,292,C,6,161
4,2,1,0,0,14,2,5,1,66,2,6,3,0,0,0,0,0,0,1,1,0,4,7,6,7,4,5,7,19,6,292,D,6,148
2,3,0,0,0,27,3,1,0,79,5,4,0,0,0,0,0,0,1,5,4,3,4,3,8,5,4,8,3,19,7,292,D,6,172
1,5,5,5,4,15,0,6,3,91,3,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,5,0,0,19,8,292,C,6,151
0,0,4,4,4,9,2,2,0,76,0,1,3,0,0,0,0,3,6,0,0,0,2,0,7,6,5,2,1,19,9,292,C,6,137
5,5,0,0,1,7,3,2,0,68,5,12,0,0,0,0,0,0,2,3,0,0,1,2,0,0,1,0,9,19,8,292,D,6,126
2,2,0,1,1,10,2,1,0,70,2,24,0,0,0,0,0,0,9,2,0,0,1,7,4,0,0,0,5,19,9,292,D,6,143
3,4,0,0,0,8,2,2,0,54,20,4,0,0,0,0,0,0,2,0,2,0,4,18,8,8,0,0,4,19,10,292,C,6,143
2,6,0,1,2,3,2,2,0,64,20,2,0,0,0,0,0,0,0,1,1,0,1,11,6,4,0,0,4,19,11,292,C,6,132
12,9,3,36,3,19,3,1,0,97,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,292,D,6,246
2,0,2,16,0,11,0,1,0,58,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,292,D,6,117
0,0,0,3,0,21,2,0,1,74,1,0,0,0,0,0,0,0,10,1,0,0,1,6,18,0,3,0,0,19,12,292,C,6,141
0,0,2,4,5,15,4,0,0,105,2,0,0,0,0,0,10,0,15,13,6,0,1,7,1,5,20,0,0,19,13,292,C,6,215
4,10,0,2,1,29,4,7,0,80,2,39,0,0,0,0,0,0,1,1,2,0,1,15,9,8,2,1,11,19,12,292,D,6,229
4,6,0,0,2,19,6,2,0,91,7,43,0,0,0,0,0,0,0,1,3,2,3,10,9,3,4,0,8,19,13,292,D,6,223
6,3,0,0,3,7,1,1,3,95,5,42,0,0,0,0,0,0,0,0,5,2,3,13,5,8,1,3,7,19,14,292,C,6,213
6,11,2,0,1,17,3,1,1,77,6,35,0,0,0,0,0,0,0,3,5,0,0,9,6,6,0,2,10,19,15,292,C,6,201
5,5,0,1,1,15,7,0,0,84,5,24,1,0,0,0,1,0,1,3,0,0,1,6,3,5,0,1,5,19,14,292,D,6,174
7,9,0,1,0,17,5,1,0,80,4,39,0,0,0,0,0,0,0,0,0,0,1,14,13,0,2,0,10,19,15,292,D,6,203
1,3,0,0,0,15,3,1,0,83,4,29,0,0,0,0,0,0,8,4,3,0,0,12,8,0,0,0,14,19,16,292,C,6,188
3,6,0,1,0,7,7,3,0,71,7,23,0,0,0,0,0,0,0,2,4,0,3,18,11,0,0,0,11,19,17,292,C,6,177
3,4,1,0,1,3,0,4,0,107,2,0,0,0,0,0,0,0,2,0,0,0,4,12,13,0,0,0,10,19,16,292,D,6,166
3,13,1,0,1,8,3,1,0,99,4,8,0,0,0,0,0,0,3,0,0,0,2,17,7,0,0,0,19,19,17,292,D,6,189
3,5,1,1,4,14,1,6,0,77,2,27,0,0,0,1,0,4,0,0,4,0,0,12,4,0,0,1,14,19,18,292,C,6,181
3,1,0,0,1,4,4,4,0,59,3,13,0,1,0,0,1,3,1,3,1,0,1,4,1,0,0,2,2,19,19,292,C,6,112
0,0,0,0,0,4,5,3,0,48,0,15,0,0,0,0,0,0,0,10,0,0,3,8,2,0,0,0,8,19,18,292,D,6,106
1,1,0,0,0,2,3,2,0,49,0,5,0,0,0,0,0,1,0,4,0,2,0,5,1,2,1,2,5,19,19,292,D,6,86
1,6,0,0,1,2,3,2,1,43,0,11,0,0,0,0,0,0,0,0,2,0,0,7,6,0,1,0,2,19,20,292,C,6,88
