crescente,date,day,decrescente,point,survey,total
6158,02/07,1,7049,48,5,13207
5209,03/07,2,5254,48,5,10463
7128,04/07,3,6987,48,5,14115
7341,05/07,4,7597,48,5,14938
8017,06/07,5,7439,48,5,15456
7727,07/07,6,7197,48,5,14924
8941,08/07,7,7524,48,5,16465
4772,02/07,1,5009,53,5,9781
4677,03/07,2,4125,53,5,8802
4417,04/07,3,3929,53,5,8346
4402,05/07,4,4438,53,5,8840
4530,06/07,5,4636,53,5,9166
4880,07/07,6,4419,53,5,9299
5273,08/07,7,5104,53,5,10377
2322,02/07,1,2264,121,5,4586
1877,03/07,2,1699,121,5,3576
2512,04/07,3,2214,121,5,4726
2467,05/07,4,2186,121,5,4653
2390,06/07,5,2351,121,5,4741
2540,07/07,6,2380,121,5,4920
2486,08/07,7,2060,121,5,4546
1471,02/07,1,1809,52,5,3280
1493,03/07,2,1627,52,5,3120
1509,04/07,3,1770,52,5,3279
1454,05/07,4,1739,52,5,3193
1530,06/07,5,2135,52,5,3665
1566,07/07,6,1961,52,5,3527
1986,08/07,7,1752,52,5,3738
907,02/07,1,999,262,5,1906
1082,03/07,2,736,262,5,1818
981,04/07,3,685,262,5,1666
929,05/07,4,791,262,5,1720
913,06/07,5,773,262,5,1686
846,07/07,6,872,262,5,1718
936,08/07,7,954,262,5,1890
629,02/07,1,697,209,5,1326
638,03/07,2,583,209,5,1221
707,04/07,3,453,209,5,1160
711,05/07,4,589,209,5,1300
631,06/07,5,666,209,5,1297
664,07/07,6,677,209,5,1341
702,08/07,7,881,209,5,1583
8964,02/07,1,9721,112,5,18685
10882,03/07,2,8503,112,5,19385
8711,04/07,3,8842,112,5,17553
8833,05/07,4,8133,112,5,16966
8206,06/07,5,8275,112,5,16481
8170,07/07,6,8344,112,5,16514
9449,08/07,7,9990,112,5,19439
8340,02/07,1,7406,69,5,15746
6208,03/07,2,8322,69,5,14530
7498,04/07,3,7970,69,5,15468
8576,05/07,4,8514,69,5,17090
7681,06/07,5,7959,69,5,15640
9040,07/07,6,8846,69,5,17886
7545,08/07,7,9463,69,5,17008
1459,02/07,1,1396,236,5,2855
1438,03/07,2,1486,236,5,2924
1457,04/07,3,1446,236,5,2903
1374,05/07,4,1338,236,5,2712
1260,06/07,5,1293,236,5,2553
1400,07/07,6,1386,236,5,2786
1410,08/07,7,1534,236,5,2944
12297,02/07,1,10451,113,5,22748
10655,03/07,2,12984,113,5,23639
12028,04/07,3,11552,113,5,23580
12383,05/07,4,11374,113,5,23757
11810,06/07,5,11356,113,5,23166
12834,07/07,6,11597,113,5,24431
15458,08/07,7,13064,113,5,28522
2188,02/07,1,2109,114,5,4297
1961,03/07,2,2168,114,5,4129
2010,04/07,3,2139,114,5,4149
2045,05/07,4,2029,114,5,4074
2040,06/07,5,2471,114,5,4511
2110,07/07,6,2531,114,5,4641
2309,08/07,7,2424,114,5,4733
2195,02/07,1,1963,234,5,4158
1851,03/07,2,2054,234,5,3905
2135,04/07,3,2270,234,5,4405
2339,05/07,4,2398,234,5,4737
2358,06/07,5,2348,234,5,4706
2620,07/07,6,2472,234,5,5092
2999,08/07,7,2710,234,5,5709
4880,02/07,1,5575,68,5,10455
4388,03/07,2,3833,68,5,8221
4998,04/07,3,4611,68,5,9609
5322,05/07,4,4687,68,5,10009
4840,06/07,5,4568,68,5,9408
5079,07/07,6,4586,68,5,9665
5941,08/07,7,5530,68,5,11471
2024,02/07,1,1624,300,5,3648
1694,03/07,2,2128,300,5,3822
2214,04/07,3,2183,300,5,4397
2149,05/07,4,2071,300,5,4220
1987,06/07,5,2020,300,5,4007
2234,07/07,6,2138,300,5,4372
2664,08/07,7,2364,300,5,5028
1566,02/07,1,1278,272,5,2844
1205,03/07,2,1359,272,5,2564
1867,04/07,3,1903,272,5,3770
1697,05/07,4,1695,272,5,3392
1807,06/07,5,1582,272,5,3389
1870,07/07,6,1866,272,5,3736
2147,08/07,7,1793,272,5,3940
2400,02/07,1,1879,274,5,4279
2427,03/07,2,2683,274,5,5110
2241,04/07,3,2032,274,5,4273
2031,05/07,4,1831,274,5,3862
2005,06/07,5,1892,274,5,3897
2067,07/07,6,2080,274,5,4147
3120,08/07,7,2911,274,5,6031
3273,02/07,1,3143,265,5,6416
2763,03/07,2,2819,265,5,5582
4142,04/07,3,3804,265,5,7946
3585,05/07,4,3527,265,5,7112
3401,06/07,5,3098,265,5,6499
3762,07/07,6,3914,265,5,7676
4322,08/07,7,4308,265,5,8630
2954,02/07,1,3140,99,5,6094
2974,03/07,2,2450,99,5,5424
3196,04/07,3,3281,99,5,6477
3201,05/07,4,3274,99,5,6475
3395,06/07,5,3281,99,5,6676
3376,07/07,6,3324,99,5,6700
3561,08/07,7,3362,99,5,6923
7406,02/07,1,7961,118,5,15367
6805,03/07,2,5727,118,5,12532
7632,04/07,3,7885,118,5,15517
7908,05/07,4,8236,118,5,16144
7678,06/07,5,8154,118,5,15832
7792,07/07,6,8244,118,5,16036
8572,08/07,7,8967,118,5,17539
2957,02/07,1,2537,86,5,5494
2485,03/07,2,3271,86,5,5756
2818,04/07,3,2721,86,5,5539
2836,05/07,4,2612,86,5,5448
2648,06/07,5,2404,86,5,5052
3164,07/07,6,2821,86,5,5985
3376,08/07,7,3458,86,5,6834
1136,02/07,1,1099,88,5,2235
887,03/07,2,816,88,5,1703
1149,04/07,3,1168,88,5,2317
930,05/07,4,977,88,5,1907
1064,06/07,5,1140,88,5,2204
1162,07/07,6,1312,88,5,2474
1242,08/07,7,1351,88,5,2593
963,02/07,1,855,89,5,1818
700,03/07,2,745,89,5,1445
994,04/07,3,1079,89,5,2073
1415,05/07,4,1193,89,5,2608
1597,06/07,5,1551,89,5,3148
