classe,percentage,point,survey,total
Veículo Leve,43.0,289,6,14172.0
Moto,9.6,289,6,3164.0
Ônibus,2.9,289,6,960.0
Caminhão Leve,9.7,289,6,3189.0
Truck,0.6,289,6,188.0
Semirreboques,20.9,289,6,6905.0
Semirreboques Especiais,13.1,289,6,4334.0
Reboques,0.2,289,6,81.0
Veículo Leve,65.2,120,6,64325.0
Moto,4.1,120,6,4082.0
Ônibus,3.4,120,6,3356.0
Caminhão Leve,10.6,120,6,10489.0
Truck,0.1,120,6,132.0
Semirreboques,13.3,120,6,13153.0
Semirreboques Especiais,3.1,120,6,3063.0
Reboques,0.1,120,6,73.0
Veículo Leve,47.3,147,6,10038.0
Moto,1.6,147,6,338.0
Ônibus,6.1,147,6,1298.0
Caminhão Leve,12.5,147,6,2647.0
Truck,0.5,147,6,98.0
Semirreboques,18.3,147,6,3894.0
Semirreboques Especiais,13.1,147,6,2779.0
Reboques,0.7,147,6,143.0
Veículo Leve,53.2,138,6,13704.0
Moto,29.3,138,6,7548.0
Ônibus,3.7,138,6,942.0
Caminhão Leve,9.2,138,6,2382.0
Truck,0.2,138,6,50.0
Semirreboques,2.7,138,6,699.0
Semirreboques Especiais,1.5,138,6,397.0
Reboques,0.1,138,6,34.0
Veículo Leve,54.7,20,6,14070.0
Moto,1.6,20,6,420.0
Ônibus,3.8,20,6,965.0
Caminhão Leve,13.5,20,6,3459.0
Truck,0.9,20,6,231.0
Semirreboques,18.0,20,6,4635.0
Semirreboques Especiais,7.4,20,6,1893.0
Reboques,0.1,20,6,33.0
Veículo Leve,58.3,34,6,50211.0
Moto,2.1,34,6,1806.0
Ônibus,2.9,34,6,2517.0
Caminhão Leve,13.3,34,6,11498.0
Truck,0.2,34,6,211.0
Semirreboques,16.9,34,6,14530.0
Semirreboques Especiais,5.5,34,6,4776.0
Reboques,0.7,34,6,623.0
Veículo Leve,51.7,30,6,9836.0
Moto,2.7,30,6,523.0
Ônibus,3.4,30,6,640.0
Caminhão Leve,12.7,30,6,2409.0
Truck,0.2,30,6,37.0
Semirreboques,20.4,30,6,3879.0
Semirreboques Especiais,8.6,30,6,1643.0
Reboques,0.3,30,6,52.0
Veículo Leve,78.6,21,6,109241.0
Moto,2.2,21,6,3057.0
Ônibus,1.9,21,6,2648.0
Caminhão Leve,8.4,21,6,11617.0
Truck,0.2,21,6,235.0
Semirreboques,5.9,21,6,8264.0
Semirreboques Especiais,2.8,21,6,3906.0
Reboques,0.1,21,6,90.0
Veículo Leve,57.4,292,6,23284.0
Moto,7.3,292,6,2953.0
Ônibus,4.2,292,6,1698.0
Caminhão Leve,8.9,292,6,3629.0
Truck,0.5,292,6,214.0
Semirreboques,10.3,292,6,4175.0
Semirreboques Especiais,11.1,292,6,4518.0
Reboques,0.2,292,6,83.0
Veículo Leve,65.9,166,6,48150.0
Moto,3.1,166,6,2232.0
Ônibus,2.5,166,6,1830.0
Caminhão Leve,13.1,166,6,9581.0
Truck,0.1,166,6,97.0
Semirreboques,13.6,166,6,9939.0
Semirreboques Especiais,1.6,166,6,1162.0
Reboques,0.1,166,6,54.0
Veículo Leve,41.5,24,6,10389.0
Moto,1.0,24,6,260.0
Ônibus,1.7,24,6,416.0
Caminhão Leve,8.9,24,6,2231.0
Truck,0.7,24,6,164.0
Semirreboques,18.9,24,6,4745.0
Semirreboques Especiais,27.1,24,6,6789.0
Reboques,0.2,24,6,62.0
Veículo Leve,55.6,6,6,37641.0
Moto,4.7,6,6,3199.0
Ônibus,4.0,6,6,2711.0
Caminhão Leve,14.8,6,6,9995.0
Truck,0.2,6,6,161.0
Semirreboques,13.1,6,6,8843.0
Semirreboques Especiais,7.2,6,6,4879.0
Reboques,0.3,6,6,222.0
Veículo Leve,69.1,218,6,18815.0
Moto,9.6,218,6,2618.0
Ônibus,2.1,218,6,573.0
Caminhão Leve,12.7,218,6,3448.0
Truck,0.1,218,6,33.0
Semirreboques,5.1,218,6,1376.0
Semirreboques Especiais,1.2,218,6,334.0
Reboques,0.1,218,6,22.0
Veículo Leve,65.2,15,6,53235.0
Moto,7.1,15,6,5761.0
Ônibus,4.3,15,6,3489.0
Caminhão Leve,11.4,15,6,9321.0
Truck,0.2,15,6,129.0
Semirreboques,6.4,15,6,5223.0
Semirreboques Especiais,5.3,15,6,4340.0
Reboques,0.1,15,6,111.0
Veículo Leve,65.7,242,6,49917.0
Moto,1.5,242,6,1114.0
Ônibus,3.8,242,6,2920.0
Caminhão Leve,17.2,242,6,13065.0
Truck,0.8,242,6,589.0
Semirreboques,9.5,242,6,7228.0
Semirreboques Especiais,1.4,242,6,1053.0
Reboques,0.1,242,6,57.0
Veículo Leve,63.5,36,6,45393.0
Moto,12.1,36,6,8652.0
Ônibus,3.9,36,6,2766.0
Caminhão Leve,9.2,36,6,6600.0
Truck,0.3,36,6,245.0
Semirreboques,9.4,36,6,6704.0
Semirreboques Especiais,1.4,36,6,989.0
Reboques,0.2,36,6,153.0
Veículo Leve,29.5,133,6,4210.0
Moto,2.0,133,6,283.0
Ônibus,2.8,133,6,395.0
Caminhão Leve,22.0,133,6,3135.0
Truck,0.1,133,6,17.0
Semirreboques,33.8,133,6,4815.0
Semirreboques Especiais,9.5,133,6,1353.0
Reboques,0.4,133,6,53.0
Veículo Leve,47.8,277,6,9431.0
Moto,5.5,277,6,1082.0
Ônibus,2.2,277,6,430.0
Caminhão Leve,18.8,277,6,3701.0
Truck,0.5,277,6,102.0
Semirreboques,21.1,277,6,4165.0
Semirreboques Especiais,3.9,277,6,770.0
Reboques,0.1,277,6,29.0
Veículo Leve,30.7,127,6,14097.0
Moto,1.1,127,6,499.0
Ônibus,3.2,127,6,1459.0
Caminhão Leve,18.3,127,6,8424.0
Truck,0.4,127,6,196.0
Semirreboques,38.0,127,6,17485.0
Semirreboques Especiais,7.5,127,6,3453.0
Reboques,0.8,127,6,377.0
Veículo Leve,54.6,35,6,34530.0
Moto,12.3,35,6,7788.0
Ônibus,3.6,35,6,2264.0
Caminhão Leve,12.3,35,6,7792.0
Truck,0.2,35,6,114.0
Semirreboques,13.9,35,6,8768.0
Semirreboques Especiais,2.4,35,6,1548.0
Reboques,0.8,35,6,484.0
Veículo Leve,33.3,14,6,8229.0
Moto,26.5,14,6,6546.0
Ônibus,2.9,14,6,704.0
Caminhão Leve,15.7,14,6,3878.0
Truck,0.1,14,6,37.0
Semirreboques,18.2,14,6,4483.0
Semirreboques Especiais,3.1,14,6,756.0
Reboques,0.2,14,6,49.0
Veículo Leve,64.4,25,6,54975.0
Moto,5.8,25,6,4947.0
Ônibus,4.4,25,6,3772.0
Caminhão Leve,11.4,25,6,9692.0
Truck,0.3,25,6,287.0
Semirreboques,8.5,25,6,7249.0
Semirreboques Especiais,5.0,25,6,4240.0
Reboques,0.2,25,6,194.0
Veículo Leve,23.2,130,6,9242.0
Moto,1.2,130,6,486.0
Ônibus,3.2,130,6,1289.0
Caminhão Leve,19.2,130,6,7638.0
Truck,0.4,130,6,142.0
Semirreboques,43.9,130,6,17466.0
Semirreboques Especiais,8.4,130,6,3339.0
Reboques,0.4,130,6,167.0
Veículo Leve,50.3,153,6,29198.0
Moto,1.3,153,6,778.0
Ônibus,2.0,153,6,1166.0
Caminhão Leve,14.9,153,6,8665.0
Truck,0.3,153,6,187.0
Semirreboques,25.2,153,6,14633.0
Semirreboques Especiais,5.8,153,6,3388.0
Reboques,0.1,153,6,57.0
Veículo Leve,34.3,163,6,4418.0
Moto,44.9,163,6,5795.0
Ônibus,2.1,163,6,275.0
Caminhão Leve,10.4,163,6,1335.0
Truck,0.3,163,6,42.0
Semirreboques,3.2,163,6,416.0
Semirreboques Especiais,4.7,163,6,603.0
Reboques,0.1,163,6,13.0
Veículo Leve,45.9,96,6,12330.0
Moto,1.3,96,6,343.0
Ônibus,1.9,96,6,507.0
Caminhão Leve,19.7,96,6,5294.0
Truck,0.6,96,6,173.0
Semirreboques,23.4,96,6,6278.0
Semirreboques Especiais,5.4,96,6,1447.0
Reboques,1.9,96,6,503.0
Veículo Leve,53.9,152,6,25188.0
Moto,3.2,152,6,1508.0
Ônibus,3.5,152,6,1659.0
Caminhão Leve,12.9,152,6,6031.0
Truck,0.2,152,6,116.0
Semirreboques,18.7,152,6,8747.0
Semirreboques Especiais,7.3,152,6,3415.0
Reboques,0.2,152,6,94.0
Veículo Leve,46.1,28,6,28309.0
Moto,3.4,28,6,2108.0
Ônibus,3.1,28,6,1926.0
Caminhão Leve,16.0,28,6,9861.0
Truck,0.3,28,6,203.0
Semirreboques,24.7,28,6,15201.0
Semirreboques Especiais,6.0,28,6,3659.0
Reboques,0.3,28,6,179.0
Veículo Leve,42.6,39,6,16033.0
Moto,1.0,39,6,384.0
Ônibus,2.9,39,6,1086.0
Caminhão Leve,17.6,39,6,6621.0
Truck,0.4,39,6,147.0
Semirreboques,27.1,39,6,10215.0
Semirreboques Especiais,8.4,39,6,3148.0
Reboques,0.1,39,6,45.0
Veículo Leve,62.4,139,6,29835.0
Moto,8.3,139,6,3989.0
Ônibus,3.3,139,6,1555.0
Caminhão Leve,14.2,139,6,6771.0
Truck,0.4,139,6,192.0
Semirreboques,8.2,139,6,3941.0
Semirreboques Especiais,3.0,139,6,1430.0
Reboques,0.1,139,6,68.0
Veículo Leve,60.2,124,6,21095.0
Moto,2.9,124,6,1028.0
Ônibus,3.1,124,6,1070.0
Caminhão Leve,18.3,124,6,6411.0
Truck,1.5,124,6,523.0
Semirreboques,9.7,124,6,3399.0
Semirreboques Especiais,3.1,124,6,1091.0
