classe,percentage,point,survey,total
Reboques,1.1,124,6,399.0
Veículo Leve,55.1,228,6,33023.0
Moto,19.0,228,6,11368.0
Ônibus,3.3,228,6,1959.0
Caminhão Leve,10.2,228,6,6113.0
Truck,0.3,228,6,179.0
Semirreboques,8.3,228,6,4978.0
Semirreboques Especiais,3.2,228,6,1913.0
Reboques,0.6,228,6,386.0
Veículo Leve,69.9,18,6,29015.0
Moto,5.0,18,6,2058.0
Ônibus,2.9,18,6,1190.0
Caminhão Leve,11.4,18,6,4749.0
Truck,0.3,18,6,114.0
Semirreboques,6.9,18,6,2863.0
Semirreboques Especiais,3.5,18,6,1467.0
Reboques,0.2,18,6,66.0
Veículo Leve,55.7,185,6,16271.0
Moto,1.6,185,6,470.0
Ônibus,2.4,185,6,687.0
Caminhão Leve,14.9,185,6,4355.0
Truck,0.3,185,6,98.0
Semirreboques,17.7,185,6,5167.0
Semirreboques Especiais,7.3,185,6,2141.0
Reboques,0.1,185,6,23.0
Veículo Leve,52.7,61,6,17770.0
Moto,19.1,61,6,6425.0
Ônibus,2.4,61,6,810.0
Caminhão Leve,12.8,61,6,4324.0
Truck,0.4,61,6,141.0
Semirreboques,8.3,61,6,2811.0
Semirreboques Especiais,3.9,61,6,1308.0
Reboques,0.3,61,6,109.0
Veículo Leve,70.9,178,6,13910.0
Moto,2.0,178,6,395.0
Ônibus,2.2,178,6,430.0
Caminhão Leve,15.8,178,6,3094.0
Truck,0.2,178,6,42.0
Semirreboques,7.5,178,6,1463.0
Semirreboques Especiais,1.3,178,6,261.0
Reboques,0.1,178,6,25.0
Veículo Leve,47.7,222,6,11402.0
Moto,9.0,222,6,2154.0
Ônibus,1.8,222,6,426.0
Caminhão Leve,18.2,222,6,4348.0
Truck,0.2,222,6,37.0
Semirreboques,16.1,222,6,3842.0
Semirreboques Especiais,7.0,222,6,1684.0
Reboques,0.0,222,6,9.0
Veículo Leve,72.9,42,6,21464.0
Moto,3.2,42,6,954.0
Ônibus,2.0,42,6,594.0
Caminhão Leve,13.4,42,6,3955.0
Truck,0.2,42,6,52.0
Semirreboques,6.2,42,6,1811.0
Semirreboques Especiais,1.7,42,6,491.0
Reboques,0.4,42,6,106.0
Veículo Leve,51.2,157,6,10437.0
Moto,18.3,157,6,3725.0
Ônibus,2.1,157,6,421.0
Caminhão Leve,14.8,157,6,3022.0
Truck,0.2,157,6,44.0
Semirreboques,10.6,157,6,2172.0
Semirreboques Especiais,2.6,157,6,536.0
Reboques,0.2,157,6,42.0
Veículo Leve,60.3,203,6,19991.0
Moto,2.9,203,6,954.0
Ônibus,3.0,203,6,988.0
Caminhão Leve,17.4,203,6,5769.0
Truck,0.4,203,6,137.0
Semirreboques,12.7,203,6,4204.0
Semirreboques Especiais,3.2,203,6,1058.0
Reboques,0.2,203,6,53.0
Veículo Leve,38.3,226,6,2496.0
Moto,26.9,226,6,1751.0
Ônibus,5.5,226,6,356.0
Caminhão Leve,11.3,226,6,737.0
Truck,0.2,226,6,12.0
Semirreboques,10.2,226,6,663.0
Semirreboques Especiais,7.4,226,6,479.0
Reboques,0.3,226,6,19.0
Veículo Leve,53.5,246,6,7941.0
Moto,2.6,246,6,383.0
Ônibus,1.4,246,6,210.0
Caminhão Leve,22.4,246,6,3332.0
Truck,0.5,246,6,68.0
Semirreboques,16.8,246,6,2489.0
Semirreboques Especiais,2.9,246,6,431.0
Reboques,0.0,246,6,2.0
Veículo Leve,36.1,190,6,7653.0
Moto,2.3,190,6,491.0
Ônibus,0.6,190,6,135.0
Caminhão Leve,23.7,190,6,5022.0
Truck,0.7,190,6,150.0
Semirreboques,25.6,190,6,5437.0
Semirreboques Especiais,10.7,190,6,2265.0
Reboques,0.2,190,6,46.0
Veículo Leve,52.8,50,6,12618.0
Moto,1.9,50,6,466.0
Ônibus,2.5,50,6,600.0
Caminhão Leve,10.0,50,6,2384.0
Truck,0.7,50,6,161.0
Semirreboques,11.7,50,6,2806.0
Semirreboques Especiais,20.3,50,6,4851.0
Reboques,0.1,50,6,33.0
Veículo Leve,51.4,261,6,16995.0
Moto,9.5,261,6,3144.0
Ônibus,2.8,261,6,935.0
Caminhão Leve,10.2,261,6,3355.0
Truck,0.9,261,6,293.0
Semirreboques,10.1,261,6,3323.0
Semirreboques Especiais,14.6,261,6,4809.0
Reboques,0.6,261,6,196.0
Veículo Leve,71.0,248,6,31486.0
Moto,18.0,248,6,7972.0
Ônibus,2.3,248,6,1034.0
Caminhão Leve,6.6,248,6,2933.0
Truck,0.2,248,6,88.0
Semirreboques,1.6,248,6,728.0
Semirreboques Especiais,0.2,248,6,109.0
Reboques,0.0,248,6,2.0
Veículo Leve,60.6,258,6,23670.0
Moto,10.9,258,6,4245.0
Ônibus,2.1,258,6,801.0
Caminhão Leve,8.2,258,6,3220.0
Truck,0.4,258,6,164.0
Semirreboques,6.5,258,6,2546.0
Semirreboques Especiais,10.8,258,6,4221.0
Reboques,0.4,258,6,170.0
Veículo Leve,64.5,165,6,76195.0
Moto,2.6,165,6,3022.0
Ônibus,2.8,165,6,3328.0
Caminhão Leve,15.7,165,6,18567.0
Truck,0.1,165,6,137.0
Semirreboques,11.7,165,6,13840.0
Semirreboques Especiais,2.5,165,6,2948.0
Reboques,0.1,165,6,102.0
Veículo Leve,42.5,195,6,7257.0
Moto,2.2,195,6,367.0
Ônibus,4.7,195,6,798.0
Caminhão Leve,18.1,195,6,3087.0
Truck,0.4,195,6,60.0
Semirreboques,22.8,195,6,3883.0
Semirreboques Especiais,9.3,195,6,1594.0
Reboques,0.1,195,6,13.0
Veículo Leve,61.9,193,6,23684.0
Moto,2.0,193,6,762.0
Ônibus,2.1,193,6,817.0
Caminhão Leve,15.7,193,6,6019.0
Truck,0.4,193,6,156.0
Semirreboques,12.9,193,6,4950.0
Semirreboques Especiais,4.2,193,6,1611.0
Reboques,0.6,193,6,236.0
Veículo Leve,63.8,196,6,15295.0
Moto,2.9,196,6,702.0
Ônibus,2.4,196,6,585.0
Caminhão Leve,9.6,196,6,2305.0
Truck,0.1,196,6,33.0
Semirreboques,11.5,196,6,2749.0
Semirreboques Especiais,9.2,196,6,2199.0
Reboques,0.4,196,6,101.0
Veículo Leve,74.2,187,6,15222.0
Moto,5.4,187,6,1112.0
Ônibus,0.9,187,6,188.0
Caminhão Leve,13.7,187,6,2819.0
Truck,0.2,187,6,45.0
Semirreboques,4.2,187,6,871.0
Semirreboques Especiais,1.3,187,6,258.0
Reboques,0.0,187,6,5.0
Veículo Leve,50.9,247,6,11101.0
Moto,22.0,247,6,4795.0
Ônibus,1.1,247,6,231.0
Caminhão Leve,14.7,247,6,3210.0
Truck,0.1,247,6,27.0
Semirreboques,10.0,247,6,2170.0
Semirreboques Especiais,1.2,247,6,258.0
Reboques,0.0,247,6,5.0
Veículo Leve,61.1,135,6,6286.0
Moto,21.8,135,6,2249.0
Ônibus,2.3,135,6,235.0
Caminhão Leve,13.4,135,6,1376.0
Truck,0.1,135,6,10.0
Semirreboques,0.9,135,6,93.0
Semirreboques Especiais,0.4,135,6,43.0
Reboques,0.0,135,6,1.0
Veículo Leve,51.7,11,6,13422.0
Moto,3.6,11,6,934.0
Ônibus,3.6,11,6,945.0
Caminhão Leve,22.2,11,6,5754.0
Truck,0.3,11,6,75.0
Semirreboques,15.1,11,6,3909.0
Semirreboques Especiais,3.4,11,6,875.0
Reboques,0.2,11,6,42.0
Veículo Leve,50.4,225,6,7311.0
Moto,13.1,225,6,1901.0
Ônibus,3.4,225,6,498.0
Caminhão Leve,19.8,225,6,2878.0
Truck,1.0,225,6,148.0
Semirreboques,10.6,225,6,1538.0
Semirreboques Especiais,1.3,225,6,184.0
Reboques,0.4,225,6,61.0
Veículo Leve,73.1,23,6,9588.0
Moto,1.9,23,6,246.0
Ônibus,2.3,23,6,303.0
Caminhão Leve,9.5,23,6,1241.0
Truck,0.2,23,6,31.0
Semirreboques,8.3,23,6,1093.0
Semirreboques Especiais,4.7,23,6,612.0
Reboques,0.1,23,6,10.0
Veículo Leve,67.1,125,6,12606.0
Moto,20.7,125,6,3890.0
Ônibus,2.1,125,6,386.0
Caminhão Leve,9.8,125,6,1841.0
Truck,0.0,125,6,4.0
Semirreboques,0.2,125,6,35.0
Semirreboques Especiais,0.1,125,6,17.0
Reboques,0.0,125,6,0.0
