"index","cod_mun_origem","cod_mun_destino","totalCost","cod_nos","costs"
"0","3550308","3544608","-1.1272971015099767E-6","[3550308,3527108,3544608]","[-1.0,-2.820220467988117E-4,-1.1272971015099767E-6]"
"0","3550308","3156809","-8.655439937228014E-6","[3550308,3128006,3156809]","[-1.0,-6.363809172895264E-4,-8.655439937228014E-6]"
"0","3550308","2311900","-1.4040058606867249E-6","[3550308,2311900]","[-1.0,-1.4040058606867249E-6]"
"0","3550308","3156908","-3.063432688026673E-5","[3550308,3104007,3156908]","[-1.0,-5.21435567912435E-4,-3.063432688026673E-5]"
"0","3550308","4316428","-2.2019507227762587E-6","[3550308,4205407,1301654,4316428]","[-1.0,-0.03305115257282853,-1.4111307616159136E-5,-2.2019507227762587E-6]"
"0","3550308","3544707","-4.996973817473458E-7","[3550308,3534609,3544707]","[-1.0,-3.8762770501568275E-5,-4.996973817473458E-7]"
"0","3550308","2612000","-2.8841336339038087E-6","[3550308,2611606,2604106,2612000]","[-1.0,-0.01831446288412837,-8.272111847659326E-5,-2.8841336339038087E-6]"
"0","3550308","4316436","-8.94435167417579E-6","[3550308,4314902,4316436]","[-1.0,-0.06125579900203264,-8.94435167417579E-6]"
"0","3550308","3544806","-3.6700261706652155E-6","[3550308,3549805,3544806]","[-1.0,-0.016131600033158954,-3.6700261706652155E-6]"
"0","3550308","3544905","-5.163941132119936E-6","[3550308,3543402,3544905]","[-1.0,-0.01175488645926692,-5.163941132119936E-6]"
"0","3550308","2513000","-1.1168768975259194E-6","[3550308,2510808,2501153,2513000]","[-1.0,-3.968453087097565E-4,-5.664161408881448E-6,-1.1168768975259194E-6]"
"0","3550308","2612109","-1.742751135927879E-6","[3550308,2608107,2612109]","[-1.0,-1.1598309283933814E-5,-1.742751135927879E-6]"
"0","3550308","2806206","-7.151763782117107E-6","[3550308,2800308,2806206]","[-1.0,-0.004437085825901564,-7.151763782117107E-6]"
"0","3550308","2513109","-2.552261555072321E-6","[3550308,2611606,2507507,2513109]","[-1.0,-0.01831446288412837,-4.7548121466512187E-4,-2.552261555072321E-6]"
"0","3550308","4122800","-7.843428013832339E-7","[3550308,4108403,4122800]","[-1.0,-7.746449727006321E-5,-7.843428013832339E-7]"
"0","3550308","2612208","-1.393628426064258E-4","[3550308,2612208]","[-1.0,-1.393628426064258E-4]"
"0","3550308","3157005","-2.951464494095789E-4","[3550308,3157005]","[-1.0,-2.951464494095789E-4]"
"0","3550308","2927309","-2.4368325540028995E-7","[3550308,2927408,2928703,2927309]","[-1.0,-0.03136335439708387,-6.932389135391692E-5,-2.4368325540028995E-7]"
"0","3550308","1506203","-6.771609330078247E-7","[3550308,5300108,1501402,1506203]","[-1.0,-0.0659403561218135,-0.0017574414919219652,-6.771609330078247E-7]"
"0","3550308","2311959","-6.434164661861142E-8","[3550308,2302701,2311959]","[-1.0,-2.4295405763187675E-5,-6.434164661861142E-8]"
"0","3550308","3545100","-4.031016053500894E-7","[3550308,3534609,3545100]","[-1.0,-3.8762770501568275E-5,-4.031016053500894E-7]"
"0","3550308","2612307","-1.5923757483272604E-6","[3550308,2606002,2612307]","[-1.0,-6.736175944642613E-4,-1.5923757483272604E-6]"
"0","3550308","4215356","-3.151579914726055E-8","[3550308,4210506,4215356]","[-1.0,-5.4389966168342255E-5,-3.151579914726055E-8]"
"0","3550308","3157104","-1.8013176909075847E-5","[3550308,2910727,3157104]","[-1.0,-3.3262730151660714E-4,-1.8013176909075847E-5]"
"0","3550308","5107750","-6.113237647637845E-8","[3550308,5103403,5107750]","[-1.0,-2.974050675332923E-4,-6.113237647637845E-8]"
"0","3550308","4122909","-9.187081827537048E-5","[3550308,4122909]","[-1.0,-9.187081827537048E-5]"
"0","3550308","4316451","-1.4262975098909234E-6","[3550308,4314902,4316451]","[-1.0,-0.06125579900203264,-1.4262975098909234E-6]"
"0","3550308","4123006","-2.300950851702428E-5","[3550308,4209102,4123006]","[-1.0,-0.014383307517938617,-2.300950851702428E-5]"
"0","3550308","3545407","-2.2525137504060935E-5","[3550308,3545407]","[-1.0,-2.2525137504060935E-5]"
"0","3550308","4215406","-4.328701845902741E-7","[3550308,4209003,4215406]","[-1.0,-1.0835262620517117E-4,-4.328701845902741E-7]"
"0","3550308","2109700","-3.217257538908692E-8","[3550308,2203909,2101400,2109700]","[-1.0,-1.0884097606975785E-4,-2.5623899559888905E-6,-3.217257538908692E-8]"
"0","3550308","4316600","-1.3436522336168699E-5","[3550308,4314902,4316600]","[-1.0,-0.06125579900203264,-1.3436522336168699E-5]"
"0","3550308","5219001","-2.6687314299400142E-5","[3550308,5208707,5219001]","[-1.0,-0.028147265320115168,-2.6687314299400142E-5]"
"0","3550308","1718840","-6.59715928006367E-7","[3550308,5208707,1702000,1718840]","[-1.0,-0.028147265320115168,-5.10215786256537E-5,-6.59715928006367E-7]"
"0","3550308","3545506","-8.318831118122843E-6","[3550308,3541406,3545506]","[-1.0,-0.0072577946437542675,-8.318831118122843E-6]"
"0","3550308","4215455","-1.6746495286339507E-5","[3550308,4208807,4215455]","[-1.0,-0.0021958041223809643,-1.6746495286339507E-5]"
"0","3550308","2612406","-4.9099893224836E-7","[3550308,2601706,2612406]","[-1.0,-7.69151036724032E-6,-4.9099893224836E-7]"
"0","3550308","3545704","-1.0438478355540433E-5","[3550308,3545704]","[-1.0,-1.0438478355540433E-5]"
"0","3550308","4123105","-8.248063494993566E-7","[3550308,4102406,4123105]","[-1.0,-1.8172719335932087E-4,-8.248063494993566E-7]"
"0","3550308","2927507","-6.9135010880509385E-6","[3550308,2910800,2927507]","[-1.0,-4.205302771422108E-4,-6.9135010880509385E-6]"
"0","3550308","3157203","-4.6126684603801375E-5","[3550308,3106200,3157203]","[-1.0,-0.012537039811135573,-4.6126684603801375E-5]"
"0","3550308","5219100","-2.398480145895456E-5","[3550308,5208707,5219100]","[-1.0,-0.028147265320115168,-2.398480145895456E-5]"
"0","3550308","3157252","-5.930882831076184E-6","[3550308,3113404,3157252]","[-1.0,-4.7662946783660643E-4,-5.930882831076184E-6]"
"0","3550308","3157278","-6.628170212954155E-6","[3550308,3136702,3157278]","[-1.0,-0.0024070154388147066,-6.628170212954155E-6]"
"0","3550308","4316709","-2.172770973011407E-6","[3550308,4314902,4316709]","[-1.0,-0.06125579900203264,-2.172770973011407E-6]"
"0","3550308","3157302","-1.4523296245917852E-6","[3550308,3106200,3157302]","[-1.0,-0.012537039811135573,-1.4523296245917852E-6]"
"0","3550308","2927606","-4.822454912793533E-6","[3550308,2927606]","[-1.0,-4.822454912793533E-6]"
"0","3550308","5107248","-3.847003285873377E-8","[3550308,3509502,5107909,5107248]","[-1.0,-0.033018433131901226,-6.953214615064207E-5,-3.847003285873377E-8]"
"0","3550308","4215505","-3.424553425414142E-5","[3550308,4215505]","[-1.0,-3.424553425414142E-5]"
"0","3550308","2513158","-5.541770390007803E-7","[3550308,2614501,2513158]","[-1.0,-1.8801469786587448E-5,-5.541770390007803E-7]"
"0","3550308","4123204","-8.639873935774137E-6","[3550308,4113700,4123204]","[-1.0,-0.016467706827460744,-8.639873935774137E-6]"
"0","3550308","4316733","-8.851737517797535E-7","[3550308,5300108,1200203,4316733]","[-1.0,-0.0659403561218135,-1.0427724806108605E-4,-8.851737517797535E-7]"
"0","3550308","2411205","-6.959843902060683E-7","[3550308,2403103,2411205]","[-1.0,-4.199808835445507E-5,-6.959843902060683E-7]"
"0","3550308","2513208","-6.547770339578665E-7","[3550308,2516201,2513208]","[-1.0,-1.781866568410674E-4,-6.547770339578665E-7]"
"0","3550308","2612455","-5.493935976600228E-7","[3550308,2612455]","[-1.0,-5.493935976600228E-7]"
"0","3550308","2927705","-1.9338188404840208E-5","[3550308,2925303,2927705]","[-1.0,-0.0054413773224240855,-1.9338188404840208E-5]"
"0","3550308","2612471","-8.366345795028608E-8","[3550308,2613909,2612471]","[-1.0,-7.178743009424297E-5,-8.366345795028608E-8]"
"0","3550308","2927804","-2.8526949991674393E-6","[3550308,2917102,2927804]","[-1.0,-1.5645508786695983E-4,-2.8526949991674393E-6]"
"0","3550308","3546306","-1.5004549589425957E-4","[3550308,3546306]","[-1.0,-1.5004549589425957E-4]"
"0","3550308","5219209","-1.4665791664314613E-5","[3550308,5208707,5219209]","[-1.0,-0.028147265320115168,-1.4665791664314613E-5]"
"0","3550308","4123303","-2.927974048998564E-6","[3550308,4113502,4123303]","[-1.0,-1.5883579345681993E-4,-2.927974048998564E-6]"
"0","3550308","3157377","-2.90933729013464E-7","[3550308,3157005,3157377]","[-1.0,-2.951464494095789E-4,-2.90933729013464E-7]"
"0","3550308","1506401","-1.1731097853515835E-7","[3550308,5300108,1501402,1506401]","[-1.0,-0.0659403561218135,-0.0017574414919219652,-1.1731097853515835E-7]"
"0","3550308","2612505","-4.028886382840167E-6","[3550308,2612505]","[-1.0,-4.028886382840167E-6]"
"0","3550308","3157401","-4.5509743246860964E-6","[3550308,3152105,3157401]","[-1.0,-5.097762148954278E-4,-4.5509743246860964E-6]"
"0","3550308","2209104","-2.566741723627523E-7","[3550308,2208007,2209104]","[-1.0,-5.524457843136896E-5,-2.566741723627523E-7]"
"0","3550308","3546405","-1.339299503628989E-4","[3550308,3546405]","[-1.0,-1.339299503628989E-4]"
"0","3550308","5107743","-1.4989132762598374E-6","[3550308,4314902,4316808,5107743]","[-1.0,-0.06125579900203264,-2.6455819325986126E-4,-1.4989132762598374E-6]"
"0","3550308","2209153","-8.88196014104811E-7","[3550308,5300108,2211001,2209153]","[-1.0,-0.0659403561218135,-0.0015405427280237379,-8.88196014104811E-7]"
"0","3550308","3157500","-1.6697442390516334E-6","[3550308,3106200,3157500]","[-1.0,-0.012537039811135573,-1.6697442390516334E-6]"
"0","3550308","4123402","-1.0839942418950133E-5","[3550308,4115200,4123402]","[-1.0,-0.010721171883403052,-1.0839942418950133E-5]"
"0","3550308","5219258","-1.0041233053724542E-5","[3550308,5208707,5219258]","[-1.0,-0.028147265320115168,-1.0041233053724542E-5]"
"0","3550308","1718865","-4.338867438503746E-7","[3550308,5208707,1702109,1718865]","[-1.0,-0.028147265320115168,-9.691770186425544E-5,-4.338867438503746E-7]"
"0","3550308","2612554","-6.564891021797267E-7","[3550308,2927408,2611101,2612554]","[-1.0,-0.03136335439708387,-4.5545698934378254E-4,-6.564891021797267E-7]"
"0","3550308","2109759","-2.0609317897832304E-8","[3550308,2109106,2109759]","[-1.0,-1.3368577543060554E-5,-2.0609317897832304E-8]"
"0","3550308","4123501","-1.173218418788307E-6","[3550308,4114609,4123501]","[-1.0,-6.665975651608277E-5,-1.173218418788307E-6]"
"0","3550308","4215554","-2.1369728248688042E-7","[3550308,4217204,4215554]","[-1.0,-5.805259015274241E-5,-2.1369728248688042E-7]"
"0","3550308","2513307","-1.3070792549423918E-6","[3550308,2503704,2513307]","[-1.0,-2.4551789442095684E-4,-1.3070792549423918E-6]"
"0","3550308","5219308","-4.291050238751496E-5","[3550308,3170206,5219308]","[-1.0,-0.019243731632703764,-4.291050238751496E-5]"
"0","3550308","3157658","-3.2960055552112972E-6","[3550308,3106200,3157658]","[-1.0,-0.012537039811135573,-3.2960055552112972E-6]"
"0","3550308","2927903","-1.9370381519405092E-6","[3550308,2918001,2927903]","[-1.0,-6.636674659733075E-4,-1.9370381519405092E-6]"
"0","3550308","4123600","-3.6773017164658522E-6","[3550308,4113700,4123600]","[-1.0,-0.016467706827460744,-3.6773017164658522E-6]"
"0","3550308","2513356","-1.287728623506387E-7","[3550308,2927408,2611101,2513356]","[-1.0,-0.03136335439708387,-4.5545698934378254E-4,-1.287728623506387E-7]"
"0","3550308","2109908","-3.231366646291401E-5","[3550308,5208707,2109908]","[-1.0,-0.028147265320115168,-3.231366646291401E-5]"
"0","3550308","5219357","-1.237275412931169E-7","[3550308,5208707,5205406,5219357]","[-1.0,-0.028147265320115168,-1.0297505823077139E-5,-1.237275412931169E-7]"
"0","3550308","4123709","-5.203272768189398E-6","[3550308,4113502,4123709]","[-1.0,-1.5883579345681993E-4,-5.203272768189398E-6]"
"0","3550308","1303601","-8.849401584800786E-8","[3550308,5300108,1302603,1303601]","[-1.0,-0.0659403561218135,-0.001960298918713569,-8.849401584800786E-8]"
"0","3550308","4123808","-2.8963770664855082E-6","[3550308,4209102,4123006,4123808]","[-1.0,-0.014383307517938617,-2.300950851702428E-5,-2.8963770664855082E-6]"
"0","3550308","1506500","-1.7595686631488885E-7","[3550308,5300108,1501402,1507003,1506500]","[-1.0,-0.0659403561218135,-0.0017574414919219652,-4.206027766992263E-7,-1.7595686631488885E-7]"
"0","3550308","3157708","-9.576686008549643E-6","[3550308,3170206,3157708]","[-1.0,-0.019243731632703764,-9.576686008549643E-6]"
"0","3550308","3204500","-7.127056319996961E-5","[3550308,3205309,3204500]","[-1.0,-0.023795518633050128,-7.127056319996961E-5]"
"0","3550308","4123824","-3.9989649810025887E-7","[3550308,4314902,4123824]","[-1.0,-0.06125579900203264,-3.9989649810025887E-7]"
"0","3550308","2209302","-3.3556036632929584E-7","[3550308,5300108,2209302]","[-1.0,-0.0659403561218135,-3.3556036632929584E-7]"
"0","3550308","2110005","-4.2730613151335107E-7","[3550308,2110005]","[-1.0,-4.2730613151335107E-7]"
"0","3550308","2928059","-4.761411179720197E-6","[3550308,2928059]","[-1.0,-4.761411179720197E-6]"
"0","3550308","2513406","-6.616722356711133E-6","[3550308,2611606,2513406]","[-1.0,-0.01831446288412837,-6.616722356711133E-6]"
"0","3550308","1100296","-3.4075326668162035E-7","[3550308,1100189,1100288,1100296]","[-1.0,-3.577162758097482E-5,-9.779493935716101E-7,-3.4075326668162035E-7]"
"0","3550308","2806305","-4.870414801174707E-6","[3550308,2800308,2806305]","[-1.0,-0.004437085825901564,-4.870414801174707E-6]"
"0","3550308","1506559","-2.327144614843792E-7","[3550308,5300108,1501402,1506559]","[-1.0,-0.0659403561218135,-0.0017574414919219652,-2.327144614843792E-7]"
"0","3550308","2110039","-3.658440819037436E-8","[3550308,5300108,2111300,2110039]","[-1.0,-0.0659403561218135,-0.001506539277569036,-3.658440819037436E-8]"
"0","3550308","3157906","-4.299062058386532E-6","[3550308,3139409,3157906]","[-1.0,-1.869159106705544E-4,-4.299062058386532E-6]"
"0","3550308","2409332","-2.8382555233596353E-7","[3550308,2408102,2409332]","[-1.0,-2.6608963246667106E-4,-2.8382555233596353E-7]"
"0","3550308","2612604","-1.4650495937600608E-6","[3550308,2612604]","[-1.0,-1.4650495937600608E-6]"
"0","3550308","3547007","-3.998194574760787E-6","[3550308,3538709,3547007]","[-1.0,-0.0024041463833602596,-3.998194574760787E-6]"
"0","3550308","1506583","-9.784960284371942E-7","[3550308,5208707,1506583]","[-1.0,-0.028147265320115168,-9.784960284371942E-7]"
"0","3550308","3158003","-6.043329574260251E-6","[3550308,3158003]","[-1.0,-6.043329574260251E-6]"
"0","3550308","3204559","-1.3181161182280551E-4","[3550308,3205309,3204559]","[-1.0,-0.023795518633050128,-1.3181161182280551E-4]"
"0","3550308","2612703","-1.5871370599067326E-6","[3550308,2612703]","[-1.0,-1.5871370599067326E-6]"
"0","3550308","4123857","-1.4045045345821564E-6","[3550308,4106902,4123857]","[-1.0,-0.012387604752572046,-1.4045045345821564E-6]"
"0","3550308","1506609","-3.2963615859601366E-6","[3550308,1506609]","[-1.0,-3.2963615859601366E-6]"
"0","3550308","3158102","-2.0436973759225725E-6","[3550308,3106200,3158102]","[-1.0,-0.012537039811135573,-2.0436973759225725E-6]"
"0","3550308","3158201","-1.2874123305166535E-4","[3550308,3158201]","[-1.0,-1.2874123305166535E-4]"
"0","3550308","1718881","-4.800855859073241E-7","[3550308,5208707,1721000,1718881]","[-1.0,-0.028147265320115168,-8.532019417482602E-4,-4.800855859073241E-7]"
"0","3550308","3304607","-1.338787266673989E-5","[3550308,3304557,3304607]","[-1.0,-0.1914498118571103,-1.338787266673989E-5]"
"0","3550308","4123907","-2.2873132451207184E-5","[3550308,4106407,4123907]","[-1.0,-1.7305898326290718E-4,-2.2873132451207184E-5]"
"0","3550308","3547106","-1.2208746614667174E-6","[3550308,3547106]","[-1.0,-1.2208746614667174E-6]"
"0","3550308","4123956","-5.268337465438561E-7","[3550308,4128104,4123956]","[-1.0,-4.3530286054595805E-4,-5.268337465438561E-7]"
"0","3550308","2312205","-9.76699729173374E-6","[3550308,2312205]","[-1.0,-9.76699729173374E-6]"
"0","3550308","2110104","-6.16946156301313E-7","[3550308,5300108,2111300,2110104]","[-1.0,-0.0659403561218135,-0.001506539277569036,-6.16946156301313E-7]"
"0","3550308","2110203","-1.6481807929800683E-6","[3550308,2110203]","[-1.0,-1.6481807929800683E-6]"
"0","3550308","3159209","-5.996510579275358E-6","[3550308,3152501,3159209]","[-1.0,-0.00305230874113294,-5.996510579275358E-6]"
"0","3550308","2928406","-3.828370934965788E-5","[3550308,5300108,2928406]","[-1.0,-0.0659403561218135,-3.828370934965788E-5]"
"0","3550308","3159407","-5.623394465551468E-7","[3550308,3105608,3159407]","[-1.0,-2.2964652382188953E-4,-5.623394465551468E-7]"
"0","3550308","3159308","-5.647850216049019E-5","[3550308,3306305,3159308]","[-1.0,-0.001970980053471868,-5.647850216049019E-5]"
"0","3550308","3159357","-3.0302857344911914E-5","[3550308,3113404,3159357]","[-1.0,-4.7662946783660643E-4,-3.0302857344911914E-5]"
"0","3550308","3159506","-1.8030851483265622E-7","[3550308,3205309,3154309,3159506]","[-1.0,-0.023795518633050128,-4.139883500557787E-5,-1.8030851483265622E-7]"
"0","3550308","5007554","-5.379811014799076E-8","[3550308,5001904,5007554]","[-1.0,-1.0261451529627759E-4,-5.379811014799076E-8]"
"0","3550308","3547502","-2.466166816162769E-5","[3550308,3547502]","[-1.0,-2.466166816162769E-5]"
"0","3550308","3159605","-4.936606693640671E-4","[3550308,3159605]","[-1.0,-4.936606693640671E-4]"
"0","3550308","1718899","-9.242289354365597E-7","[3550308,5208707,1721000,1718899]","[-1.0,-0.028147265320115168,-8.532019417482602E-4,-9.242289354365597E-7]"
"0","3550308","5107768","-3.2764791255245445E-6","[3550308,5208707,4318614,5107768]","[-1.0,-0.028147265320115168,-1.1287650613757634E-5,-3.2764791255245445E-6]"
"0","3550308","4317202","-7.343561088722304E-5","[3550308,4317202]","[-1.0,-7.343561088722304E-5]"
"0","3550308","3159704","-7.977921353759448E-8","[3550308,3123205,3159704]","[-1.0,-1.3490665009207226E-5,-7.977921353759448E-8]"
"0","3550308","5219506","-4.266941609720765E-5","[3550308,5208707,5219506]","[-1.0,-0.028147265320115168,-4.266941609720765E-5]"
"0","3550308","2806503","-1.6409796274546152E-5","[3550308,2800308,2806503]","[-1.0,-0.004437085825901564,-1.6409796274546152E-5]"
"0","3550308","3547601","-3.821337690390825E-5","[3550308,3547601]","[-1.0,-3.821337690390825E-5]"
"0","3550308","2209377","-6.123465912220393E-7","[3550308,5300108,2211001,2209377]","[-1.0,-0.0659403561218135,-0.0015405427280237379,-6.123465912220393E-7]"
"0","3550308","1200435","-4.559940508558152E-7","[3550308,5002704,4304655,1303700,1200435]","[-1.0,-0.013162738075137266,-3.3985614839989116E-5,-2.1657096760186536E-5,-4.559940508558152E-7]"
"0","3550308","4215653","-8.467504946895075E-6","[3550308,4314902,4321501,4215653]","[-1.0,-0.06125579900203264,-1.398038157358505E-4,-8.467504946895075E-6]"
"0","3550308","1718907","-1.8484578708731195E-7","[3550308,5208707,1721000,1718907]","[-1.0,-0.028147265320115168,-8.532019417482602E-4,-1.8484578708731195E-7]"
"0","3550308","3547650","-2.0715037704181612E-5","[3550308,3524808,3547650]","[-1.0,-2.665779823312577E-4,-2.0715037704181612E-5]"
"0","3550308","3204609","-2.9938194213896112E-5","[3550308,3205309,3204609]","[-1.0,-0.023795518633050128,-2.9938194213896112E-5]"
"0","3550308","2928505","-6.186725860612595E-7","[3550308,2927408,2928505]","[-1.0,-0.03136335439708387,-6.186725860612595E-7]"
