cod_destino,cod_origem,passageiros_rodov_pred_log,passageiros_rodov_pred
1303403,1304302,0.98327184,9
1303403,1505304,0.0,1
1303403,1301902,0.5943237,3
1303403,1300680,0.7394395,5
1303403,1300508,1.8590701,72
1303403,1302603,1.5939319,39
1505106,1500404,0.4063677,2
1505106,1504802,0.29311758,1
1505106,1506005,0.08640037,1
1505106,1501808,0.07230913,1
1505106,1503101,0.610244,4
1505106,1501402,1.0819691,12
1505106,1506807,1.6646562,46
1505106,1507979,0.41761804,2
1505106,1303403,0.0,1
1505106,1503903,1.0163215,10
1505106,1505304,1.0080618,10
1505106,1301902,0.35544372,2
1505106,1302603,0.803883,6
1505106,1502855,0.39581087,2
1504802,1500404,1.1122932,12
1504802,1506005,1.7337018,54
1504802,1501808,1.2996074,19
1504802,1503101,1.4049382,25
1504802,1501402,1.6623344,45
1504802,1505106,0.27145505,1
1504802,1506807,2.3161132,207
1504802,1303403,0.6720428,4
1504802,1503903,0.5586464,3
1504802,1301902,1.0821877,12
1504802,1302603,0.6528226,4
1504802,1600279,0.9975574,9
1504802,1505908,1.4943277,31
1506807,1500404,2.184903,153
1506807,1504802,2.5868711,386
1506807,1506005,1.3037735,20
1506807,1501808,1.3483013,22
1506807,1503101,1.964175,92
1506807,1501402,1.9895096,97
1506807,1505106,1.3801531,23
1506807,1303007,1.4029346,25
1506807,1507979,1.4718711,29
1506807,1303403,0.21091203,1
1506807,1503903,1.6053795,40
1506807,1505304,1.4040606,25
1506807,1301902,0.8192006,6
1506807,1302603,0.21653657,1
1506807,5103403,2.3378217,217
1506807,1508100,1.8651446,73
1506807,5105606,1.3664216,23
1506807,5104104,3.0816662,1206
1506807,5104559,1.2697047,18
1506807,5208707,1.8398116,69
1506807,5107909,2.594657,393
1506807,5106190,0.39575523,2
1506807,5105259,2.6035576,401
1506807,4314902,1.643287,43
1506807,5106224,2.1339147,136
1506807,5107925,2.7233975,528
1506807,5107701,0.57334834,3
1506807,1500602,1.9021516,79
1506807,1600279,1.4777861,30
1506807,1505908,1.8613384,72
1506807,1504208,2.123685,132
1506807,1504703,1.3590724,22
1506807,1507953,1.5436616,34
1506807,1503093,1.4062879,25
1506807,1506195,2.4494894,281
1506807,1501782,1.19741,15
1506807,1505536,1.8917631,77
1506807,1502707,1.2968196,19
1506807,1505064,0.9303341,8
1506807,1502772,1.2513261,17
1506807,1502954,1.5748563,37
1506807,1505650,1.1725762,14
1506807,1505486,1.5428038,34
1506807,1504455,1.2424078,17
1506807,1508159,1.416217,26
1506807,1501725,1.5300502,33
1506807,1500859,1.5162749,32
1506807,4104808,1.9130297,81
1506807,1502855,0.94742996,8
1506807,5107602,1.8679525,73
1506807,5104807,1.2229348,16
1506807,5002704,1.9228979,83
1506807,4312401,0.5997106,3
1506807,4311403,0.7384386,5
1506807,4320800,0.44117522,2
1506807,4304705,1.022425,10
1506807,4320107,0.49862766,3
1506807,5005707,1.0481062,11
1506807,5005681,0.9007122,7
1506807,5004601,0.5275468,3
1506807,5003751,0.4430341,2
1506807,4108403,0.938705,8
1506807,4127700,1.6280473,42
1506807,4108809,1.1395744,13
1506807,4115408,0.75945127,5
1506807,4118501,1.22439,16
1506807,4204202,1.798931,62
1506807,5003702,1.7058679,50
1506807,5106422,1.437098,27
1506807,5108055,1.6376908,43
1506807,1503606,3.418485,2621
1506807,5007935,0.5622103,3
1506807,5003306,0.8634674,7
1506807,4214201,0.52811134,3
1506807,4216909,0.5029673,3
1506807,5007901,0.76445526,5
1506807,5007695,1.5153232,32
1506807,5005400,1.1233515,13
1506807,4117909,1.7468683,55
1506807,4121406,1.6762195,47
1506807,1508050,1.4107138,25
1506807,1505031,2.4549346,285
1506807,5007406,0.65572613,4
1506807,4127403,0.3571742,2
1506807,1501006,1.5514377,35
1506807,1504752,2.499532,315
1506807,1501451,2.800295,631
1502855,1500404,1.2120985,16
1502855,1505106,0.376094,2
1502855,1506807,1.1671321,14
1501402,1504802,1.9447342,88
1501402,1506005,1.2738192,18
1501402,1501808,2.9778695,950
1501402,1503101,2.4640691,291
1501402,1505106,1.6238748,42
1501402,1506807,1.9562752,90
1501402,1303403,0.06985908,1
1501402,1503903,1.5168288,32
1501402,1301902,1.0689172,11
1501402,1302603,0.07146334,1
1501402,1504604,1.898441,79
1501402,1501303,2.8284845,673
1501402,1503309,3.6501827,4468
1501402,1508100,3.1257846,1335
1501402,1502103,2.402556,252
1501402,1500107,3.140611,1382
1501402,1505205,2.4023058,252
1501402,1504000,1.4336681,27
1501402,1501204,2.0179822,104
1501402,3509502,2.2850986,192
1501402,2306306,1.1585809,14
1501402,2308302,1.3181976,20
1501402,2310308,1.2933776,19
1501402,2312908,2.7782044,600
1501402,2313401,2.5920506,390
1501402,2507507,2.1551468,142
1501402,3550308,3.5737991,3747
1501402,3170206,2.5805998,380
1501402,2611606,2.951576,894
1501402,2307304,2.7144396,518
1501402,5208707,3.2994611,1992
1501402,2800308,2.6580555,455
1501402,2930105,2.3470068,222
1501402,3170107,1.7766519,59
1501402,5300108,3.2918193,1958
1501402,2408003,2.1554239,143
1501402,2604106,2.4374747,273
1501402,2611101,2.716052,520
1501402,2408102,2.6199892,416
1501402,5201108,2.4081178,255
1501402,5211800,1.2137934,16
1501402,3106200,2.8875763,771
1501402,5218003,1.4164009,26
1501402,3304557,3.322212,2099
1501402,2601201,2.3677468,233
1501402,2704302,2.386736,243
1501402,2612208,2.231258,170
1501402,2504009,2.5454457,351
1501402,2510808,1.963103,91
1501402,2613909,1.863037,72
1501402,2400208,1.5319134,34
1501402,3543402,2.1635487,145
1501402,2512101,1.5766929,37
1501402,2516201,1.7208269,52
1501402,2910800,2.6875727,487
1501402,2503704,2.4377208,273
1501402,2927408,3.0453198,1109
1501402,2301307,1.6257122,42
1501402,1500602,2.664465,461
1501402,2104677,0.7345018,5
1501402,2106326,2.9644089,921
1501402,2302701,1.7178695,52
1501402,2302008,1.5480264,35
1501402,2301109,1.3245742,21
1501402,2110039,0.7807878,6
1501402,2107357,3.185756,1533
1501402,2202208,1.4048324,25
1501402,1705508,1.5070325,32
1501402,1721000,2.0439284,110
1501402,2111300,3.5755906,3763
1501402,2106375,2.6644902,461
1501402,2101202,2.672714,470
1501402,2207702,2.65022,446
1501402,2104057,2.5381882,345
1501402,1504059,2.8305638,676
1501402,2103000,2.5390217,345
1501402,2208403,2.1379666,137
1501402,1716109,1.9623057,91
1501402,1713304,1.0596215,11
1501402,1709302,1.5585365,36
1501402,1502202,3.3315377,2145
1501402,2100055,2.9601321,912
1501402,1702109,2.8024893,634
1501402,2110609,1.6814449,48
1501402,2105401,1.6321609,42
1501402,2105302,3.6338117,4303
1501402,1502400,3.9251566,8416
1501402,2211001,3.4912553,3099
1501402,2103208,2.0312605,107
1501402,1506609,3.5811648,3812
1501402,2108454,3.0852365,1216
1501402,1709500,2.0161965,103
1501402,2208007,2.3414667,219
1501402,2110104,2.227824,168
1501402,1507706,1.6578997,45
1501402,1600279,1.3265917,21
1501402,1505908,1.4299043,26
1501402,1504901,2.3199604,208
1501402,1507003,2.3513558,224
1501402,1505809,2.5547576,358
1501402,1502905,2.5641437,366
1501402,1502608,2.2391496,173
1501402,1504406,1.7210078,52
1501402,2100832,2.1253705,133
1501402,1504505,2.40302,252
1501402,1507805,1.9241878,83
1501402,1504208,3.2265759,1684
1501402,1503804,1.9179091,82
1501402,1508357,1.6697534,46
1501402,1503200,3.1938522,1562
1501402,1507201,2.087223,122
1501402,1507409,3.194394,1564
1501402,1504109,2.0839267,121
1501402,1508209,2.6931224,493
1501402,2601102,1.9251621,84
1501402,1504307,2.1427548,138
1501402,1507102,2.2165213,164
1501402,1507961,2.8765817,752
1501402,1722081,0.957743,9
1501402,1505502,3.3988736,2505
1501402,1504703,3.2286406,1692
1501402,1505403,3.2237341,1673
1501402,1507953,2.8758419,751
1501402,1505601,2.5569818,360
1501402,1506161,1.6483798,44
1501402,1503093,2.4681761,293
1501402,1502301,2.5308526,339
1501402,1502756,3.201388,1589
1501402,1506195,1.6992769,50
1501402,1507466,2.6373708,433
1501402,1506708,2.4787045,301
1501402,1501907,3.4439301,2779
1501402,1502939,2.44875,281
1501402,1504950,1.9360776,86
1501402,2110708,0.5432607,3
1501402,1501600,2.5693445,370
1501402,1503705,1.3580111,22
1501402,1501782,2.3735673,236
1501402,1505536,2.955888,903
1501402,1508035,3.1468613,1402
1501402,2112407,2.4614081,289
1501402,1508001,2.6101556,407
1501402,1507151,1.5296129,33
1501402,1503507,2.3834412,241
1501402,1506104,2.5351164,342
1501402,1506138,2.6566832,453
1501402,1502707,1.3629378,23
1501402,2211308,1.2561938,18
1501402,1508407,2.5919554,390
1501402,1505064,2.2074025,161
1501402,1507474,2.5858674,385
1501402,1504976,2.645245,441
1501402,1502772,2.208998,161
1501402,2103307,2.4964676,313
1501402,1501956,1.8256239,66
1501402,1506203,2.874701,749
1501402,1506906,2.7442677,554
1501402,1502954,2.7699172,588
1501402,1508308,2.2763336,188
1501402,1508084,2.2962744,197
1501402,1502806,2.9297907,850
1501402,1506559,2.2532632,179
1501402,1505007,2.8501947,708
1501402,1502152,1.6083026,40
1501402,2109106,1.1631652,14
1501402,1505437,1.8585775,72
1501402,1507300,2.365253,231
1501402,1505650,1.3913412,24
1501402,2109809,2.0636716,115
1501402,1505486,2.424016,265
1501402,2204303,0.50460416,3
1501402,1501576,2.5476387,352
1501402,2101004,1.9414344,87
1501402,1504455,1.5489485,35
1501402,1503457,2.1756847,149
1501402,2102101,1.2707288,18
1501402,1508159,1.72802,53
1501402,1501725,1.8167043,65
1501402,1503077,2.355721,226
1501402,1507607,2.8593025,723
1501402,2102606,2.6208444,417
1501402,1501709,3.2172844,1649
1501402,2112902,1.6368531,43
1501402,2601706,1.4150119,26
1501402,2104305,2.574525,375
1501402,3526902,1.7150391,51
1501402,1506187,1.9739931,94
1501402,1506112,2.0285668,106
1501402,1506401,2.3213003,209
1501402,1505700,2.9580815,907
1501402,2106201,2.2411845,174
1501402,2102903,2.9629087,918
1501402,2304400,3.557835,3612
1501402,1508126,2.2549267,179
1501402,2605103,1.1624845,14
1501402,2105427,1.7319915,53
1501402,1502004,3.2796903,1904
1501402,1600303,0.2791306,1
1501402,1507904,2.7952359,624
1501402,1500701,0.55952585,3
1501402,1500305,1.2196053,16
1501402,1500206,2.8052948,638
1501402,1501105,1.7153357,51
1501402,1500909,3.1088166,1284
1501402,1500347,1.7958492,62
1501402,1500131,1.8359314,68
1501402,1500859,2.220265,166
1501402,1500958,3.1963065,1571
1503101,1504802,1.271794,18
1503101,1506005,0.98883545,9
1503101,1501808,1.00217,10
1503101,1501402,2.8801866,758
1503101,1505106,0.63726836,4
1503101,1506807,1.6922904,49
1503101,1303403,0.0640544,1
1503101,1503903,0.620892,4
1503101,1301902,0.42230478,2
1503101,1302603,1.0533217,11
1503101,1600279,0.35039333,2
1503101,1505908,1.9104102,81
1503101,1507805,0.6351306,4
1503101,1508357,1.1894268,15
1501808,1504802,0.8775923,7
