"index","cod_mun_origem","cod_mun_destino","totalCost","cod_nos","costs"
"0","1302603","2403400","-2.684531954468958E-7","[1302603,2611606,2513406,2403400]","[-1.0,-0.035528946555775966,-1.283603982673861E-5,-2.684531954468958E-7]"
"0","1302603","4306973","-1.6183002332727812E-7","[1302603,3509502,4314100,4307005,4306973]","[-1.0,-0.05683453802228631,-5.578160757278192E-4,-2.355333421203889E-5,-1.6183002332727812E-7]"
"0","1302603","4307005","-2.355333421203889E-5","[1302603,3509502,4314100,4307005]","[-1.0,-0.05683453802228631,-5.578160757278192E-4,-2.355333421203889E-5]"
"0","1302603","2304277","-3.319183526170424E-6","[1302603,2304400,2304277]","[-1.0,-0.07287081477449374,-3.319183526170424E-6]"
"0","1302603","2900504","-2.373555792571212E-7","[1302603,5300108,3550308,2900504]","[-1.0,-0.1850985821133786,-0.023007617858019077,-2.373555792571212E-7]"
"0","1302603","4307054","-5.213542736764001E-7","[1302603,3509502,4314100,4307054]","[-1.0,-0.05683453802228631,-5.578160757278192E-4,-5.213542736764001E-7]"
"0","1302603","4307203","-5.941162985137956E-6","[1302603,3509502,4204202,4307203]","[-1.0,-0.05683453802228631,-5.627082645943081E-4,-5.941162985137956E-6]"
"0","1302603","4307302","-1.9243898333321035E-8","[1302603,3304557,4108304,4320206,4307302]","[-1.0,-0.06165569274412616,-0.0014749193727881308,-1.2902159109840239E-6,-1.9243898333321035E-8]"
"0","1302603","4205209","-4.592819398913629E-8","[1302603,5300108,4205407,4205209]","[-1.0,-0.1850985821133786,-0.0021005852412162977,-4.592819398913629E-8]"
"0","1302603","3124005","-3.224671203581245E-7","[1302603,3304557,3116704,3124005]","[-1.0,-0.06165569274412616,-2.4364687782206956E-6,-3.224671203581245E-7]"
"0","1302603","2605202","-3.0096682906786633E-6","[1302603,2611606,2605202]","[-1.0,-0.035528946555775966,-3.0096682906786633E-6]"
"0","1302603","4307401","-6.884802447359314E-8","[1302603,1400100,1400506,4314464,4307401]","[-1.0,-0.05301634573613386,-6.74409927447029E-5,-3.250118526756979E-5,-6.884802447359314E-8]"
"0","1302603","3124203","-1.4411685569609662E-5","[1302603,3304557,3124203]","[-1.0,-0.06165569274412616,-1.4411685569609662E-5]"
