cod_mun,cidade,espalhamento,total
3550308,40353.42126074602,6497.309143336525,46850.73040408255
3304557,37788.17388830859,8991.911716760138,46780.08560506873
5300108,32065.22992888566,14601.701282829577,46666.93121171524
3106200,44094.85558596347,2204.152312527224,46299.007898490694
4314902,32031.50588188184,14292.894215848188,46324.40009773003
4106902,42634.598216056336,3520.900961988074,46155.49917804441
3509502,26442.5541480689,19990.07949271331,46432.63364078221
2927408,39218.57765808074,7280.917500186905,46499.49515826765
2611606,32602.47418581901,13774.35237261896,46376.82655843797
2304400,39048.181193102224,7416.1506107109735,46464.3318038132
1302603,42238.20842517045,4034.279891515934,46272.48831668639
5208707,38342.50166216801,7783.468596375009,46125.97025854302
3205309,20211.057800220857,25624.204118353246,45835.261918574106
1501402,39239.66438370535,6820.17256615481,46059.83694986016
4205407,25778.160567202427,19895.172930842753,45673.33349804518
3543402,39614.83839454987,5383.1641872333585,44998.00258178323
2111300,40899.16120549419,4739.100042025917,45638.2612475201
2408102,43766.52997214897,1315.5424799265625,45082.07245207553
5103403,43388.44929666706,871.0542626170891,44259.503559284145
5002704,39711.1172895852,5710.50547844742,45421.62276803262
2507507,43598.01831865013,1330.7374910591434,44928.75580970928
2704302,44441.37899569423,847.9178326264207,45289.29682832065
2800308,38531.15850251029,6421.617344518496,44952.77584702879
2211001,40261.73680551935,5035.260757276081,45296.99756279543
3549904,43468.47659757941,1217.7914297364123,44686.26802731582
3552205,43948.26662160926,545.6012062797524,44493.867827889015
3170206,38498.931424721486,6569.871825247517,45068.803249969
4208203,37765.78080877661,2909.498289225494,40675.2790980021
4209102,39569.916376141926,5034.088963045457,44604.00533918738
4113700,37539.13102398928,7188.258277858275,44727.38930184755
4305108,42086.10388300496,1803.0327979142062,43889.13668091917
4115200,36790.0446862654,7258.418560581024,44048.463246846426
4202404,41313.39685260314,1289.1134152190266,42602.51026782217
3549805,37229.951158461256,6975.967273576929,44205.91843203818
3136702,42089.57591920875,2100.5264948559256,44190.10241406468
1100205,40006.36810092145,4302.776931619265,44309.14503254071
3506003,41931.739604012255,743.3022307109122,42675.04183472317
2910800,43674.32980966358,554.7521458372607,44229.081955500835
4204608,39190.80989111897,765.5635521902582,39956.37344330923
4104808,38801.68161952023,3898.6780442752433,42700.35966379547
4204202,33476.64022460007,8493.587843280673,41970.228067880744
3143302,40793.642772586594,2493.989770259894,43287.63254284649
4314100,36973.39496882383,3256.1710083576913,40229.56597718152
1721000,36953.76610780033,5808.105811122295,42761.871918922625
2307304,35746.38706975517,6716.869621434269,42463.25669118944
2604106,41813.08285720593,728.8295942227153,42541.912451428645
2933307,38260.56611457485,4660.35540188682,42920.921516461676
2914802,38405.68727326869,1626.287519513476,40031.974792782166
3525904,42778.49820949293,242.18342000407563,43020.681629497005
3548500,41728.93137543349,1535.506094789122,43264.43747022261
3302403,40234.40998201686,817.0269632325383,41051.4369452494
3538709,42556.7797479942,330.2717350147922,42887.051483008996
3301009,42453.572445410304,1327.0225996901556,43780.59504510046
3501608,40073.364799086325,427.6759630451497,40501.04076213147
3306305,40043.072107798405,1271.7763781225103,41314.84848592091
3131307,40064.62362208457,1063.6516392737028,41128.27526135827
4119905,41393.4305741164,1091.9917894362247,42485.42236355262
4108304,22845.431115303603,21968.005203054072,44813.43631835768
3170107,39684.88162949119,2904.0007920499233,42588.882421541115
5201108,41615.49780079852,1290.3309996365472,42905.82880043507
3303906,40933.2711529541,826.2763803933349,41759.54753334743
3526902,41491.008375029975,203.4583747447659,41694.46674977474
3300704,38784.85631382312,1811.9964912911569,40596.85280511428
3516200,41465.011619654964,1001.5518623643154,42466.56348201928
1600303,40547.76376917275,3536.932088890233,44084.69585806299
3503208,39858.410932397244,592.5729278203004,40450.983860217544
3548906,40378.328814335255,390.9447783284575,40769.27359266371
3541406,35266.881700549086,6319.726650511194,41586.60835106028
5107602,39084.514566102116,1578.2025836348694,40662.717149736985
2504009,41110.35960377653,2066.0799786325556,43176.43958240909
2611101,37728.623744956065,5473.45935014326,43202.083095099326
4316808,35781.77704548887,420.06035648881175,36201.83740197768
4314407,41517.25545921507,727.5304242011713,42244.78588341624
1200401,40766.74939447324,2521.6289721533326,43288.37836662657
1400100,40124.23990176838,3420.8517985910626,43545.091700359444
5003702,38542.64681608476,1927.7482263239517,40470.39504240871
2105302,37078.19157423954,4686.030634800809,41764.22220904035
3529005,38815.44014067962,2006.7039881770672,40822.144128856686
3167202,40185.66219370005,267.94330094238904,40453.60549464244
1504208,38764.525160453195,3149.9064694337994,41914.431629886996
3502804,37211.15868255777,2660.5742898197623,39871.73297237753
4316907,40278.15479666121,1202.607942661531,41480.762739322745
3152501,34857.87888965597,3654.030704368175,38511.909594024146
4311403,31651.704299516517,565.8687377883577,32217.573037304875
4202909,36224.62565387146,518.9250527728047,36743.550706644266
3151800,35445.43010872445,3731.887772464434,39177.31788118889
3518404,34992.383700507744,711.5940510658878,35703.977751573635
2408003,40821.954265186745,901.0075319402619,41722.961797127005
3127701,39235.46741193513,2459.1676598097715,41694.6350717449
3122306,40086.323185909976,353.9981993341758,40440.321385244155
5107909,34217.49395846508,4233.8982554919185,38451.392213957
4218707,33533.67397161694,1067.7789431584604,34601.4529147754
3511102,35383.30453473095,57.113686382623186,35440.41822111358
3201209,38378.389408473435,1589.5725511356673,39967.9619596091
4209300,35890.20402694239,2318.7971963489267,38209.001223291314
1506807,37555.315102971465,4999.400228940222,42554.715331911684
3170701,36113.469555393676,420.9848098664654,36534.45436526014
3505500,34545.845137973585,1488.5209343539627,36034.366072327546
3525300,36979.227768500794,425.2257873436716,37404.45355584446
2312908,38725.62289686806,1130.1320292391779,39855.754926107234
2700300,39708.25326885987,592.7003187605669,40300.95358762044
2913606,30477.182179246014,10176.47609588747,40653.658275133486
1702109,37934.11018878889,1064.4487885299227,38998.55897731881
1502400,39223.78618662975,174.73439997075457,39398.520586600505
2903201,35455.071463311084,3058.657164303067,38513.72862761415
1100122,34793.95913309463,1872.8006354355712,36666.7597685302
4203006,30659.14185514612,1058.414856446953,31717.556711593075
2910727,32843.75066816119,3348.9982170446133,36192.74888520581
3168606,34994.426507283206,2486.0678285942936,37480.4943358775
2606002,35812.91214152076,1227.0894541200378,37040.0015956408
4209003,19070.87517074021,3502.185521753714,22573.060692493927
1100049,30794.272425071395,2345.167934612454,33139.440359683846
