cod_mun,cidade,espalhamento,total
1100015,16216.823248370732,331.1620031265583,16547.98525149729
1100023,33825.72593546824,1143.08047945161,34968.80641491985
1100031,4752.36461323415,46.405980928866555,4798.7705941630165
1100049,31313.269559458276,1331.4604568202853,32644.73001627856
1100056,12706.19106083255,577.1711565620158,13283.362217394566
1100064,12213.404516698667,171.69056694342675,12385.095083642094
1100072,6420.415364722687,36.70622930753434,6457.121594030221
1100080,14565.452336786497,100.14564568998237,14665.59798247648
1100098,20696.035495069864,96.68445642472396,20792.719951494586
1100106,24962.69767460567,95.95078278162454,25058.648457387295
1100114,25825.867106615224,805.3478136666114,26631.214920281836
1100122,35093.19614816903,1395.1274045237692,36488.3235526928
1100130,23554.372632159222,33.38228017293259,23587.754912332155
1100148,15203.489279157267,307.6918305336897,15511.181109690957
1100155,21319.583342544156,1041.2488406700115,22360.832183214166
1100189,21659.933241663144,1801.307387880723,23461.240629543867
1100205,40201.56866129991,4210.161483426878,44411.73014472679
1100254,13851.36385675745,1048.7804876913003,14900.14434444875
1100262,3669.6400173984307,0.0,3669.6400173984307
1100288,26872.55082378589,500.5347092795211,27373.08553306541
1100296,5451.757727112435,1838.124650354225,7289.88237746666
1100304,33047.89481605183,1521.0033104775384,34568.89812652936
1100320,16424.63212842678,953.0923049546368,17377.724433381416
1100338,20401.85013277686,53.381516941785364,20455.231649718648
1100346,11272.684268085133,789.7476124804352,12062.431880565568
1100379,10983.67337418601,13.77078474583237,10997.444158931843
1100403,16110.909497158871,190.62936545040557,16301.538862609277
1100452,23351.987433604772,40.412166308679936,23392.399599913453
1100502,7230.158618623208,1182.7688365087422,8412.92745513195
1100601,5807.902530283046,13.55801011422186,5821.460540397268
1100700,11710.886225274795,24.391389756730675,11735.277615031526
1100908,2826.5266395216913,56.310774196333654,2882.837413718025
1100924,9956.896991421349,44.06390770902958,10000.960899130378
1100940,18376.583919367058,72.35027207724377,18448.934191444303
1101005,6484.237172478619,22.056630108416428,6506.293802587035
1101104,9279.25065590276,340.1339974449371,9619.384653347697
1101203,8303.021278211161,11.934796132515883,8314.956074343678
1101302,9171.857296829225,602.2483871562208,9774.105683985446
1101401,12778.200395472222,277.6483732701104,13055.848768742333
1101435,6219.845982968206,436.19056634083927,6656.036549309045
1101450,5818.292855507426,0.0,5818.292855507426
1101468,2077.977503418488,144.74721281138343,2222.724716229872
1101476,2615.6479780347536,89.23170854816475,2704.879686582918
1101484,4658.411332797963,172.2574066984605,4830.668739496424
1101492,15525.973397692978,158.60979447137547,15684.583192164353
1101500,9981.371718254772,617.5978899351943,10598.969608189966
1101559,3944.611472416825,570.4422890162459,4515.0537614330715
1101609,8955.069387564381,73.07206577808245,9028.141453342463
1101708,9428.433322486017,939.4135998922061,10367.846922378223
1101757,9805.465808314812,123.57438714524302,9929.040195460055
1101807,5959.968042064685,13.20679155713835,5973.174833621823
1200013,12539.940813143261,16.06024425326943,12556.00105739653
1200054,6900.00973045807,61.01509764873231,6961.0248281068025
1200104,24762.93803144841,46.67700380923667,24809.615035257648
1200138,9110.417198546784,195.48766330673502,9305.904861853518
1200179,10292.591893703428,409.77454119050526,10702.366434893933
1200203,30682.618855439,3257.5499160802538,33940.16877151925
1200302,21397.21183268185,97.84814295734807,21495.059975639197
1200328,7669.846084168367,2.7827891835360123,7672.628873351903
1200336,14785.845602297675,16.100007378493444,14801.945609676168
1200344,8482.905477275106,0.0,8482.905477275106
1200351,14489.347860864715,2569.239327646864,17058.587188511578
1200385,14961.260315296695,709.1179984545438,15670.378313751238
1200393,10442.829911763833,363.6446870187203,10806.474598782554
1200401,40204.250673982286,3176.985506387911,43381.23618037019
1200427,14841.827532996998,98.4638407621874,14940.291373759186
1200435,6288.004105430888,123.4944454010107,6411.498550831899
1200450,16553.24523398887,1035.9606955066258,17589.205929495496
1200500,25014.390217130018,125.17924533295735,25139.569462462976
1200609,24104.5107039281,103.86852813367459,24208.379232061772
1200708,14871.99061497805,273.6543172920906,15145.644932270141
1200807,14506.807393447078,72.06045960234076,14578.867853049418
1300029,12938.274519857207,100.22831699100098,13038.502836848207
1300060,10073.867319727182,147.08336650343665,10220.950686230619
1300086,11637.074694109398,150.05805420774826,11787.132748317146
1300102,15957.091014813577,150.99938036813165,16108.090395181709
1300144,16286.59269244693,586.1160135691066,16872.708706016037
1300201,15434.475712121179,0.0,15434.475712121179
1300300,23340.447068432924,41.339149551387116,23381.78621798431
1300409,18576.11848456126,453.17106103167083,19029.28954559293
1300508,20598.550119934007,377.9845128538859,20976.534632787894
1300607,24435.866009904545,44.51693063745613,24480.382940542
1300631,15229.236512751038,112.83852346645205,15342.075036217491
1300680,14988.269355113109,90.95124183707931,15079.220596950188
1300706,21372.171601374215,160.77440117254537,21532.94600254676
1300805,23638.669276261386,342.390810759555,23981.060087020942
1300839,11122.340874864087,41.32500027158374,11163.66587513567
1300904,12698.419812078442,8.96362188250459,12707.383433960948
1301001,18507.49248319839,2677.9291109752558,21185.421594173647
1301100,22674.601274351226,38.266175283718674,22712.867449634945
1301159,20138.66355144817,8.676099438699557,20147.339650886872
1301209,30268.36994299548,3421.4738924610915,33689.84383545657
1301308,19429.158635677548,106.3086173834961,19535.467253061044
1301407,21550.52499441094,1015.775209180564,22566.3002035915
1301506,15360.677735027855,84.6135009766921,15445.291236004547
1301605,12949.992037554537,61.197394690890135,13011.189432245426
1301654,12599.434382904117,6115.233694705935,18714.66807761005
1301704,27347.762475718042,39.7114009140083,27387.47387663205
1301803,20030.831376124133,0.2823312959828163,20031.113707420118
