cod_mun_origem,cod_mun_destino,passageiros_rodov,passageiros_aereo,passageiros_total,prob_rodov,prob_aereo,prob_total
1100023,1100304,7.0,0.0,7.0,0.0013202565069784986,0.0,0.0013202565069784986
1100023,1200401,31.0,0.0,31.0,0.0058468502451904944,0.0,0.0058468502451904944
1100023,3119401,3.0,0.0,3.0,0.0005658242172764995,0.0,0.0005658242172764995
1100023,3127701,152.0,0.0,152.0,0.028668427008675973,0.0,0.028668427008675973
1100023,3131307,212.0,0.0,212.0,0.03998491135420596,0.0,0.03998491135420596
1100023,3134202,25.0,0.0,25.0,0.004715201810637495,0.0,0.004715201810637495
1100023,3136207,113.0,0.0,113.0,0.02131271218408148,0.0,0.02131271218408148
1100023,3139607,151.0,0.0,151.0,0.02847981893625047,0.0,0.02847981893625047
1100023,3170107,97.0,0.0,97.0,0.018294983025273482,0.0,0.018294983025273482
1100023,3170206,417.0,0.0,417.0,0.07864956620143342,0.0,0.07864956620143342
1100023,3205309,1.0,0.0,1.0,0.0001886080724254998,0.0,0.0001886080724254998
1100023,3503208,10.0,0.0,10.0,0.001886080724254998,0.0,0.001886080724254998
1100023,3505500,31.0,0.0,31.0,0.0058468502451904944,0.0,0.0058468502451904944
1100023,3509502,510.0,0.0,510.0,0.09619011693700491,0.0,0.09619011693700491
1100023,3541406,2.0,0.0,2.0,0.0003772161448509996,0.0,0.0003772161448509996
1100023,3543402,160.0,0.0,160.0,0.03017729158807997,0.0,0.03017729158807997
1100023,3550308,626.0,0.0,626.0,0.11806865333836288,0.0,0.11806865333836288
1100023,4104303,3.0,0.0,3.0,0.0005658242172764995,0.0,0.0005658242172764995
1100023,4104808,5.0,0.0,5.0,0.000943040362127499,0.0,0.000943040362127499
1100023,4106902,2.0,0.0,2.0,0.0003772161448509996,0.0,0.0003772161448509996
1100023,4113700,3.0,0.0,3.0,0.0005658242172764995,0.0,0.0005658242172764995
1100023,4115200,10.0,0.0,10.0,0.001886080724254998,0.0,0.001886080724254998
1100023,4127700,2.0,0.0,2.0,0.0003772161448509996,0.0,0.0003772161448509996
1100023,4204608,1.0,0.0,1.0,0.0001886080724254998,0.0,0.0001886080724254998
1100023,5002704,9.0,0.0,9.0,0.0016974726518294984,0.0,0.0016974726518294984
1100023,5003702,4.0,0.0,4.0,0.0007544322897019992,0.0,0.0007544322897019992
1100023,5100300,44.0,0.0,44.0,0.008298755186721992,0.0,0.008298755186721992
1100023,5100409,708.0,0.0,708.0,0.13353451527725388,0.0,0.13353451527725388
1100023,5102504,82.0,0.0,82.0,0.015465861938890985,0.0,0.015465861938890985
1100023,5102678,42.0,0.0,42.0,0.007921539041870993,0.0,0.007921539041870993
1100023,5103304,321.0,0.0,321.0,0.06054319124858544,0.0,0.06054319124858544
1100023,5103403,536.0,0.0,536.0,0.1010939268200679,0.0,0.1010939268200679
1100023,5105622,1.0,0.0,1.0,0.0001886080724254998,0.0,0.0001886080724254998
1100023,5106752,118.0,0.0,118.0,0.022255752546208978,0.0,0.022255752546208978
1100023,5107602,1.0,0.0,1.0,0.0001886080724254998,0.0,0.0001886080724254998
1100023,5201108,31.0,0.0,31.0,0.0058468502451904944,0.0,0.0058468502451904944
1100023,5201702,16.0,0.0,16.0,0.003017729158807997,0.0,0.003017729158807997
1100023,5208707,402.0,0.0,402.0,0.07582044511505093,0.0,0.07582044511505093
1100023,5211909,317.0,0.0,317.0,0.05978875895888344,0.0,0.05978875895888344
1100023,5221403,4.0,0.0,4.0,0.0007544322897019992,0.0,0.0007544322897019992
1100023,5300108,92.0,0.0,92.0,0.01735194266314598,0.0,0.01735194266314598
1100049,1100205,6.0,0.0,6.0,0.0018627755355479665,0.0,0.00017547964436125408
1100049,1200401,21.0,0.0,21.0,0.006519714374417882,0.0,0.0006141787552643893
1100049,3127701,97.0,0.0,97.0,0.03011487115802546,0.0,0.002836920917173608
1100049,3131307,133.0,0.0,133.0,0.041291524371313254,0.0,0.0038897987833411323
1100049,3136207,110.0,0.0,110.0,0.034150884818379384,0.0,0.0032171268132896585
1100049,3139607,171.0,0.0,171.0,0.05308910276311705,0.0,0.0050011698642957415
1100049,3205309,1.0,0.0,1.0,0.0003104625892579944,0.0,2.924660739354235e-05
1100049,3541406,1.0,0.0,1.0,0.0003104625892579944,0.0,2.924660739354235e-05
1100049,4104808,1.0,0.0,1.0,0.0003104625892579944,0.0,2.924660739354235e-05
1100049,4108809,1.0,0.0,1.0,0.0003104625892579944,0.0,2.924660739354235e-05
1100049,4115200,4.0,0.0,4.0,0.0012418503570319776,0.0,0.0001169864295741694
1100049,4202008,1.0,0.0,1.0,0.0003104625892579944,0.0,2.924660739354235e-05
1100049,5002704,2.0,107.0,109.0,0.0006209251785159888,0.003454844854864228,0.003187880205896116
1100049,5003702,1.0,0.0,1.0,0.0003104625892579944,0.0,2.924660739354235e-05
1100049,5005681,1.0,0.0,1.0,0.0003104625892579944,0.0,2.924660739354235e-05
1100049,5102504,156.0,0.0,156.0,0.04843216392424713,0.0,0.004562470753392607
1100049,5102678,48.0,0.0,48.0,0.014902204284383732,0.0,0.0014038371548900327
1100049,5103304,344.0,0.0,344.0,0.10679913070475008,0.0,0.010060832943378568
1100049,5103403,1459.0,0.0,1459.0,0.4529649177274139,0.0,0.04267080018717829
1100049,5106752,194.0,0.0,194.0,0.06022974231605092,0.0,0.005673841834347216
1100049,5107602,2.0,0.0,2.0,0.0006209251785159888,0.0,5.84932147870847e-05
1100049,5201108,13.0,0.0,13.0,0.0040360136603539275,0.0,0.00038020589611605055
1100049,5201702,16.0,0.0,16.0,0.0049674014281279105,0.0,0.0004679457182966776
1100049,5208707,353.0,0.0,353.0,0.10959329400807202,0.0,0.010324052409920449
1100049,5221403,2.0,0.0,2.0,0.0006209251785159888,0.0,5.84932147870847e-05
1100049,5300108,83.0,0.0,83.0,0.025768394908413535,0.0,0.002427468413664015
1100114,1200401,12.0,0.0,12.0,0.009056603773584906,0.0,0.009056603773584906
1100114,3119401,3.0,0.0,3.0,0.0022641509433962265,0.0,0.0022641509433962265
1100114,3127701,188.0,0.0,188.0,0.1418867924528302,0.0,0.1418867924528302
