cod_origem,cod_destino,passageiros_rodov,passageiros_aereo,passageiros_total,prob_rodov,prob_aereo,prob_total
3547809,3306008,15.0,0.0,15.0,0.0007250229590603703,0.0,0.0007250229590603703
3547809,3306305,401.0,0.0,401.0,0.019382280438880566,0.0,0.019382280438880566
3547809,4106902,1363.0,0.0,1363.0,0.06588041954661898,0.0,0.06588041954661898
3547809,4113700,1527.0,0.0,1527.0,0.07380733723234568,0.0,0.07380733723234568
3547809,4205407,735.0,0.0,735.0,0.035526124993958144,0.0,0.035526124993958144
3547809,4208203,357.0,0.0,357.0,0.01725554642563681,0.0,0.01725554642563681
3547809,4209102,533.0,0.0,533.0,0.025762482478611824,0.0,0.025762482478611824
3547809,5205109,23.0,0.0,23.0,0.0011117018705592344,0.0,0.0011117018705592344
3547809,5208707,347.0,0.0,347.0,0.01677219778626323,0.0,0.01677219778626323
3547809,5211503,69.0,0.0,69.0,0.003335105611677703,0.0,0.003335105611677703
3547809,5300108,154.0,0.0,154.0,0.007443569046353135,0.0,0.007443569046353135
3547908,3147907,3576.0,0.0,3576.0,0.5717940518068436,0.0,0.5717940518068436
3547908,3543402,835.0,0.0,835.0,0.13351455068755996,0.0,0.13351455068755996
3548005,3501905,185.0,0.0,185.0,0.20130576713819368,0.0,0.20130576713819368
3548005,3509502,392.0,0.0,392.0,0.426550598476605,0.0,0.426550598476605
3548104,3509502,233.0,0.0,233.0,0.06810874013446361,0.0,0.06810874013446361
3548104,3530706,63.0,0.0,63.0,0.018415667933352822,0.0,0.018415667933352822
3548104,3549102,167.0,0.0,167.0,0.04881613563285589,0.0,0.04881613563285589
3548104,3550308,98.0,0.0,98.0,0.028646594562993278,0.0,0.028646594562993278
3548203,3132404,117.0,0.0,117.0,0.08423326133909287,0.0,0.08423326133909287
3548401,3506508,283.0,0.0,283.0,0.08125179443008901,0.0,0.08125179443008901
3548401,3516200,51.0,0.0,51.0,0.014642549526270457,0.0,0.014642549526270457
3548401,3541406,482.0,0.0,482.0,0.13838644846396783,0.0,0.13838644846396783
3548401,3549805,118.0,0.0,118.0,0.033878840080390465,0.0,0.033878840080390465
3548401,3555000,871.0,0.0,871.0,0.25007177720356016,0.0,0.25007177720356016
3548609,3132404,1070.0,0.0,1070.0,0.33989834815756037,0.0,0.33989834815756037
3548609,3549904,842.0,0.0,842.0,0.2674714104193138,0.0,0.2674714104193138
3548708,2208007,123.0,0.0,123.0,0.004759325181860393,0.0,0.004759325181860393
3548708,2304400,4.0,0.0,4.0,0.00015477480266212662,0.0,0.00015477480266212662
3548708,2307304,34.0,0.0,34.0,0.001315585822628076,0.0,0.001315585822628076
3548708,2504009,1.0,0.0,1.0,3.8693700665531654e-05,0.0,3.8693700665531654e-05
3548708,2611101,3.0,0.0,3.0,0.00011608110199659496,0.0,0.00011608110199659496
3548708,3105608,481.0,0.0,481.0,0.018611670020120725,0.0,0.018611670020120725
3548708,3106200,2939.0,0.0,2939.0,0.11372078625599752,0.0,0.11372078625599752
3548708,3118304,356.0,0.0,356.0,0.013774957436929268,0.0,0.013774957436929268
3548708,3131307,1133.0,0.0,1133.0,0.043839962854047364,0.0,0.043839962854047364
3548708,3132404,576.0,0.0,576.0,0.02228757158334623,0.0,0.02228757158334623
3548708,3136207,39.0,0.0,39.0,0.0015090543259557343,0.0,0.0015090543259557343
3548708,3136702,228.0,0.0,228.0,0.008822163751741217,0.0,0.008822163751741217
3548708,3138203,213.0,0.0,213.0,0.008241758241758242,0.0,0.008241758241758242
3548708,3152105,32.0,0.0,32.0,0.001238198421297013,0.0,0.001238198421297013
3548708,3162500,168.0,0.0,168.0,0.0065005417118093175,0.0,0.0065005417118093175
3548708,3169901,276.0,0.0,276.0,0.010679461383686736,0.0,0.010679461383686736
3548708,3171303,364.0,0.0,364.0,0.014084507042253521,0.0,0.014084507042253521
3548708,3304201,304.0,0.0,304.0,0.011762885002321623,0.0,0.011762885002321623
3548708,3304557,4754.0,0.0,4754.0,0.18394985296393748,0.0,0.18394985296393748
3548708,3306305,335.0,0.0,335.0,0.012962389722953103,0.0,0.012962389722953103
3548708,4106902,1630.0,0.0,1630.0,0.06307073208481659,0.0,0.06307073208481659
3548708,4113700,1592.0,0.0,1592.0,0.06160037145952639,0.0,0.06160037145952639
3548708,4115200,1238.0,0.0,1238.0,0.047902801423928186,0.0,0.047902801423928186
3548708,4205407,1060.0,0.0,1060.0,0.04101532270546355,0.0,0.04101532270546355
3548708,4208203,341.0,0.0,341.0,0.013194551926946293,0.0,0.013194551926946293
3548708,4209102,744.0,0.0,744.0,0.02878811329515555,0.0,0.02878811329515555
3548708,5208707,436.0,0.0,436.0,0.0168704534901718,0.0,0.0168704534901718
3548708,5211503,29.0,0.0,29.0,0.0011221173193004179,0.0,0.0011221173193004179
3548807,2208007,30.0,0.0,30.0,0.0031952284588348066,0.0,0.0031952284588348066
3548807,2304400,1.0,0.0,1.0,0.00010650761529449355,0.0,0.00010650761529449355
3548807,2307304,2.0,0.0,2.0,0.0002130152305889871,0.0,0.0002130152305889871
3548807,2611101,1.0,0.0,1.0,0.00010650761529449355,0.0,0.00010650761529449355
3548807,3106200,645.0,0.0,645.0,0.06869741186494835,0.0,0.06869741186494835
3548807,3131307,9.0,0.0,9.0,0.000958568537650442,0.0,0.000958568537650442
3548807,3136702,15.0,0.0,15.0,0.0015976142294174033,0.0,0.0015976142294174033
3548807,3304201,127.0,0.0,127.0,0.013526467142400682,0.0,0.013526467142400682
3548807,3304557,1883.0,0.0,1883.0,0.20055383959953135,0.0,0.20055383959953135
3548807,3306008,7.0,0.0,7.0,0.0007455533070614549,0.0,0.0007455533070614549
3548807,3306305,106.0,0.0,106.0,0.011289807221216317,0.0,0.011289807221216317
3548807,4106902,5158.0,0.0,5158.0,0.5493662796889978,0.0,0.5493662796889978
3548807,4205407,301.0,0.0,301.0,0.032058792203642564,0.0,0.032058792203642564
3548807,4208203,91.0,0.0,91.0,0.009692192991798914,0.0,0.009692192991798914
3548807,4209102,160.0,0.0,160.0,0.01704121844711897,0.0,0.01704121844711897
3549003,3524808,951.0,0.0,951.0,0.38737270875763746,0.0,0.38737270875763746
3549300,3555109,169.0,0.0,169.0,0.6425855513307985,0.0,0.6425855513307985
3549409,2203909,2.0,0.0,2.0,0.00021850759313886157,0.0,0.00021850759313886157
3549409,2208007,3.0,0.0,3.0,0.00032776138970829236,0.0,0.00032776138970829236
3549409,2307304,4.0,0.0,4.0,0.00043701518627772313,0.0,0.00043701518627772313
3549409,2504009,3.0,0.0,3.0,0.00032776138970829236,0.0,0.00032776138970829236
3549409,3509502,215.0,0.0,215.0,0.023489566262427618,0.0,0.023489566262427618
3549409,3516200,866.0,0.0,866.0,0.09461378782912706,0.0,0.09461378782912706
3549409,3520103,188.0,0.0,188.0,0.020539713755052987,0.0,0.020539713755052987
3549409,3541406,22.0,0.0,22.0,0.0024035835245274774,0.0,0.0024035835245274774
3549409,3543402,694.0,0.0,694.0,0.07582213481918497,0.0,0.07582213481918497
3549409,3549805,155.0,0.0,155.0,0.016934338468261773,0.0,0.016934338468261773
3549409,3550308,761.0,0.0,761.0,0.08314213918933683,0.0,0.08314213918933683
3549409,5200803,2.0,0.0,2.0,0.00021850759313886157,0.0,0.00021850759313886157
3549409,5205109,8.0,0.0,8.0,0.0008740303725554463,0.0,0.0008740303725554463
3549409,5300108,110.0,0.0,110.0,0.012017917622637387,0.0,0.012017917622637387
3549508,3516200,117.0,0.0,117.0,0.5679611650485437,0.0,0.5679611650485437
3549607,3304201,55.0,0.0,55.0,0.05735140771637122,0.0,0.05735140771637122
3549607,3518404,71.0,0.0,71.0,0.0740354535974974,0.0,0.0740354535974974
3549607,3527207,35.0,0.0,35.0,0.0364963503649635,0.0,0.0364963503649635
3549607,3549904,219.0,0.0,219.0,0.2283628779979145,0.0,0.2283628779979145
3549607,3550308,197.0,0.0,197.0,0.205422314911366,0.0,0.205422314911366
3549706,3509502,5816.0,0.0,5816.0,0.1969989499712089,0.0,0.1969989499712089
3549706,3530706,215.0,0.0,215.0,0.007282457744809132,0.0,0.007282457744809132
3549706,3543402,1555.0,0.0,1555.0,0.05267079903803814,0.0,0.05267079903803814
3549706,3549102,883.0,0.0,883.0,0.029908884598448666,0.0,0.029908884598448666
3549706,3550308,4652.0,0.0,4652.0,0.15757206245977712,0.0,0.15757206245977712
3549706,4113700,399.0,0.0,399.0,0.01351488669850625,0.0,0.01351488669850625
3549706,5208707,1537.0,0.0,1537.0,0.05206110490126342,0.0,0.05206110490126342
3550100,3501608,192.0,0.0,192.0,0.02553191489361702,0.0,0.02553191489361702
