cod_mun_origem,cod_mun_destino,total_passagens_2019,total_passagens_2020,tempo_medio_2019,tempo_medio_2020
1302603,3304557,62208.0,44796.0,238,240
1501402,3304557,61502.0,36872.0,208,213
2925303,3106200,61309.0,,75,
3304557,1501402,61230.0,37679.0,213,215
3106200,2925303,60255.0,,75,
3205309,5300108,59571.0,35305.0,101,103
2304400,2211001,58853.0,11690.0,64,65
1506807,1501402,58648.0,40696.0,82,90
2507507,3304557,58629.0,53324.0,179,182
5300108,3205309,58440.0,34701.0,103,105
1501402,1506807,58416.0,40292.0,81,87
4314902,4205407,57890.0,21806.0,60,58
2211001,2304400,57825.0,11616.0,64,62
3541406,3550308,57582.0,,69,
3550308,3541406,57525.0,,72,
3304557,2507507,57484.0,54067.0,176,177
3205309,3106200,57470.0,29179.0,60,64
4205407,4314902,57198.0,21227.0,63,61
4205407,5300108,56731.0,44155.0,126,127
5300108,4205407,56227.0,43658.0,130,132
2304400,1302603,55603.0,45415.0,205,206
2704302,5300108,55592.0,31387.0,142,143
5300108,2704302,55249.0,31044.0,138,141
3106200,3205309,55149.0,28680.0,63,65
1302603,2304400,54533.0,43781.0,201,203
4106902,4108304,53676.0,21538.0,82,85
4108304,4106902,52606.0,21709.0,71,76
5300108,2507507,51359.0,45720.0,157,158
2507507,5300108,51229.0,46280.0,159,160
1721000,3550308,50448.0,21743.0,141,142
2111300,3304557,50317.0,36999.0,196,199
3304557,2111300,50206.0,38641.0,193,198
3550308,1721000,50178.0,21480.0,140,139
2408102,2304400,49519.0,9675.0,61,66
2304400,2408102,48798.0,10052.0,58,74
2927408,3509502,48670.0,41697.0,147,144
3509502,2927408,47759.0,40860.0,141,136
4106902,3106200,46758.0,26328.0,94,92
3106200,4106902,46628.0,26618.0,98,96
4115200,4106902,45787.0,14414.0,68,67
4106902,4115200,45464.0,14280.0,77,75
2927408,4314902,44794.0,31325.0,-2,-2
4314902,2927408,44179.0,30594.0,-2,-2
5300108,5103403,43130.0,19276.0,102,100
3509502,3106200,42910.0,16696.0,72,68
5300108,2111300,42889.0,26583.0,140,143
5300108,2211001,42682.0,24485.0,127,130
5103403,5300108,42663.0,19470.0,95,95
5002704,3304557,42612.0,27189.0,-2,-2
1302603,5300108,42594.0,21358.0,171,175
5300108,1302603,42486.0,21022.0,174,174
3106200,3509502,42387.0,16314.0,76,73
2111300,5300108,42286.0,26378.0,145,145
3304557,5002704,42082.0,26879.0,-2,-2
2211001,5300108,41025.0,24823.0,127,129
3550308,2933307,40919.0,,146,
2933307,3550308,40860.0,,151,
3304557,5103403,40612.0,30204.0,-2,154
5103403,3304557,40448.0,30183.0,-2,145
2704302,3304557,40003.0,26657.0,157,163
3304557,2800308,39738.0,27888.0,138,141
2800308,3304557,39395.0,27731.0,142,144
3304557,2704302,38971.0,26144.0,153,156
