cod_origem,cod_destino,passageiros_rodov,passageiros_aereo,passageiros_total,prob_rodov,prob_aereo,prob_total
1100106,1100205,381.0,0.0,381.0,0.7589641434262948,0.0,0.7589641434262948
1100205,1100106,763.0,0.0,763.0,0.01798764675373662,0.0,0.0018601634895984436
1100205,2105302,6.0,0.0,6.0,0.00014144938469517657,0.0,1.4627760075479241e-05
1100205,2111300,10.0,0.0,10.0,0.00023574897449196096,0.0,2.4379600125798737e-05
1100205,2611606,4.0,0.0,4.0,9.429958979678438e-05,0.0,9.751840050319495e-06
1100205,2704302,3.0,0.0,3.0,7.072469234758829e-05,0.0,7.3138800377396206e-06
1100205,2927408,27.0,0.0,27.0,0.0006365222311282946,0.0,6.582492033965659e-05
1100205,3104007,9.0,0.0,9.0,0.00021217407704276486,0.0,2.1941640113218862e-05
1100205,3106200,2.0,0.0,2.0,4.714979489839219e-05,0.0,4.875920025159747e-06
1100205,3131307,192.0,0.0,192.0,0.00452638031024565,0.0,0.0004680883224153357
1100205,3136207,166.0,0.0,166.0,0.003913432976566552,0.0,0.00040470136208825905
1100205,3205309,3.0,0.0,3.0,7.072469234758829e-05,0.0,7.3138800377396206e-06
1100205,3503208,6.0,0.0,6.0,0.00014144938469517657,0.0,1.4627760075479241e-05
1100205,3509502,318.0,13856.0,14174.0,0.007496817388844359,0.037676643254722496,0.03455564521830713
1100205,3525904,12.0,0.0,12.0,0.00028289876939035315,0.0,2.9255520150958482e-05
1100205,3541406,3.0,0.0,3.0,7.072469234758829e-05,0.0,7.3138800377396206e-06
1100205,3543402,185.0,1.0,186.0,0.004361356028101278,2.7191572787761617e-06,0.0004534605623398565
1100205,3550308,1286.0,0.0,1286.0,0.03031731811966618,0.0,0.0031352165761777176
1100205,4104808,11.0,0.0,11.0,0.0002593238719411571,0.0,2.681756013837861e-05
1100205,4106902,7.0,0.0,7.0,0.00016502428214437267,0.0,1.7065720088059117e-05
1100205,4108809,7.0,0.0,7.0,0.00016502428214437267,0.0,1.7065720088059117e-05
1100205,4113700,5.0,0.0,5.0,0.00011787448724598048,0.0,1.2189800062899369e-05
1100205,4115200,3.0,0.0,3.0,7.072469234758829e-05,0.0,7.3138800377396206e-06
1100205,4119905,5.0,0.0,5.0,0.00011787448724598048,0.0,1.2189800062899369e-05
1100205,4127700,11.0,0.0,11.0,0.0002593238719411571,0.0,2.681756013837861e-05
1100205,4204608,2.0,0.0,2.0,4.714979489839219e-05,0.0,4.875920025159747e-06
1100205,4205407,1.0,0.0,1.0,2.3574897449196096e-05,0.0,2.4379600125798737e-06
1100205,4207304,11.0,0.0,11.0,0.0002593238719411571,0.0,2.681756013837861e-05
1100205,4208203,2.0,0.0,2.0,4.714979489839219e-05,0.0,4.875920025159747e-06
1100205,4209102,1.0,0.0,1.0,2.3574897449196096e-05,0.0,2.4379600125798737e-06
1100205,4218707,2.0,0.0,2.0,4.714979489839219e-05,0.0,4.875920025159747e-06
1100205,4314902,10.0,0.0,10.0,0.00023574897449196096,0.0,2.4379600125798737e-05
1100205,4322400,393.0,0.0,393.0,0.009264934697534066,0.0,0.0009581182849438903
1100205,5100300,1.0,0.0,1.0,2.3574897449196096e-05,0.0,2.4379600125798737e-06
1100205,5101803,22.0,0.0,22.0,0.0005186477438823142,0.0,5.363512027675722e-05
1100205,5103403,12585.0,0.0,12585.0,0.2966900843981329,0.0,0.03068172675831771
1100205,5104807,1.0,0.0,1.0,2.3574897449196096e-05,0.0,2.4379600125798737e-06
1100205,5208707,1277.0,0.0,1277.0,0.030105144042623416,0.0,0.0031132749360644986
1100205,5211503,8.0,0.0,8.0,0.00018859917959356876,0.0,1.950368010063899e-05
1100205,5300108,194.0,124629.0,124823.0,0.004573530105144043,0.33888585249659425,0.3043134826502576
1200054,1200104,13.0,0.0,13.0,0.22033898305084745,0.0,0.22033898305084745
1200054,1600303,6.0,0.0,6.0,0.1016949152542373,0.0,0.1016949152542373
1200104,1200054,4.0,0.0,4.0,0.016666666666666666,0.0,0.016666666666666666
1501402,1100205,0.0,1126.0,1126.0,0.0,0.0006523066513264534,0.0006110701379357877
1501402,1507904,195.0,0.0,195.0,0.0016740065415024852,0.0,0.00010582475745779627
