cod_origem,cod_destino,saude_baixa_media,saude_alta
1100015,1100049,0.433333333333333,0.416666666666667
1100015,1100288,0.233333333333333,0.0
1100015,1100205,0.133333333333333,0.333333333333333
1100015,1100122,0.2,0.0
1100015,3505500,0.0,0.166666666666667
1100015,0,0.0,0.0666666666666667
1100015,5208707,0.0,0.0166666666666667
1100023,1100205,0.8,0.633333333333333
1100023,1100122,0.133333333333333,0.0
1100023,1100049,0.0333333333333333,0.0166666666666667
1100023,3505500,0.0,0.233333333333333
1100023,0,0.0333333333333333,0.0333333333333333
1100023,4106902,0.0,0.0166666666666667
1100023,5208707,0.0,0.0666666666666667
1100031,1100304,0.8,0.7
1100031,1100064,0.166666666666667,0.0
1100031,1100049,0.0333333333333333,0.266666666666667
1100031,1100205,0.0,0.0333333333333333
1100049,1100205,0.566666666666667,0.533333333333333
1100049,1100122,0.366666666666667,0.0
1100049,5103403,0.0,0.216666666666667
1100049,1100304,0.0666666666666667,0.0
1100049,3505500,0.0,0.233333333333333
1100049,5208707,0.0,0.0166666666666667
1100056,1100304,0.766666666666667,0.433333333333333
1100056,1100205,0.0833333333333333,0.116666666666667
1100056,5103403,0.05,0.116666666666667
1100056,1100049,0.0666666666666667,0.3
1100056,1100122,0.0333333333333333,0.0333333333333333
1100064,1100304,0.833333333333333,0.333333333333333
1100064,1100049,0.166666666666667,0.6
1100064,1100205,0.0,0.0666666666666667
1100072,1100056,0.15,0.1
1100072,1100304,0.533333333333333,0.416666666666667
1100072,1100049,0.18333333333333302,0.41
1100072,0,0.09333333333333331,0.04
1100072,1100205,0.04,0.0333333333333333
1100080,1100122,0.366666666666667,0.3
1100080,1100205,0.133333333333333,0.466666666666667
1100080,1101492,0.233333333333333,0.0
1100080,1100049,0.233333333333333,0.233333333333333
1100080,1100023,0.0333333333333333,0.0
1100098,1100049,0.433333333333333,0.266666666666667
1100098,1100189,0.366666666666667,0.0
1100098,1100205,0.0,0.433333333333333
1100098,1100122,0.2,0.166666666666667
1100098,1100304,0.0,0.1
1100098,3505500,0.0,0.0333333333333333
1100106,1100205,0.566666666666667,0.533333333333333
1100106,0,0.0666666666666667,0.0333333333333333
1100106,3550308,0.0333333333333333,0.133333333333333
1100106,5208707,0.166666666666667,0.0833333333333333
1100106,3505500,0.166666666666667,0.2
1100106,1302603,0.0,0.0166666666666667
1100114,1100122,0.5,0.0666666666666667
1100114,1100205,0.0,0.6
1100114,1100023,0.25,0.0666666666666667
1100114,1100155,0.2,0.0
1100114,1100049,0.05,0.266666666666667
1100122,1100205,0.633333333333333,0.433333333333333
1100122,1100049,0.326666666666667,0.166666666666667
1100122,1100023,0.02,0.0333333333333333
1100122,1100155,0.02,0.0
1100122,3505500,0.0,0.3
1100122,5208707,0.0,0.0666666666666667
1100130,1100023,0.566666666666667,0.3
1100130,1100205,0.166666666666667,0.533333333333333
1100130,1100122,0.166666666666667,0.0833333333333333
1100130,1100114,0.0666666666666667,0.0
1100130,1100049,0.0333333333333333,0.0333333333333333
1100130,3505500,0.0,0.05
1100148,1100288,0.366666666666667,0.0
1100148,1100049,0.466666666666667,0.333333333333333
1100148,1100122,0.133333333333333,0.2
1100148,1100205,0.0333333333333333,0.466666666666667
1100155,1100122,0.3,0.166666666666667
1100155,1100205,0.233333333333333,0.4
1100155,1100049,0.25,0.233333333333333
1100155,1100023,0.1,0.1
1100155,1100114,0.05,0.0
1100155,1100304,0.0666666666666667,0.1
1100189,1100049,0.666666666666667,0.533333333333333
1100189,1100122,0.2,0.0833333333333333
1100189,1100205,0.0,0.35
1100189,1100304,0.0333333333333333,0.0166666666666667
1100189,1100288,0.1,0.0
1100189,5103403,0.0,0.0166666666666667
1100254,1100122,0.4,0.2
1100254,1100205,0.166666666666667,0.466666666666667
1100254,1100049,0.233333333333333,0.18333333333333302
1100254,1100304,0.1,0.0666666666666667
1100254,1100023,0.0666666666666667,0.05
1100254,1100288,0.0333333333333333,0.0
1100254,3505500,0.0,0.0333333333333333
1100262,1100023,0.566666666666667,0.25
1100262,1100205,0.433333333333333,0.7
1100262,1100049,0.0,0.05
1100288,1100049,0.666666666666667,0.466666666666667
1100288,1100122,0.266666666666667,0.05
1100288,1100205,0.0,0.4
1100288,1100189,0.0666666666666667,0.0
1100288,5103403,0.0,0.0666666666666667
1100288,3505500,0.0,0.0166666666666667
1100296,1100288,0.466666666666667,0.0
1100296,1100049,0.233333333333333,0.533333333333333
1100296,1100015,0.3,0.0
1100296,1100205,0.0,0.3
1100296,1100122,0.0,0.15
1100296,5103403,0.0,0.0166666666666667
1100304,1100049,0.6,0.3
