"Tabela 6579 - População residente estimada"
"Variável - População residente estimada"
"Nível";"Cód.";"UF e Município, em ordem de código de UF e nome de Município";"Ano"
"Nível";"Cód.";"UF e Município, em ordem de código de UF e nome de Município";"2011";;"2021"
"MU";"1200500";"  Sena Madureira";"38709";"Pessoas";"47168";"Pessoas"
"MU";"1200450";"  Senador Guiomard";"20387";"Pessoas";"23446";"Pessoas"
"MU";"1200609";"  Tarauacá";"36186";"Pessoas";"43730";"Pessoas"
"MU";"1200708";"  Xapuri";"16370";"Pessoas";"19866";"Pessoas"
"UF";"13";"Amazonas";"3538387";"Pessoas";"4269995";"Pessoas"
"MU";"1300029";"  Alvarães";"14237";"Pessoas";"16396";"Pessoas"
"MU";"1300060";"  Amaturá";"9633";"Pessoas";"11934";"Pessoas"
"MU";"1300086";"  Anamã";"10495";"Pessoas";"14292";"Pessoas"
"MU";"1300102";"  Anori";"16701";"Pessoas";"21937";"Pessoas"
"MU";"1300144";"  Apuí";"18326";"Pessoas";"22739";"Pessoas"
"MU";"1300201";"  Atalaia do Norte";"15545";"Pessoas";"20868";"Pessoas"
"MU";"1300300";"  Autazes";"32733";"Pessoas";"41005";"Pessoas"
"MU";"1300409";"  Barcelos";"25835";"Pessoas";"27772";"Pessoas"
"MU";"1300508";"  Barreirinha";"27722";"Pessoas";"32919";"Pessoas"
"MU";"1300607";"  Benjamin Constant";"34194";"Pessoas";"44873";"Pessoas"
"MU";"1300631";"  Beruri";"15828";"Pessoas";"20503";"Pessoas"
"MU";"1300680";"  Boa Vista do Ramos";"15325";"Pessoas";"20040";"Pessoas"
"MU";"1300706";"  Boca do Acre";"30906";"Pessoas";"34958";"Pessoas"
"MU";"1300805";"  Borba";"35448";"Pessoas";"42328";"Pessoas"
"MU";"1300839";"  Caapiranga";"11142";"Pessoas";"13482";"Pessoas"
"MU";"1300904";"  Canutama";"13843";"Pessoas";"15981";"Pessoas"
"MU";"1301001";"  Carauari";"25955";"Pessoas";"28719";"Pessoas"
"MU";"1301100";"  Careiro";"33132";"Pessoas";"38820";"Pessoas"
"MU";"1301159";"  Careiro da Várzea";"24442";"Pessoas";"31459";"Pessoas"
"MU";"1301209";"  Coari";"76646";"Pessoas";"86713";"Pessoas"
"MU";"1301308";"  Codajás";"23644";"Pessoas";"29691";"Pessoas"
"MU";"1301407";"  Eirunepé";"31020";"Pessoas";"36121";"Pessoas"
"MU";"1301506";"  Envira";"16635";"Pessoas";"20748";"Pessoas"
"MU";"1301605";"  Fonte Boa";"23011";"Pessoas";"16409";"Pessoas"
"MU";"1301654";"  Guajará";"14189";"Pessoas";"17193";"Pessoas"
"MU";"1301704";"  Humaitá";"45105";"Pessoas";"57195";"Pessoas"
"MU";"1301803";"  Ipixuna";"22867";"Pessoas";"31172";"Pessoas"
"MU";"1301852";"  Iranduba";"41374";"Pessoas";"49718";"Pessoas"
"MU";"1301902";"  Itacoatiara";"87970";"Pessoas";"104046";"Pessoas"
"MU";"1301951";"  Itamarati";"8010";"Pessoas";"7777";"Pessoas"
"MU";"1302009";"  Itapiranga";"8281";"Pessoas";"9312";"Pessoas"
"MU";"1302108";"  Japurá";"7388";"Pessoas";"1755";"Pessoas"
"MU";"1302207";"  Juruá";"11126";"Pessoas";"15495";"Pessoas"
"MU";"1302306";"  Jutaí";"18145";"Pessoas";"13462";"Pessoas"
"MU";"1302405";"  Lábrea";"38373";"Pessoas";"47685";"Pessoas"
"MU";"1302504";"  Manacapuru";"86078";"Pessoas";"99613";"Pessoas"
"MU";"1302553";"  Manaquiri";"23576";"Pessoas";"33981";"Pessoas"
"MU";"1302603";"  Manaus";"1832424";"Pessoas";"2255903";"Pessoas"
"MU";"1302702";"  Manicoré";"47707";"Pessoas";"57405";"Pessoas"
"MU";"1302801";"  Maraã";"17563";"Pessoas";"18298";"Pessoas"
"MU";"1302900";"  Maués";"53173";"Pessoas";"66159";"Pessoas"
"MU";"1303007";"  Nhamundá";"18503";"Pessoas";"21710";"Pessoas"
"MU";"1303106";"  Nova Olinda do Norte";"31232";"Pessoas";"38665";"Pessoas"
"MU";"1303205";"  Novo Airão";"15113";"Pessoas";"20395";"Pessoas"
"MU";"1303304";"  Novo Aripuanã";"21784";"Pessoas";"26443";"Pessoas"
"MU";"1303403";"  Parintins";"102946";"Pessoas";"116439";"Pessoas"
"MU";"1303502";"  Pauini";"18249";"Pessoas";"19616";"Pessoas"
"MU";"1303536";"  Presidente Figueiredo";"27926";"Pessoas";"38095";"Pessoas"
"MU";"1303569";"  Rio Preto da Eva";"26344";"Pessoas";"34856";"Pessoas"
"MU";"1303601";"  Santa Isabel do Rio Negro";"18729";"Pessoas";"26566";"Pessoas"
"MU";"1303700";"  Santo Antônio do Içá";"24689";"Pessoas";"20889";"Pessoas"
"MU";"1303809";"  São Gabriel da Cachoeira";"38507";"Pessoas";"47031";"Pessoas"
"MU";"1303908";"  São Paulo de Olivença";"32060";"Pessoas";"40837";"Pessoas"
"MU";"1303957";"  São Sebastião do Uatumã";"10978";"Pessoas";"14678";"Pessoas"
"MU";"1304005";"  Silves";"8495";"Pessoas";"9289";"Pessoas"
"MU";"1304062";"  Tabatinga";"53374";"Pessoas";"68502";"Pessoas"
"MU";"1304104";"  Tapauá";"18010";"Pessoas";"16876";"Pessoas"
"MU";"1304203";"  Tefé";"61223";"Pessoas";"59250";"Pessoas"
"MU";"1304237";"  Tonantins";"17200";"Pessoas";"19038";"Pessoas"
"MU";"1304260";"  Uarini";"12017";"Pessoas";"13839";"Pessoas"
"MU";"1304302";"  Urucará";"16996";"Pessoas";"16007";"Pessoas"
"MU";"1304401";"  Urucurituba";"18265";"Pessoas";"24098";"Pessoas"
"UF";"14";"Roraima";"460165";"Pessoas";"652713";"Pessoas"
"MU";"1400050";"  Alto Alegre";"16337";"Pessoas";"15249";"Pessoas"
"MU";"1400027";"  Amajari";"9637";"Pessoas";"13561";"Pessoas"
"MU";"1400100";"  Boa Vista";"290741";"Pessoas";"436591";"Pessoas"
"MU";"1400159";"  Bonfim";"11068";"Pessoas";"12701";"Pessoas"
"MU";"1400175";"  Cantá";"14312";"Pessoas";"19257";"Pessoas"
"MU";"1400209";"  Caracaraí";"18714";"Pessoas";"22635";"Pessoas"
"MU";"1400233";"  Caroebe";"8300";"Pessoas";"10595";"Pessoas"
"MU";"1400282";"  Iracema";"8997";"Pessoas";"12637";"Pessoas"
"MU";"1400308";"  Mucajaí";"15065";"Pessoas";"18482";"Pessoas"
"MU";"1400407";"  Normandia";"9156";"Pessoas";"11772";"Pessoas"
"MU";"1400456";"  Pacaraima";"10698";"Pessoas";"20108";"Pessoas"
"MU";"1400472";"  Rorainópolis";"24808";"Pessoas";"31387";"Pessoas"
"MU";"1400506";"  São João da Baliza";"6898";"Pessoas";"8492";"Pessoas"
"MU";"1400605";"  São Luiz";"6861";"Pessoas";"8232";"Pessoas"
"MU";"1400704";"  Uiramutã";"8573";"Pessoas";"11014";"Pessoas"
"UF";"15";"Pará";"7688593";"Pessoas";"8777124";"Pessoas"
"MU";"1500107";"  Abaetetuba";"142785";"Pessoas";"160439";"Pessoas"
"MU";"1500131";"  Abel Figueiredo";"6844";"Pessoas";"7536";"Pessoas"
